Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2021
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;5;1;7
"Alto de Pinheiros";-;-;-;-;-;2;1;3
"Anhanguera";-;-;-;-;-;1;1;2
"Aricanduva";-;-;-;2;1;2;2;7
"Artur Alvim";-;-;-;-;-;1;4;5
"Barra Funda";-;-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;-;1;-;1
"Belém";-;-;-;-;-;-;2;2
"Bom Retiro";-;-;-;-;1;-;-;1
"Brás";-;-;-;-;1;1;-;2
"Brasilândia";-;-;-;1;3;4;1;9
"Butantã";-;-;-;-;-;-;1;1
"Cachoeirinha";-;1;-;-;2;3;1;7
"Cambuci";-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;1;1;2
"Campo Grande";-;-;-;1;1;2;2;6
"Campo Limpo";-;-;-;1;-;1;2;4
"Cangaíba";-;-;-;1;1;-;1;3
"Capão Redondo";-;-;-;-;5;1;1;7
"Carrão";-;-;-;-;-;-;-;-
"Casa Verde";-;-;-;-;1;-;-;1
"Cidade Ademar";-;-;-;2;6;6;7;21
"Cidade Dutra";-;-;-;-;3;1;2;6
"Cidade Líder";-;-;-;-;3;2;-;5
"Cidade Tiradentes";-;-;-;3;5;-;1;9
"Consolação";-;1;-;-;-;1;1;3
"Cursino";-;-;-;-;-;2;1;3
"Ermelino Matarazzo";-;-;-;-;1;1;-;2
"Freguesia do Ó";-;-;-;1;2;1;3;7
"Grajaú";-;-;-;1;2;-;2;5
"Guaianases";-;-;-;1;1;-;-;2
"Iguatemi";-;-;-;1;1;5;-;7
"Ipiranga";-;-;-;-;-;3;1;4
"Itaim Bibi";-;-;-;-;-;1;2;3
"Itaim Paulista";-;-;-;-;3;4;-;7
"Itaquera";-;-;-;-;1;-;1;2
"Jabaquara";-;-;-;1;2;2;4;9
"Jaçanã";-;-;-;-;-;2;-;2
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;1;1
"Jaraguá";-;-;-;-;1;3;1;5
"Jardim Ângela";-;-;2;1;1;1;2;7
"Jardim Helena";-;-;-;2;1;1;1;5
"Jardim Paulista";-;-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;1;4;1;1;7
"José Bonifácio";-;-;-;-;-;1;1;2
"Lajeado";-;-;1;1;4;2;1;9
"Lapa";-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;1;-;1;2
"Limão";-;1;-;-;2;3;-;6
"Mandaqui";-;-;1;3;1;2;-;7
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;1;3
"Moóca";-;-;-;-;1;1;-;2
"Morumbi";-;-;-;-;-;1;-;1
"Parelheiros";-;-;-;1;2;-;-;3
"Pari";-;-;-;-;1;-;-;1
"Parque do Carmo";-;-;-;2;1;1;-;4
"Pedreira";-;-;-;-;3;2;-;5
"Penha";-;-;-;-;1;1;-;2
"Perdizes";-;-;-;1;-;-;1;2
"Perus";-;-;-;-;1;-;-;1
"Pinheiros";-;-;-;-;-;-;1;1
"Pirituba";-;-;-;-;5;4;4;13
"Ponte Rasa";-;-;-;-;2;1;3;6
"Raposo Tavares";-;-;-;-;1;3;-;4
"República";-;-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;-;1;3;1;5
"Sacomã";-;-;-;-;1;-;2;3
"Santa Cecília";-;1;-;-;-;2;-;3
"Santana";-;1;-;-;-;-;3;4
"Santo Amaro";-;-;-;1;1;3;1;6
"São Domingos";-;-;-;-;-;-;2;2
"São Lucas";-;-;-;-;3;3;1;7
"São Mateus";-;-;-;1;1;1;1;4
"São Miguel";-;-;-;3;2;-;1;6
"São Rafael";-;-;-;3;1;-;1;5
"Sapopemba";-;-;-;1;-;4;1;6
"Saúde";-;-;1;-;1;-;-;2
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;1;2;1;4
"Tremembé";-;-;-;1;1;4;2;8
"Tucuruvi";-;-;-;-;3;1;-;4
"Vila Andrade";-;-;-;1;-;1;1;3
"Vila Curuçá";-;-;1;2;1;2;1;7
"Vila Formosa";-;-;-;-;-;1;-;1
"Vila Guilherme";-;-;-;-;2;-;-;2
"Vila Jacuí";-;-;-;-;-;4;1;5
"Vila Leopoldina";-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;1;-;1;1;3
"Vila Mariana";-;-;-;-;2;1;3;6
"Vila Matilde";-;-;-;1;-;2;-;3
"Vila Medeiros";-;-;-;1;-;-;1;2
"Vila Prudente";-;-;-;1;1;1;3;6
"Vila Sônia";1;-;-;-;-;-;1;2
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-
"Total";1;5;6;45;102;123;95;377
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
