Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C15 Neopl malig do esofago
Período:2024
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;-;-;1
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;1;1
"Artur Alvim";-;-;-;-;1;1;2
"Barra Funda";-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;1;1;2
"Belém";-;-;-;-;1;-;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;1;4;1;1;7
"Butantã";-;-;-;-;1;1;2
"Cachoeirinha";-;-;-;1;-;-;1
"Cambuci";-;-;-;2;2;1;5
"Campo Belo";-;-;-;2;1;1;4
"Campo Grande";-;-;-;1;2;-;3
"Campo Limpo";-;-;-;2;5;1;8
"Cangaíba";-;1;2;-;1;-;4
"Capão Redondo";-;-;2;3;6;2;13
"Carrão";-;-;-;1;-;1;2
"Casa Verde";-;-;-;-;2;-;2
"Cidade Ademar";-;1;3;2;3;2;11
"Cidade Dutra";-;-;-;3;2;-;5
"Cidade Líder";-;-;-;1;-;1;2
"Cidade Tiradentes";-;-;1;1;2;1;5
"Consolação";-;-;-;-;-;1;1
"Cursino";-;-;-;1;2;2;5
"Ermelino Matarazzo";1;-;1;-;-;-;2
"Freguesia do Ó";-;-;-;4;1;2;7
"Grajaú";-;-;3;5;7;2;17
"Guaianases";-;-;1;1;1;1;4
"Iguatemi";-;-;-;-;1;1;2
"Ipiranga";-;-;-;-;3;-;3
"Itaim Bibi";-;-;-;-;1;2;3
"Itaim Paulista";-;-;2;1;5;1;9
"Itaquera";-;1;1;5;5;3;15
"Jabaquara";-;1;1;3;-;1;6
"Jaçanã";-;-;1;2;1;-;4
"Jaguara";-;-;-;-;1;-;1
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;-;3;2;2;7
"Jardim Ângela";-;-;2;3;4;-;9
"Jardim Helena";-;-;1;3;-;-;4
"Jardim Paulista";-;-;-;1;1;1;3
"Jardim São Luís";-;-;-;3;3;-;6
"José Bonifácio";1;-;-;1;3;1;6
"Lajeado";-;-;-;1;-;1;2
"Lapa";-;-;-;1;1;1;3
"Liberdade";-;-;-;-;-;-;-
"Limão";-;-;-;1;1;1;3
"Mandaqui";-;-;-;1;1;2;4
"Marsilac";-;-;-;-;-;1;1
"Moema";-;-;-;-;4;-;4
"Moóca";-;-;-;1;1;-;2
"Morumbi";-;1;-;-;-;-;1
"Parelheiros";-;-;1;1;1;2;5
"Pari";-;-;-;1;-;-;1
"Parque do Carmo";-;-;1;-;-;-;1
"Pedreira";-;-;1;2;2;2;7
"Penha";-;-;-;-;-;2;2
"Perdizes";-;-;-;-;-;2;2
"Perus";-;-;-;-;-;2;2
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;1;2;1;4;8
"Ponte Rasa";-;-;-;2;1;1;4
"Raposo Tavares";-;-;-;2;1;-;3
"República";-;-;-;1;1;-;2
"Rio Pequeno";-;-;-;-;2;-;2
"Sacomã";-;-;-;5;9;7;21
"Santa Cecília";-;-;-;-;1;-;1
"Santana";-;-;-;1;1;-;2
"Santo Amaro";-;-;-;-;-;2;2
"São Domingos";-;-;-;2;-;-;2
"São Lucas";-;-;1;1;3;2;7
"São Mateus";-;-;-;-;4;2;6
"São Miguel";-;-;1;-;4;2;7
"São Rafael";-;-;-;1;1;1;3
"Sapopemba";-;-;1;3;3;3;10
"Saúde";-;-;-;1;3;-;4
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;2;2
"Tatuapé";-;-;-;1;1;1;3
"Tremembé";1;-;-;2;1;2;6
"Tucuruvi";-;-;-;-;-;2;2
"Vila Andrade";-;-;-;-;1;1;2
"Vila Curuçá";-;-;1;1;-;-;2
"Vila Formosa";-;-;-;1;1;-;2
"Vila Guilherme";-;-;-;-;-;1;1
"Vila Jacuí";-;-;1;3;1;-;5
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;3;1;4
"Vila Mariana";-;-;-;1;1;2;4
"Vila Matilde";-;-;-;-;1;1;2
"Vila Medeiros";-;-;-;-;1;1;2
"Vila Prudente";-;-;-;1;-;-;1
"Vila Sônia";-;-;-;-;1;-;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;1;-;1;1;3
"Total";3;5;32;100;131;92;363
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
