Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2018
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;2;4;1;7;15
"Alto de Pinheiros";-;-;-;2;-;-;1;2;5
"Anhanguera";-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;1;1;2;6;7;17
"Artur Alvim";-;-;1;1;2;-;2;2;8
"Barra Funda";-;-;-;-;-;1;1;-;2
"Bela Vista";-;-;-;-;-;2;1;5;8
"Belém";-;-;-;-;-;-;-;6;6
"Bom Retiro";-;-;-;-;1;-;-;2;3
"Brás";-;-;-;-;-;-;3;1;4
"Brasilândia";-;1;-;2;10;6;3;6;28
"Butantã";-;-;-;-;1;-;2;4;7
"Cachoeirinha";-;-;-;1;2;1;6;8;18
"Cambuci";-;-;-;-;-;1;-;-;1
"Campo Belo";-;-;-;-;-;2;4;5;11
"Campo Grande";-;-;-;1;2;3;3;7;16
"Campo Limpo";-;-;-;-;2;-;5;6;13
"Cangaíba";-;-;-;-;3;4;6;5;18
"Capão Redondo";-;-;2;2;2;8;4;6;24
"Carrão";-;-;-;-;-;3;4;14;21
"Casa Verde";-;-;-;-;2;4;7;6;19
"Cidade Ademar";-;-;1;-;1;6;5;10;23
"Cidade Dutra";-;-;-;-;-;5;5;4;14
"Cidade Líder";-;-;-;2;-;-;3;2;7
"Cidade Tiradentes";-;-;-;-;2;1;3;5;11
"Consolação";-;-;-;-;-;3;3;4;10
"Cursino";-;-;-;-;2;2;3;6;13
"Ermelino Matarazzo";-;-;1;-;2;1;1;1;6
"Freguesia do Ó";-;-;-;-;2;1;5;10;18
"Grajaú";-;-;1;1;2;7;15;2;28
"Guaianases";-;-;-;-;2;4;2;4;12
"Iguatemi";-;-;-;1;1;2;2;5;11
"Ipiranga";-;-;-;1;1;-;3;8;13
"Itaim Bibi";-;-;-;-;1;3;2;8;14
"Itaim Paulista";-;-;1;1;2;4;4;4;16
"Itaquera";-;-;-;3;3;5;7;8;26
"Jabaquara";-;-;-;-;3;4;5;4;16
"Jaçanã";-;-;-;1;-;6;3;2;12
"Jaguara";-;-;-;-;-;1;1;2;4
"Jaguaré";-;-;-;-;1;1;3;1;6
"Jaraguá";-;-;-;1;1;2;4;2;10
"Jardim Ângela";-;-;-;4;1;3;4;6;18
"Jardim Helena";-;-;-;-;2;1;2;3;8
"Jardim Paulista";-;-;-;-;1;1;3;6;11
"Jardim São Luís";-;-;-;2;2;4;3;5;16
"José Bonifácio";-;-;-;-;2;3;3;4;12
"Lajeado";-;-;-;-;-;4;5;2;11
"Lapa";-;-;-;1;-;1;-;10;12
"Liberdade";-;-;-;-;-;1;1;4;6
"Limão";-;-;-;-;1;2;2;9;14
"Mandaqui";-;-;-;-;1;5;2;8;16
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;4;3;9
"Moóca";-;-;-;1;-;1;4;5;11
"Morumbi";-;-;-;-;1;2;-;3;6
"Parelheiros";-;-;1;-;2;2;1;3;9
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;1;-;-;2;2;5
"Pedreira";-;-;-;-;-;3;1;-;4
"Penha";-;-;-;-;-;7;6;14;27
"Perdizes";-;-;-;-;1;2;6;12;21
"Perus";-;-;-;-;1;3;1;-;5
"Pinheiros";-;-;-;1;-;2;-;7;10
"Pirituba";-;-;-;-;3;3;12;6;24
"Ponte Rasa";-;-;-;-;1;-;3;4;8
"Raposo Tavares";-;-;-;-;1;1;5;4;11
"República";-;-;-;-;-;1;2;5;8
"Rio Pequeno";-;-;-;-;3;1;7;11;22
"Sacomã";-;-;1;-;2;6;11;8;28
"Santa Cecília";-;-;-;-;-;-;3;7;10
"Santana";-;1;-;-;1;3;5;13;23
"Santo Amaro";-;-;-;1;-;2;3;11;17
"São Domingos";-;-;-;-;2;1;1;7;11
"São Lucas";-;-;-;-;1;4;3;12;20
"São Mateus";-;-;-;-;-;3;3;2;8
"São Miguel";-;-;-;-;-;2;2;7;11
"São Rafael";-;-;-;-;1;2;3;1;7
"Sapopemba";-;-;1;-;2;4;7;3;17
"Saúde";-;-;-;-;-;-;7;10;17
"Sé";-;-;-;-;-;2;-;1;3
"Socorro";-;-;-;1;-;-;2;5;8
"Tatuapé";-;-;-;-;1;4;3;14;22
"Tremembé";-;-;-;2;1;5;3;6;17
"Tucuruvi";-;-;-;-;-;3;6;12;21
"Vila Andrade";-;-;-;2;-;1;1;6;10
"Vila Curuçá";-;1;-;-;-;4;4;4;13
"Vila Formosa";-;-;-;-;3;3;4;10;20
