Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2019
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;2;7;6;16
"Alto de Pinheiros";-;-;-;-;-;1;4;5
"Anhanguera";-;-;-;-;4;-;1;5
"Aricanduva";-;-;-;-;-;5;9;14
"Artur Alvim";-;-;2;1;2;1;6;12
"Barra Funda";-;-;-;-;-;-;1;1
"Bela Vista";-;-;-;1;1;3;-;5
"Belém";-;-;-;-;1;5;4;10
"Bom Retiro";-;-;-;-;-;2;4;6
"Brás";-;-;-;1;-;-;-;1
"Brasilândia";-;-;1;4;4;3;9;21
"Butantã";-;-;-;1;5;1;7;14
"Cachoeirinha";-;-;-;1;5;1;1;8
"Cambuci";-;-;-;1;1;4;2;8
"Campo Belo";-;-;-;-;-;-;10;10
"Campo Grande";-;-;1;1;3;3;5;13
"Campo Limpo";-;-;1;2;3;2;11;19
"Cangaíba";-;-;2;1;4;3;7;17
"Capão Redondo";-;-;2;2;2;8;4;18
"Carrão";-;-;-;-;1;2;6;9
"Casa Verde";-;-;1;-;2;7;7;17
"Cidade Ademar";-;1;1;-;3;4;7;16
"Cidade Dutra";-;-;-;-;3;6;-;9
"Cidade Líder";-;-;-;-;1;2;2;5
"Cidade Tiradentes";-;-;-;4;8;4;2;18
"Consolação";-;-;-;-;1;3;8;12
"Cursino";-;-;1;1;4;3;6;15
"Ermelino Matarazzo";-;-;-;3;3;3;4;13
"Freguesia do Ó";-;-;-;2;5;3;10;20
"Grajaú";-;-;2;2;4;4;4;16
"Guaianases";-;-;-;2;3;3;4;12
"Iguatemi";-;-;1;-;2;2;3;8
"Ipiranga";-;-;-;1;3;5;11;20
"Itaim Bibi";-;-;-;-;1;4;2;7
"Itaim Paulista";-;-;-;3;1;5;3;12
"Itaquera";-;1;1;1;10;4;6;23
"Jabaquara";-;-;1;4;6;5;15;31
"Jaçanã";-;1;-;1;-;4;4;10
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;2;2
"Jaraguá";-;-;1;2;6;4;4;17
"Jardim Ângela";-;-;2;3;5;3;1;14
"Jardim Helena";-;-;1;3;1;2;1;8
"Jardim Paulista";-;-;-;1;1;5;5;12
"Jardim São Luís";-;-;1;2;7;3;8;21
"José Bonifácio";-;-;1;1;1;7;1;11
"Lajeado";-;-;2;3;2;6;3;16
"Lapa";-;-;-;-;1;5;9;15
"Liberdade";-;-;1;-;1;2;6;10
"Limão";-;-;-;2;3;5;5;15
"Mandaqui";-;-;1;1;1;5;10;18
"Marsilac";-;-;-;1;-;1;1;3
"Moema";-;-;-;-;1;2;10;13
"Moóca";-;-;1;-;3;1;9;14
"Morumbi";-;-;-;-;2;2;-;4
"Parelheiros";-;-;-;-;1;4;2;7
"Pari";-;-;-;-;1;1;-;2
"Parque do Carmo";-;-;-;-;-;3;1;4
"Pedreira";-;-;-;3;1;5;4;13
"Penha";1;-;-;2;2;4;8;17
"Perdizes";-;-;-;2;2;3;9;16
"Perus";-;-;1;-;3;2;-;6
"Pinheiros";-;-;-;-;-;5;3;8
"Pirituba";1;-;1;1;6;4;13;26
"Ponte Rasa";-;-;-;-;1;6;4;11
"Raposo Tavares";-;-;-;-;2;3;6;11
"República";-;-;-;-;-;-;2;2
"Rio Pequeno";-;-;-;2;2;3;5;12
"Sacomã";-;-;-;4;4;5;13;26
"Santa Cecília";-;-;1;2;2;1;4;10
"Santana";-;-;1;1;5;2;11;20
"Santo Amaro";-;-;-;1;1;2;9;13
"São Domingos";-;-;-;-;3;2;4;9
"São Lucas";-;-;-;1;12;9;3;25
"São Mateus";-;-;1;4;2;4;4;15
"São Miguel";-;-;-;3;1;-;4;8
"São Rafael";-;-;-;-;2;4;1;7
"Sapopemba";-;-;1;1;6;11;10;29
"Saúde";-;-;1;-;4;9;10;24
"Sé";-;-;-;-;1;-;3;4
"Socorro";-;-;-;1;-;2;3;6
"Tatuapé";-;-;1;-;3;7;8;19
"Tremembé";-;-;1;1;3;6;11;22
"Tucuruvi";-;-;-;2;2;8;6;18
"Vila Andrade";-;-;-;2;2;5;2;11
"Vila Curuçá";-;1;1;1;3;6;6;18
"Vila Formosa";-;-;-;1;3;7;9;20
"Vila Guilherme";-;-;1;2;4;-;2;9
"Vila Jacuí";-;1;-;-;1;2;5;9
"Vila Leopoldina";-;-;-;-;3;1;1;5
"Vila Maria";-;-;-;-;2;5;5;12
"Vila Mariana";-;-;2;1;1;2;11;17
"Vila Matilde";-;-;-;1;4;2;9;16
"Vila Medeiros";-;-;-;-;3;3;5;11
"Vila Prudente";-;-;2;3;5;6;8;24
"Vila Sônia";-;1;-;1;-;7;4;13
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;1;2;1;4
"Total";2;6;43;103;237;338;499;1228
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
