Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C18 Neopl malig do colon
Período:2022
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;2;3;5;10
"Alto de Pinheiros";-;-;-;-;2;-;2;2;6
"Anhanguera";-;-;-;-;-;3;2;4;9
"Aricanduva";-;-;-;-;1;4;4;2;11
"Artur Alvim";-;-;-;-;2;5;4;5;16
"Barra Funda";-;-;-;1;-;-;-;-;1
"Bela Vista";-;-;-;-;-;-;2;6;8
"Belém";-;-;-;-;1;1;4;6;12
"Bom Retiro";-;-;-;-;-;2;-;2;4
"Brás";-;-;-;-;-;1;-;-;1
"Brasilândia";-;-;-;1;4;1;6;6;18
"Butantã";-;-;-;-;1;1;2;3;7
"Cachoeirinha";-;-;-;-;1;2;7;1;11
"Cambuci";-;-;-;-;-;-;-;2;2
"Campo Belo";-;-;-;-;-;-;2;4;6
"Campo Grande";-;-;1;1;2;2;2;9;17
"Campo Limpo";-;-;-;2;2;2;4;5;15
"Cangaíba";-;-;1;2;1;-;4;7;15
"Capão Redondo";-;-;-;1;4;8;6;6;25
"Carrão";-;-;1;-;4;4;-;3;12
"Casa Verde";-;-;-;-;-;-;3;11;14
"Cidade Ademar";-;-;-;1;5;3;8;11;28
"Cidade Dutra";-;-;-;3;4;6;4;5;22
"Cidade Líder";-;-;-;-;-;1;6;4;11
"Cidade Tiradentes";-;-;-;2;3;1;4;2;12
"Consolação";-;-;-;-;-;-;1;10;11
"Cursino";-;-;-;-;-;2;5;5;12
"Ermelino Matarazzo";-;-;-;1;1;-;2;1;5
"Freguesia do Ó";1;-;1;1;1;2;3;7;16
"Grajaú";-;-;-;-;2;5;5;5;17
"Guaianases";-;-;-;-;2;3;2;3;10
"Iguatemi";-;-;-;1;2;2;5;3;13
"Ipiranga";-;-;-;-;1;7;10;4;22
"Itaim Bibi";-;-;-;1;-;3;3;9;16
"Itaim Paulista";-;-;-;2;1;6;4;3;16
"Itaquera";-;-;-;-;6;2;8;11;27
"Jabaquara";-;-;-;4;1;5;7;9;26
"Jaçanã";-;-;-;2;2;3;4;2;13
"Jaguara";-;-;-;-;-;1;-;-;1
"Jaguaré";-;-;-;-;-;2;2;1;5
"Jaraguá";-;-;1;1;2;4;9;2;19
"Jardim Ângela";-;-;-;1;2;3;6;6;18
"Jardim Helena";-;-;-;1;1;3;4;1;10
"Jardim Paulista";-;-;-;-;-;3;5;5;13
"Jardim São Luís";-;-;-;2;2;6;9;5;24
"José Bonifácio";-;-;-;1;1;-;2;2;6
"Lajeado";-;-;1;-;2;3;4;3;13
"Lapa";-;-;-;-;1;1;5;11;18
"Liberdade";-;-;-;1;-;1;1;2;5
"Limão";-;-;-;1;1;4;2;3;11
"Mandaqui";-;-;-;-;1;2;5;5;13
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;1;-;2;3;4;10
