Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2020
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;1;2;1;4;1;-;9
"Alto de Pinheiros";-;-;-;-;-;-;-;2;-;2
"Anhanguera";-;-;-;-;-;2;-;-;-;2
"Aricanduva";-;-;-;-;-;1;3;4;-;8
"Artur Alvim";-;-;-;-;1;1;1;3;-;6
"Barra Funda";-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;3;2;-;5
"Belém";-;-;-;-;-;-;1;-;-;1
"Bom Retiro";-;-;-;-;-;-;-;1;-;1
"Brás";-;-;-;-;1;-;-;-;-;1
"Brasilândia";-;-;-;-;3;2;1;4;-;10
"Butantã";-;-;-;-;-;-;2;-;-;2
"Cachoeirinha";-;-;-;-;1;2;4;2;-;9
"Cambuci";-;-;-;-;-;-;3;-;-;3
"Campo Belo";-;-;-;-;-;-;1;3;-;4
"Campo Grande";-;-;-;-;-;3;-;4;-;7
"Campo Limpo";-;-;-;-;-;3;2;1;-;6
"Cangaíba";-;-;-;-;2;2;2;-;-;6
"Capão Redondo";-;-;-;1;1;2;6;2;-;12
"Carrão";-;-;-;-;-;-;4;2;-;6
"Casa Verde";-;-;-;-;-;1;2;1;-;4
"Cidade Ademar";-;-;1;-;2;2;6;1;-;12
"Cidade Dutra";-;-;-;-;1;3;2;2;-;8
"Cidade Líder";-;-;-;-;-;1;4;1;-;6
"Cidade Tiradentes";-;-;-;-;2;2;3;3;-;10
"Consolação";-;-;-;-;-;6;-;-;-;6
"Cursino";-;-;-;-;1;-;-;4;-;5
"Ermelino Matarazzo";-;-;-;-;-;-;3;1;-;4
"Freguesia do Ó";-;-;-;-;1;1;2;5;-;9
"Grajaú";-;-;-;-;-;4;5;4;-;13
"Guaianases";-;-;-;-;-;1;1;-;-;2
"Iguatemi";-;-;-;1;4;1;-;3;-;9
"Ipiranga";-;-;-;-;1;1;3;3;-;8
"Itaim Bibi";-;-;-;-;-;2;3;3;-;8
"Itaim Paulista";-;-;-;-;1;1;1;2;-;5
"Itaquera";-;-;-;-;1;3;5;4;-;13
"Jabaquara";-;-;-;1;-;2;-;7;-;10
"Jaçanã";-;-;-;-;1;-;3;1;-;5
"Jaguara";-;-;-;-;-;-;-;2;-;2
"Jaguaré";-;-;-;-;-;-;1;1;-;2
