Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2021
"Distrito Admin residência";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;4;3;8
"Alto de Pinheiros";-;-;-;-;-;1;-;2;3
"Anhanguera";-;-;-;-;-;1;-;-;1
"Aricanduva";-;-;-;-;1;2;4;5;12
"Artur Alvim";-;-;-;-;-;-;-;4;4
"Barra Funda";-;-;-;-;-;-;-;2;2
"Bela Vista";-;-;-;-;1;-;3;1;5
"Belém";-;-;-;-;-;-;2;2;4
"Bom Retiro";-;-;-;-;-;1;2;-;3
"Brás";-;-;-;-;-;1;1;-;2
"Brasilândia";-;-;-;1;2;3;5;2;13
"Butantã";-;-;-;-;-;1;-;2;3
"Cachoeirinha";-;-;-;1;-;2;2;1;6
"Cambuci";-;-;-;1;1;-;-;4;6
"Campo Belo";-;-;-;-;-;2;2;3;7
"Campo Grande";-;-;-;1;-;-;3;3;7
"Campo Limpo";-;-;-;1;2;1;5;-;9
"Cangaíba";-;-;-;-;-;1;3;3;7
"Capão Redondo";-;1;-;1;-;1;2;5;10
"Carrão";-;-;-;-;1;2;2;5;10
"Casa Verde";-;-;-;1;-;1;4;5;11
"Cidade Ademar";-;-;-;-;-;1;4;9;14
"Cidade Dutra";-;2;-;-;-;4;3;2;11
"Cidade Líder";-;-;-;-;-;-;6;3;9
"Cidade Tiradentes";-;-;-;1;1;2;-;1;5
"Consolação";-;-;-;-;-;1;-;2;3
"Cursino";-;-;-;-;-;-;1;1;2
"Ermelino Matarazzo";-;-;-;-;-;1;-;-;1
"Freguesia do Ó";-;-;-;-;2;2;5;2;11
"Grajaú";-;1;-;-;-;4;2;1;8
"Guaianases";-;-;-;-;-;3;1;2;6
"Iguatemi";-;-;-;-;-;3;1;2;6
"Ipiranga";-;-;-;-;1;2;-;1;4
"Itaim Bibi";-;-;-;-;-;-;1;2;3
"Itaim Paulista";-;-;-;1;1;3;2;4;11
"Itaquera";-;-;-;-;3;2;5;6;16
"Jabaquara";-;-;-;-;1;2;4;3;10
"Jaçanã";-;-;-;-;-;3;-;2;5
"Jaguara";-;-;-;-;-;-;-;2;2
"Jaguaré";-;-;-;-;1;2;-;1;4
"Jaraguá";-;-;-;-;1;4;2;5;12
"Jardim Ângela";-;-;-;-;1;7;4;5;17
"Jardim Helena";-;-;-;-;-;7;2;1;10
"Jardim Paulista";-;-;-;-;-;1;1;4;6
"Jardim São Luís";-;-;-;-;1;4;5;2;12
"José Bonifácio";-;-;-;-;-;-;-;1;1
"Lajeado";1;-;-;-;-;3;1;5;10
"Lapa";-;-;-;-;-;-;1;4;5
"Liberdade";-;-;-;-;1;-;1;1;3
"Limão";-;-;-;-;1;1;3;3;8
"Mandaqui";-;-;-;-;-;3;4;2;9
"Marsilac";-;-;-;-;-;-;1;-;1
"Moema";-;-;-;-;1;-;1;2;4
"Moóca";-;-;1;-;-;1;1;5;8
"Morumbi";-;-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;2;1;-;3
"Pari";-;-;-;-;-;-;1;2;3
"Parque do Carmo";-;-;-;-;-;3;2;2;7
"Pedreira";-;-;-;-;-;1;2;1;4
"Penha";1;-;-;-;1;3;5;2;12
"Perdizes";-;-;-;1;-;2;4;4;11
"Perus";-;-;-;-;-;-;4;-;4
"Pinheiros";-;-;-;1;-;1;2;2;6
"Pirituba";-;-;-;-;-;3;3;9;15
"Ponte Rasa";-;-;-;-;-;-;2;4;6
"Raposo Tavares";-;-;-;1;-;2;1;3;7
"República";-;-;-;2;2;-;2;-;6
"Rio Pequeno";-;-;-;-;1;1;-;2;4
"Sacomã";-;-;-;-;-;4;4;5;13
"Santa Cecília";-;-;-;-;1;3;1;-;5
"Santana";-;-;-;-;2;-;2;5;9
"Santo Amaro";-;-;-;-;-;-;-;4;4
"São Domingos";-;-;-;-;-;-;1;1;2
"São Lucas";-;-;-;-;1;-;4;3;8
"São Mateus";-;-;-;-;-;2;3;-;5
"São Miguel";-;-;-;-;1;2;-;2;5
"São Rafael";-;-;-;-;-;-;1;3;4
"Sapopemba";-;-;-;1;2;4;3;4;14
"Saúde";-;-;-;-;1;1;5;7;14
"Sé";-;-;-;-;-;-;1;-;1
"Socorro";-;-;-;-;-;1;-;-;1
