Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2023
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;-;2;3;-;5
"Alto de Pinheiros";-;-;-;-;-;-;-;1;1;-;2
"Anhanguera";-;-;-;-;-;1;-;-;2;-;3
"Aricanduva";-;-;-;-;-;1;2;2;-;-;5
"Artur Alvim";-;-;-;-;-;-;-;1;-;-;1
"Barra Funda";-;-;-;-;-;-;1;-;-;-;1
"Bela Vista";-;-;-;-;1;1;-;3;2;-;7
"Belém";-;-;-;-;-;-;-;1;2;-;3
"Bom Retiro";-;-;-;1;-;2;-;2;-;-;5
"Brás";-;-;-;-;-;-;-;1;-;-;1
"Brasilândia";-;-;-;-;-;4;2;3;2;-;11
"Butantã";-;-;-;-;-;-;1;2;4;-;7
"Cachoeirinha";-;-;-;-;-;-;2;5;5;-;12
"Cambuci";-;-;-;-;-;-;1;-;1;-;2
"Campo Belo";-;-;-;-;-;1;-;-;5;-;6
"Campo Grande";-;-;-;-;1;-;3;1;2;-;7
"Campo Limpo";-;-;-;-;-;-;7;5;4;-;16
"Cangaíba";-;-;-;-;-;2;3;-;2;-;7
"Capão Redondo";-;-;-;-;-;1;2;3;6;-;12
"Carrão";-;-;-;-;-;-;-;4;-;-;4
"Casa Verde";-;-;-;-;-;-;4;2;2;-;8
"Cidade Ademar";-;-;-;-;-;2;1;1;3;-;7
"Cidade Dutra";-;-;-;-;1;-;7;3;5;-;16
"Cidade Líder";-;-;-;-;-;-;-;7;1;-;8
"Cidade Tiradentes";-;-;-;-;-;-;3;3;-;-;6
"Consolação";-;-;-;-;-;-;-;2;-;-;2
"Cursino";-;-;-;-;-;1;2;3;1;-;7
"Ermelino Matarazzo";-;-;-;-;-;-;4;3;-;-;7
"Freguesia do Ó";-;-;-;-;-;-;2;4;10;-;16
"Grajaú";-;-;-;-;1;1;2;7;7;1;19
"Guaianases";-;-;-;-;-;1;-;-;1;-;2
"Iguatemi";-;-;-;-;1;-;1;3;2;-;7
"Ipiranga";-;-;1;-;-;1;4;2;1;-;9
"Itaim Bibi";-;-;-;-;-;-;1;-;3;-;4
"Itaim Paulista";-;-;-;-;-;2;3;3;7;-;15
"Itaquera";-;1;-;1;1;3;4;5;4;-;19
"Jabaquara";1;-;-;-;-;1;6;5;3;-;16
"Jaçanã";1;-;-;-;-;-;2;1;5;-;9
"Jaguara";-;-;-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;1;-;1
"Jaraguá";-;-;-;-;-;2;5;3;1;-;11
"Jardim Ângela";-;-;-;-;-;1;3;3;5;-;12
"Jardim Helena";-;-;-;-;-;3;-;6;1;-;10
"Jardim Paulista";-;-;-;-;-;-;1;1;7;-;9
"Jardim São Luís";-;-;-;-;-;-;2;2;3;-;7
"José Bonifácio";-;-;-;-;-;-;2;1;4;-;7
"Lajeado";-;-;-;-;1;2;1;2;3;-;9
"Lapa";-;-;-;-;-;-;1;3;1;-;5
"Liberdade";-;-;-;-;-;-;1;3;5;-;9
"Limão";-;-;-;-;-;1;-;2;2;-;5
