Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C22 Neopl malig figado vias biliares intra-hepat
Período:2025
"Distrito Admin residência";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;2;2;1;6
"Alto de Pinheiros";-;-;-;1;-;-;1;2
"Anhanguera";-;-;-;-;-;1;-;1
"Aricanduva";-;-;-;-;-;-;4;4
"Artur Alvim";-;-;-;1;-;2;3;6
"Barra Funda";-;-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;-;1;1;2
"Belém";-;-;-;-;-;1;1;2
"Bom Retiro";-;-;-;-;-;-;1;1
"Brás";-;-;-;-;-;1;-;1
"Brasilândia";-;-;1;1;2;3;7;14
"Butantã";-;-;1;-;-;-;-;1
"Cachoeirinha";-;-;-;1;2;3;1;7
"Cambuci";-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;4;4
"Campo Grande";-;-;-;2;1;2;1;6
"Campo Limpo";-;-;-;-;3;5;4;12
"Cangaíba";-;-;-;1;-;2;1;4
"Capão Redondo";-;-;-;-;3;2;3;8
"Carrão";-;-;-;-;2;1;4;7
"Casa Verde";-;-;1;-;2;1;1;5
"Cidade Ademar";-;-;-;-;3;1;2;6
"Cidade Dutra";-;-;-;-;1;5;4;10
"Cidade Líder";-;-;-;2;1;2;4;9
"Cidade Tiradentes";-;-;1;1;4;2;1;9
"Consolação";-;-;-;-;-;1;3;4
"Cursino";-;-;1;-;1;2;5;9
"Ermelino Matarazzo";1;-;1;-;1;3;1;7
"Freguesia do Ó";-;-;-;-;1;5;3;9
"Grajaú";-;-;-;2;2;8;2;14
"Guaianases";-;-;-;-;-;1;-;1
"Iguatemi";-;-;-;1;1;-;-;2
"Ipiranga";-;-;-;1;3;2;-;6
"Itaim Bibi";-;-;-;1;-;2;3;6
"Itaim Paulista";-;-;1;2;1;2;-;6
"Itaquera";-;-;-;-;3;2;2;7
"Jabaquara";-;-;-;-;4;8;1;13
"Jaçanã";-;-;1;-;-;-;3;4
"Jaguara";-;-;-;-;-;-;1;1
"Jaguaré";-;-;-;1;-;-;-;1
"Jaraguá";-;-;-;1;2;4;1;8
"Jardim Ângela";-;-;-;-;4;4;2;10
"Jardim Helena";-;-;-;-;1;3;1;5
"Jardim Paulista";-;-;-;-;-;2;1;3
"Jardim São Luís";-;-;-;1;1;4;7;13
"José Bonifácio";-;-;-;1;2;3;2;8
"Lajeado";-;-;-;1;1;1;4;7
"Lapa";-;-;-;1;-;2;2;5
"Liberdade";-;-;-;-;2;1;2;5
"Limão";-;-;1;-;1;1;1;4
"Mandaqui";-;-;-;-;2;2;2;6
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;2;2;1;5
"Moóca";-;-;-;-;3;2;2;7
"Morumbi";-;-;-;-;1;1;-;2
"Parelheiros";-;-;-;1;-;2;1;4
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;1;2;1;-;4
"Pedreira";-;-;-;-;1;-;2;3
"Penha";-;-;1;-;1;2;4;8
"Perdizes";-;-;-;-;-;3;1;4
"Perus";-;-;-;-;-;-;1;1
"Pinheiros";-;-;-;1;-;-;3;4
"Pirituba";-;-;-;1;3;3;3;10
"Ponte Rasa";-;-;-;-;2;4;3;9
"Raposo Tavares";-;-;-;-;-;-;5;5
"República";-;-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;-;1;1;2;4
"Sacomã";-;-;-;1;4;3;2;10
"Santa Cecília";-;-;-;-;-;1;3;4
"Santana";-;-;-;-;2;2;1;5
"Santo Amaro";-;-;-;-;-;1;2;3
"São Domingos";-;-;-;-;1;1;3;5
"São Lucas";-;-;-;-;3;3;-;6
"São Mateus";-;-;-;-;2;4;2;8
"São Miguel";-;-;-;-;-;4;1;5
"São Rafael";-;-;-;1;-;2;1;4
"Sapopemba";-;-;-;2;4;3;2;11
"Saúde";-;-;-;1;-;2;3;6
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;1;1
"Tatuapé";-;-;-;1;-;2;1;4
"Tremembé";-;-;-;-;1;3;5;9
"Tucuruvi";-;-;-;-;1;1;1;3
"Vila Andrade";-;-;-;-;-;2;2;4
"Vila Curuçá";-;-;-;-;1;1;2;4
"Vila Formosa";-;1;-;1;-;3;3;8
"Vila Guilherme";-;-;-;-;-;3;-;3
"Vila Jacuí";-;-;-;-;-;2;1;3
"Vila Leopoldina";-;-;-;1;1;-;1;3
"Vila Maria";-;-;-;-;1;1;3;5
"Vila Mariana";-;-;-;1;-;1;10;12
"Vila Matilde";-;-;1;-;-;3;2;6
"Vila Medeiros";-;-;-;-;1;4;3;8
"Vila Prudente";-;-;-;-;2;2;1;5
"Vila Sônia";-;-;-;-;-;2;2;4
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;2;1;1;4;7;15
"Total";1;1;13;38;100;182;192;527
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
