Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2019
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;1;2;2;4;9;-;18
"Alto de Pinheiros";-;-;1;3;1;3;-;8
"Anhanguera";-;-;2;3;1;2;-;8
"Aricanduva";-;3;4;1;4;5;-;17
"Artur Alvim";-;1;-;6;3;1;-;11
"Barra Funda";-;1;-;1;-;1;-;3
"Bela Vista";-;1;1;-;4;6;-;12
"Belém";-;-;2;1;1;1;-;5
"Bom Retiro";-;-;-;1;-;1;-;2
"Brás";-;-;-;-;3;-;-;3
"Brasilândia";-;2;4;4;4;5;-;19
"Butantã";-;-;3;2;2;3;-;10
"Cachoeirinha";-;1;6;5;1;5;-;18
"Cambuci";-;-;3;2;1;3;-;9
"Campo Belo";-;1;-;2;2;9;-;14
"Campo Grande";-;1;3;4;2;6;-;16
"Campo Limpo";-;2;2;5;4;1;-;14
"Cangaíba";1;2;4;5;7;3;-;22
"Capão Redondo";1;3;5;8;7;5;-;29
"Carrão";-;-;3;2;6;4;-;15
"Casa Verde";1;2;4;1;4;8;-;20
"Cidade Ademar";-;2;4;10;8;4;-;28
"Cidade Dutra";-;2;4;5;2;3;-;16
"Cidade Líder";-;1;2;6;5;5;-;19
"Cidade Tiradentes";-;3;3;3;5;4;-;18
"Consolação";-;1;1;1;1;6;-;10
"Cursino";-;1;1;1;1;5;-;9
"Ermelino Matarazzo";-;1;4;4;4;5;-;18
"Freguesia do Ó";1;4;3;2;1;5;-;16
"Grajaú";1;5;7;7;5;3;-;28
"Guaianases";-;1;2;3;2;2;-;10
"Iguatemi";-;1;3;2;1;-;-;7
"Ipiranga";-;3;3;3;6;6;-;21
"Itaim Bibi";-;1;2;5;3;12;-;23
"Itaim Paulista";1;4;7;6;4;4;-;26
"Itaquera";1;4;6;7;5;9;-;32
"Jabaquara";1;3;6;5;6;6;-;27
"Jaçanã";-;3;1;2;3;2;-;11
"Jaguara";-;-;-;2;1;2;-;5
"Jaguaré";-;-;2;2;3;-;-;7
"Jaraguá";-;1;4;4;3;6;-;18
"Jardim Ângela";2;6;5;7;4;1;-;25
"Jardim Helena";-;2;2;1;2;2;-;9
"Jardim Paulista";-;2;2;4;3;8;-;19
"Jardim São Luís";-;7;5;8;4;6;-;30
"José Bonifácio";1;2;5;4;3;-;-;15
"Lajeado";1;1;3;2;11;-;-;18
"Lapa";-;-;-;5;3;6;-;14
"Liberdade";-;-;1;4;4;3;-;12
"Limão";-;1;1;3;5;5;-;15
"Mandaqui";-;4;4;3;2;6;-;19
"Marsilac";-;-;1;-;-;-;-;1
"Moema";-;-;1;2;1;2;-;6
"Moóca";-;2;3;2;7;7;-;21
"Morumbi";-;1;-;-;-;4;-;5
"Parelheiros";2;1;3;2;1;3;-;12
"Pari";-;1;-;-;1;1;-;3
"Parque do Carmo";-;-;1;1;2;-;-;4
"Pedreira";-;2;2;1;1;1;-;7
"Penha";-;1;2;6;3;6;-;18
"Perdizes";-;-;2;3;4;5;-;14
"Perus";-;-;3;1;2;1;-;7
"Pinheiros";-;2;-;3;2;4;-;11
"Pirituba";-;-;7;7;3;9;-;26
"Ponte Rasa";-;-;3;2;1;4;-;10
"Raposo Tavares";-;-;1;4;3;-;-;8
"República";-;1;1;-;2;1;-;5
"Rio Pequeno";-;-;2;2;3;5;-;12
"Sacomã";2;4;9;9;8;3;-;35
"Santa Cecília";-;-;-;3;4;2;-;9
"Santana";1;1;1;4;4;11;-;22
"Santo Amaro";-;3;1;4;2;7;-;17
"São Domingos";-;1;2;2;6;4;-;15
"São Lucas";1;1;2;5;3;2;-;14
"São Mateus";-;2;1;7;3;5;-;18
"São Miguel";-;-;-;3;6;5;-;14
"São Rafael";-;-;2;-;3;2;-;7
"Sapopemba";1;4;8;4;4;3;-;24
"Saúde";-;-;1;1;1;3;-;6
"Sé";-;-;-;1;1;2;-;4
"Socorro";-;-;2;-;2;2;-;6
"Tatuapé";-;-;2;3;3;6;-;14
"Tremembé";1;3;3;4;4;6;-;21
"Tucuruvi";-;-;-;4;5;8;-;17
"Vila Andrade";-;1;2;2;1;4;-;10
"Vila Curuçá";-;2;2;3;2;3;-;12
"Vila Formosa";-;1;1;3;-;4;-;9
"Vila Guilherme";-;1;-;2;1;2;-;6
"Vila Jacuí";1;1;5;5;2;3;-;17
"Vila Leopoldina";-;1;-;1;1;4;-;7
"Vila Maria";-;3;2;2;5;7;-;19
"Vila Mariana";-;1;1;1;6;13;-;22
"Vila Matilde";-;3;2;3;4;6;-;18
"Vila Medeiros";1;2;3;7;4;4;-;21
"Vila Prudente";3;2;-;4;6;4;-;19
"Vila Sônia";-;1;1;-;3;7;-;12
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;2;1;3;1;7
"Total";25;136;227;304;302;395;1;1390
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
