Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2021
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;1;3;5;4;7;20
"Alto de Pinheiros";-;-;1;4;-;4;9
"Anhanguera";-;1;1;2;2;1;7
"Aricanduva";-;1;5;2;4;6;18
"Artur Alvim";-;4;-;2;1;4;11
"Barra Funda";-;1;1;-;1;2;5
"Bela Vista";-;-;1;2;1;3;7
"Belém";-;2;1;1;3;1;8
"Bom Retiro";-;-;-;-;1;1;2
"Brás";-;1;-;-;-;-;1
"Brasilândia";1;4;4;9;4;5;27
"Butantã";-;-;1;-;2;5;8
"Cachoeirinha";-;1;2;4;1;-;8
"Cambuci";-;-;3;1;1;1;6
"Campo Belo";-;-;-;2;1;4;7
"Campo Grande";-;3;8;2;6;6;25
"Campo Limpo";-;-;3;-;-;1;4
"Cangaíba";-;3;5;7;2;4;21
"Capão Redondo";1;1;4;3;6;1;16
"Carrão";-;-;3;2;8;7;20
"Casa Verde";-;-;-;4;2;5;11
"Cidade Ademar";-;2;6;10;6;4;28
"Cidade Dutra";1;2;6;8;2;4;23
"Cidade Líder";2;3;4;5;5;6;25
"Cidade Tiradentes";-;2;4;7;3;2;18
"Consolação";-;1;-;1;-;4;6
"Cursino";1;3;1;5;4;10;24
"Ermelino Matarazzo";-;1;3;5;2;-;11
"Freguesia do Ó";-;3;5;3;3;6;20
"Grajaú";1;5;5;9;12;-;32
"Guaianases";-;2;1;2;1;1;7
"Iguatemi";-;2;1;3;3;1;10
"Ipiranga";-;-;2;7;1;5;15
"Itaim Bibi";-;1;2;2;4;8;17
"Itaim Paulista";1;-;3;3;2;2;11
"Itaquera";1;1;7;4;5;3;21
"Jabaquara";-;2;4;4;4;6;20
"Jaçanã";-;-;2;-;-;4;6
"Jaguara";-;-;-;2;2;2;6
"Jaguaré";-;-;-;1;1;4;6
"Jaraguá";-;4;3;6;2;3;18
"Jardim Ângela";-;4;7;8;5;2;26
"Jardim Helena";-;2;4;4;1;3;14
"Jardim Paulista";-;2;2;1;1;3;9
"Jardim São Luís";1;3;5;6;3;6;24
"José Bonifácio";1;1;4;3;4;3;16
"Lajeado";1;2;4;3;4;-;14
"Lapa";-;3;1;1;1;4;10
"Liberdade";-;-;-;5;3;3;11
"Limão";-;1;1;1;1;5;9
"Mandaqui";-;1;1;8;3;9;22
"Marsilac";-;-;1;-;-;-;1
"Moema";-;1;-;1;2;5;9
"Moóca";-;1;1;3;5;4;14
"Morumbi";-;1;2;2;2;1;8
"Parelheiros";-;1;2;3;4;2;12
"Pari";-;1;-;-;-;1;2
"Parque do Carmo";-;2;4;4;3;3;16
"Pedreira";1;4;3;2;4;1;15
"Penha";1;2;3;3;4;6;19
"Perdizes";-;-;-;1;2;12;15
"Perus";-;1;-;1;1;-;3
"Pinheiros";1;1;2;-;2;7;13
"Pirituba";-;3;3;4;4;4;18
"Ponte Rasa";3;1;-;4;3;4;15
"Raposo Tavares";-;3;3;5;1;3;15
"República";-;-;-;1;1;2;4
"Rio Pequeno";1;1;-;3;3;4;12
"Sacomã";-;2;5;5;7;6;25
"Santa Cecília";-;-;-;3;4;4;11
"Santana";-;2;2;6;2;8;20
"Santo Amaro";-;-;-;-;2;4;6
"São Domingos";-;-;2;5;3;4;14
"São Lucas";1;2;5;-;3;7;18
"São Mateus";-;1;5;3;6;2;17
"São Miguel";-;1;4;2;4;1;12
"São Rafael";-;2;4;2;1;2;11
"Sapopemba";-;2;6;6;6;3;23
"Saúde";-;-;4;7;5;11;27
"Sé";-;2;-;1;-;-;3
"Socorro";-;-;1;-;-;1;2
"Tatuapé";-;-;2;1;1;9;13
"Tremembé";-;3;5;5;2;6;21
"Tucuruvi";-;-;2;1;8;8;19
"Vila Andrade";1;-;2;1;2;-;6
"Vila Curuçá";1;3;5;5;3;1;18
"Vila Formosa";-;-;1;2;1;4;8
"Vila Guilherme";-;1;-;2;4;3;10
"Vila Jacuí";-;1;4;4;-;3;12
"Vila Leopoldina";-;-;-;1;1;1;3
"Vila Maria";-;3;4;3;1;5;16
"Vila Mariana";-;1;1;6;7;5;20
"Vila Matilde";1;1;2;9;2;8;23
"Vila Medeiros";1;2;3;4;5;2;17
"Vila Prudente";1;-;2;2;3;4;12
"Vila Sônia";-;2;4;4;3;3;16
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";1;-;1;-;-;1;3
"Total";26;130;234;306;265;356;1317
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
