Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2023
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;2;2;3;14;21
"Alto de Pinheiros";-;-;-;1;2;3;3;9
"Anhanguera";-;-;-;1;1;4;1;7
"Aricanduva";-;-;1;1;3;-;5;10
"Artur Alvim";-;-;-;4;3;3;4;14
"Barra Funda";-;-;1;-;-;1;-;2
"Bela Vista";-;-;-;1;1;-;4;6
"Belém";-;-;-;2;-;4;1;7
"Bom Retiro";-;1;-;-;-;-;2;3
"Brás";-;-;2;-;-;-;1;3
"Brasilândia";-;-;1;4;9;6;7;27
"Butantã";-;-;-;1;-;1;2;4
"Cachoeirinha";1;-;3;5;6;5;3;23
"Cambuci";-;-;-;-;-;2;2;4
"Campo Belo";-;-;-;-;1;5;4;10
"Campo Grande";-;1;-;-;4;1;8;14
"Campo Limpo";-;-;1;10;6;3;4;24
"Cangaíba";-;-;1;2;2;3;2;10
"Capão Redondo";-;1;5;8;8;5;3;30
"Carrão";-;-;2;1;3;1;4;11
"Casa Verde";-;-;-;-;2;1;4;7
"Cidade Ademar";-;-;4;3;5;5;11;28
"Cidade Dutra";-;2;1;6;5;3;2;19
"Cidade Líder";-;1;1;3;4;4;4;17
"Cidade Tiradentes";-;-;4;5;2;5;1;17
"Consolação";-;-;-;1;1;2;2;6
"Cursino";-;-;1;4;2;5;2;14
"Ermelino Matarazzo";-;-;1;3;1;2;3;10
"Freguesia do Ó";-;-;3;6;3;8;6;26
"Grajaú";-;1;7;9;13;6;11;47
"Guaianases";-;1;-;4;2;2;3;12
"Iguatemi";-;1;1;5;2;2;-;11
"Ipiranga";-;-;-;5;5;-;6;16
"Itaim Bibi";-;-;-;-;3;3;4;10
"Itaim Paulista";-;1;1;3;11;5;3;24
"Itaquera";-;1;3;8;7;8;3;30
"Jabaquara";-;-;2;3;4;4;11;24
"Jaçanã";-;1;2;3;4;7;1;18
"Jaguara";-;-;-;2;1;-;1;4
"Jaguaré";-;-;1;-;-;-;1;2
"Jaraguá";-;-;4;6;3;3;3;19
"Jardim Ângela";-;2;7;11;5;5;2;32
"Jardim Helena";-;-;-;5;1;2;-;8
"Jardim Paulista";-;-;2;-;1;1;4;8
"Jardim São Luís";-;-;2;2;10;2;2;18
"José Bonifácio";-;1;1;1;3;1;3;10
"Lajeado";-;-;1;3;6;2;1;13
"Lapa";-;-;1;-;4;1;7;13
"Liberdade";-;1;-;1;1;4;6;13
"Limão";-;1;-;2;2;2;2;9
"Mandaqui";-;-;1;2;3;2;4;12
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;1;1;2;5;9
"Moóca";-;1;-;2;1;1;3;8
"Morumbi";-;-;1;2;-;3;3;9
"Parelheiros";1;-;2;3;6;2;-;14
"Pari";-;-;-;-;2;-;-;2
"Parque do Carmo";-;1;-;-;1;1;-;3
"Pedreira";-;4;2;2;4;2;1;15
"Penha";-;-;1;4;4;7;4;20
"Perdizes";-;-;2;1;2;3;13;21
"Perus";-;-;-;-;1;1;1;3
"Pinheiros";-;-;-;-;-;2;8;10
"Pirituba";-;1;1;1;5;4;3;15
"Ponte Rasa";-;-;-;1;3;-;1;5
"Raposo Tavares";-;1;2;1;3;2;1;10
"República";-;-;-;-;2;-;2;4
"Rio Pequeno";-;-;-;-;4;4;5;13
"Sacomã";-;4;2;2;8;8;4;28
"Santa Cecília";-;-;1;3;-;5;2;11
"Santana";-;-;2;-;1;5;6;14
"Santo Amaro";-;-;1;-;2;4;8;15
"São Domingos";-;-;-;2;2;6;4;14
"São Lucas";-;-;1;3;7;3;3;17
"São Mateus";-;-;3;4;4;9;2;22
"São Miguel";-;-;-;2;4;4;2;12
"São Rafael";-;1;2;3;3;-;3;12
"Sapopemba";-;-;3;6;4;3;8;24
"Saúde";-;-;-;2;6;6;9;23
"Sé";-;-;-;-;1;-;-;1
"Socorro";-;-;-;-;-;2;5;7
"Tatuapé";-;-;1;3;1;3;6;14
"Tremembé";-;2;3;6;9;5;7;32
"Tucuruvi";-;-;-;1;2;3;8;14
"Vila Andrade";-;1;2;1;6;2;5;17
"Vila Curuçá";-;-;3;2;8;5;5;23
"Vila Formosa";-;-;1;1;1;2;1;6
"Vila Guilherme";-;-;1;2;2;-;4;9
"Vila Jacuí";-;-;-;2;6;-;4;12
"Vila Leopoldina";-;-;-;-;1;2;3;6
"Vila Maria";-;-;2;1;4;2;1;10
"Vila Mariana";-;-;-;4;2;10;3;19
"Vila Matilde";-;1;1;2;7;4;3;18
"Vila Medeiros";-;-;1;1;6;9;6;23
"Vila Prudente";-;-;2;1;4;2;3;12
"Vila Sônia";-;-;1;5;1;4;4;15
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;2;1;1;3;7
"Total";2;34;112;228;309;290;359;1334
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
