Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2024
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;2;2;4;3;4;-;15
"Alto de Pinheiros";-;-;-;1;-;2;2;-;5
"Anhanguera";-;-;1;1;1;-;2;-;5
"Aricanduva";-;-;-;3;4;1;2;-;10
"Artur Alvim";-;-;1;4;3;2;1;-;11
"Barra Funda";-;-;1;-;-;-;4;-;5
"Bela Vista";-;-;-;3;2;1;2;-;8
"Belém";-;2;-;1;-;2;4;-;9
"Bom Retiro";-;-;-;-;1;-;-;-;1
"Brás";-;-;-;2;-;1;-;-;3
"Brasilândia";-;1;3;10;11;5;6;-;36
"Butantã";-;-;-;-;1;1;5;-;7
"Cachoeirinha";-;-;1;1;4;12;3;-;21
"Cambuci";-;-;-;-;1;-;3;-;4
"Campo Belo";-;-;-;2;1;-;8;-;11
"Campo Grande";-;-;2;2;2;4;7;-;17
"Campo Limpo";-;1;2;3;7;8;6;-;27
"Cangaíba";-;-;2;4;5;6;3;-;20
"Capão Redondo";-;1;3;12;13;7;4;-;40
"Carrão";-;-;-;3;3;2;5;-;13
"Casa Verde";-;-;1;1;1;5;6;-;14
"Cidade Ademar";-;1;3;8;5;6;6;-;29
"Cidade Dutra";-;-;2;4;6;6;1;-;19
"Cidade Líder";-;-;1;1;5;5;2;-;14
"Cidade Tiradentes";-;2;3;5;5;3;1;-;19
"Consolação";-;-;-;1;-;1;4;-;6
"Cursino";-;1;2;1;4;3;5;-;16
"Ermelino Matarazzo";-;-;-;2;3;2;4;-;11
"Freguesia do Ó";-;1;3;3;3;5;5;-;20
"Grajaú";-;2;1;9;4;7;3;-;26
"Guaianases";-;1;-;1;2;1;2;-;7
"Iguatemi";-;-;2;2;5;-;2;-;11
"Ipiranga";-;1;2;5;2;2;5;-;17
"Itaim Bibi";-;1;-;1;1;5;6;-;14
"Itaim Paulista";-;-;5;3;5;9;4;-;26
