Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C50 Neopl malig da mama
Período:2025
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;1;-;4;6
"Alto de Pinheiros";-;-;1;1;1;-;6;9
"Anhanguera";-;1;1;1;2;2;2;9
"Aricanduva";-;-;-;3;3;6;3;15
"Artur Alvim";-;1;2;2;2;3;2;12
"Barra Funda";-;-;1;-;1;2;-;4
"Bela Vista";-;-;-;-;1;2;4;7
"Belém";-;-;-;1;-;-;4;5
"Bom Retiro";-;-;1;1;-;-;-;2
"Brás";-;-;-;1;2;1;-;4
"Brasilândia";-;1;2;6;6;2;2;19
"Butantã";-;-;-;1;3;1;5;10
"Cachoeirinha";-;2;2;1;3;6;4;18
"Cambuci";-;-;-;2;1;2;-;5
"Campo Belo";-;-;1;-;1;1;5;8
"Campo Grande";-;-;1;-;4;5;4;14
"Campo Limpo";-;-;1;6;5;4;1;17
"Cangaíba";-;-;1;2;2;3;3;11
"Capão Redondo";-;-;2;2;4;3;2;13
"Carrão";1;-;-;5;-;-;3;9
"Casa Verde";-;-;-;5;1;3;5;14
"Cidade Ademar";-;-;2;6;5;5;2;20
"Cidade Dutra";-;-;1;3;5;6;2;17
"Cidade Líder";-;1;1;2;2;-;1;7
"Cidade Tiradentes";-;-;3;1;3;2;2;11
"Consolação";-;-;-;1;2;2;1;6
"Cursino";-;-;-;-;2;1;2;5
"Ermelino Matarazzo";-;-;3;-;4;2;1;10
"Freguesia do Ó";-;-;-;2;4;6;6;18
"Grajaú";-;2;6;9;14;6;-;37
"Guaianases";-;-;-;-;3;3;3;9
"Iguatemi";-;-;-;-;3;4;2;9
"Ipiranga";1;-;-;1;1;5;6;14
"Itaim Bibi";-;-;1;2;2;-;4;9
"Itaim Paulista";-;-;2;3;7;1;3;16
"Itaquera";-;-;1;3;3;7;7;21
"Jabaquara";-;-;2;4;9;7;-;22
"Jaçanã";-;-;3;-;3;2;3;11
"Jaguara";-;-;-;-;-;1;1;2
"Jaguaré";-;-;1;-;1;-;3;5
"Jaraguá";-;-;-;5;4;2;4;15
"Jardim Ângela";-;-;1;4;3;7;2;17
"Jardim Helena";-;-;1;4;3;2;1;11
"Jardim Paulista";-;-;-;-;1;2;6;9
"Jardim São Luís";-;-;1;2;5;6;4;18
"José Bonifácio";-;-;1;1;1;4;3;10
"Lajeado";-;1;1;3;4;2;-;11
"Lapa";-;-;-;-;4;1;2;7
"Liberdade";-;-;-;1;1;1;3;6
"Limão";-;-;-;1;5;3;5;14
"Mandaqui";-;-;-;1;4;5;2;12
"Marsilac";-;-;-;-;1;-;1;2
"Moema";-;-;-;-;2;2;3;7
"Moóca";-;-;-;2;-;3;6;11
"Morumbi";-;-;1;3;2;-;1;7
"Parelheiros";-;-;-;2;2;2;-;6
"Pari";-;1;-;-;-;-;1;2
"Parque do Carmo";-;1;1;1;-;-;2;5
"Pedreira";-;-;2;5;3;1;4;15
"Penha";-;-;3;3;4;3;5;18
"Perdizes";-;-;-;-;1;3;7;11
"Perus";-;-;1;3;-;2;2;8
"Pinheiros";-;-;-;-;1;-;1;2
"Pirituba";-;-;4;-;3;7;3;17
"Ponte Rasa";-;-;-;1;3;2;1;7
"Raposo Tavares";-;-;1;2;5;-;5;13
"República";-;-;1;-;1;2;-;4
"Rio Pequeno";-;1;-;1;7;2;2;13
"Sacomã";-;1;1;5;4;11;8;30
"Santa Cecília";-;-;-;1;4;1;4;10
"Santana";-;-;-;-;-;2;2;4
"Santo Amaro";-;-;-;1;3;1;5;10
"São Domingos";-;-;-;1;3;-;2;6
"São Lucas";-;1;-;1;3;6;4;15
"São Mateus";-;-;1;-;5;2;3;11
"São Miguel";-;-;-;1;5;2;1;9
"São Rafael";-;-;-;1;2;2;3;8
"Sapopemba";-;-;1;1;4;4;8;18
"Saúde";-;-;-;1;2;1;10;14
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;1;4;-;2;7
"Tatuapé";-;-;2;-;4;3;4;13
"Tremembé";-;-;5;2;5;4;6;22
"Tucuruvi";-;-;2;1;4;1;3;11
"Vila Andrade";-;-;-;3;2;2;5;12
"Vila Curuçá";-;-;2;-;2;3;3;10
"Vila Formosa";-;-;-;1;2;2;3;8
"Vila Guilherme";-;-;-;2;2;1;5;10
"Vila Jacuí";-;-;-;2;2;4;-;8
"Vila Leopoldina";-;-;-;-;2;3;1;6
"Vila Maria";-;-;3;2;2;1;3;11
"Vila Mariana";-;-;-;1;3;5;13;22
"Vila Matilde";-;-;1;1;4;1;3;10
"Vila Medeiros";-;-;-;4;6;5;2;17
"Vila Prudente";-;-;1;1;2;2;5;11
"Vila Sônia";-;-;1;4;4;2;4;15
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;1;2;4;3;10;12;32
"Total";2;15;84;164;274;251;308;1098
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
