Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2019
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;3;3
"Alto de Pinheiros";-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;1;1;2;4
"Artur Alvim";-;-;-;-;-;1;1;2
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;1;1
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;3;-;1;4
"Butantã";-;-;-;-;-;-;-;-
"Cachoeirinha";-;1;-;-;-;1;-;2
"Cambuci";-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;1;-;1;2
"Campo Grande";-;-;-;-;-;-;1;1
"Campo Limpo";-;-;-;-;2;1;1;4
"Cangaíba";-;-;-;-;1;2;-;3
"Capão Redondo";1;-;-;1;-;1;2;5
"Carrão";-;-;-;-;-;1;1;2
"Casa Verde";-;-;-;-;-;-;1;1
"Cidade Ademar";-;-;-;-;2;2;-;4
"Cidade Dutra";-;-;-;-;-;-;-;-
"Cidade Líder";-;-;-;1;2;1;1;5
"Cidade Tiradentes";-;-;-;1;-;1;2;4
"Consolação";-;-;-;-;-;2;1;3
"Cursino";-;-;-;-;-;-;1;1
"Ermelino Matarazzo";-;-;1;1;-;1;-;3
"Freguesia do Ó";-;-;-;-;1;-;-;1
"Grajaú";-;-;-;1;-;1;2;4
"Guaianases";-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;1;-;-;1
"Ipiranga";-;-;-;-;1;-;2;3
"Itaim Bibi";-;-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;-;2;-;2
"Itaquera";-;-;-;-;-;3;-;3
"Jabaquara";-;-;-;-;-;1;4;5
"Jaçanã";-;-;-;-;-;-;1;1
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-;-
"Jardim Ângela";-;-;-;-;2;1;2;5
"Jardim Helena";-;-;-;-;-;-;1;1
"Jardim Paulista";-;-;-;-;-;-;1;1
"Jardim São Luís";-;-;-;1;-;1;-;2
"José Bonifácio";-;-;-;1;1;-;2;4
"Lajeado";-;-;-;-;1;1;-;2
"Lapa";-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;1;1
"Limão";-;-;-;-;-;1;1;2
"Mandaqui";-;-;-;-;-;-;2;2
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;-;1;2
"Moóca";-;-;-;-;-;-;-;-
"Morumbi";-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;4;-;4
"Pari";-;-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;1;1;2
"Penha";-;-;-;-;1;1;2;4
"Perdizes";-;-;-;1;2;-;2;5
"Perus";-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;1;-;-;1;2
"Pirituba";-;-;-;-;2;3;2;7
"Ponte Rasa";-;-;-;-;1;1;-;2
"Raposo Tavares";-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;1;1;-;2
"Sacomã";-;-;-;-;3;1;-;4
"Santa Cecília";-;-;-;-;-;-;1;1
"Santana";-;-;-;-;-;2;-;2
"Santo Amaro";-;-;-;-;-;-;-;-
"São Domingos";-;-;-;-;1;-;1;2
"São Lucas";-;-;-;-;3;-;2;5
"São Mateus";-;-;-;-;2;-;1;3
"São Miguel";-;-;-;-;1;-;-;1
"São Rafael";-;-;-;-;-;1;1;2
"Sapopemba";-;-;-;2;1;2;2;7
"Saúde";-;-;-;-;1;-;2;3
"Sé";-;-;-;-;-;-;1;1
"Socorro";-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;1;-;3;4
"Tremembé";-;-;-;2;-;1;1;4
"Tucuruvi";-;-;-;-;2;2;3;7
"Vila Andrade";-;-;-;-;-;1;-;1
"Vila Curuçá";-;-;-;-;1;-;1;2
"Vila Formosa";-;-;-;-;1;-;1;2
"Vila Guilherme";-;-;-;-;1;1;1;3
"Vila Jacuí";-;-;-;-;1;-;3;4
"Vila Leopoldina";-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;1;1
"Vila Mariana";-;-;-;1;-;1;1;3
"Vila Matilde";-;-;-;-;1;1;1;3
"Vila Medeiros";-;-;-;-;1;-;-;1
"Vila Prudente";-;-;-;-;-;-;-;-
"Vila Sônia";-;-;-;1;-;-;1;2
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-
"Total";1;1;1;15;48;51;76;193
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
