Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): C54 Neopl malig do corpo do utero
Período:2024
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;3;4
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;1;-;1
"Artur Alvim";-;-;-;-;1;-;1
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;1;-;1
"Belém";-;-;-;2;-;-;2
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;1;-;1
"Butantã";-;-;-;-;1;1;2
"Cachoeirinha";-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;1;-;1
"Campo Grande";-;-;1;1;-;-;2
"Campo Limpo";-;-;1;1;2;-;4
"Cangaíba";-;-;1;-;-;-;1
"Capão Redondo";1;-;-;1;3;-;5
"Carrão";-;-;-;-;-;1;1
"Casa Verde";-;-;-;-;1;-;1
"Cidade Ademar";-;-;-;-;-;3;3
"Cidade Dutra";-;-;1;-;-;1;2
"Cidade Líder";-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;1;-;2;-;3
"Consolação";-;-;-;-;1;1;2
"Cursino";-;-;-;-;2;-;2
"Ermelino Matarazzo";-;-;1;1;-;-;2
"Freguesia do Ó";-;-;-;-;4;2;6
"Grajaú";-;-;-;2;2;2;6
"Guaianases";-;-;-;-;-;1;1
"Iguatemi";-;-;1;-;-;-;1
"Ipiranga";-;-;-;-;-;3;3
"Itaim Bibi";-;-;-;1;-;2;3
"Itaim Paulista";-;-;1;1;-;1;3
"Itaquera";-;-;-;2;2;-;4
"Jabaquara";-;-;-;1;2;3;6
"Jaçanã";-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;1;-;1
"Jaraguá";-;-;-;-;1;1;2
"Jardim Ângela";-;1;1;1;-;-;3
"Jardim Helena";-;-;-;1;1;1;3
"Jardim Paulista";-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;1;-;3;4
"José Bonifácio";-;-;-;-;-;1;1
"Lajeado";-;-;2;2;1;-;5
"Lapa";-;-;1;-;-;1;2
"Liberdade";-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;1;2;1;4
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;2;2
"Moóca";-;-;-;-;1;-;1
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;-;1;-;1
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;2;1;-;3
"Penha";-;-;-;1;-;1;2
"Perdizes";-;-;-;-;-;-;-
"Perus";-;-;-;1;-;-;1
"Pinheiros";-;-;-;1;1;-;2
"Pirituba";-;-;-;-;1;2;3
"Ponte Rasa";-;-;1;-;1;-;2
"Raposo Tavares";-;-;-;-;2;-;2
"República";-;-;-;-;1;-;1
"Rio Pequeno";-;-;1;-;-;-;1
"Sacomã";-;-;1;2;1;1;5
"Santa Cecília";-;1;-;1;-;-;2
"Santana";-;-;-;1;-;2;3
"Santo Amaro";-;-;-;-;1;-;1
"São Domingos";-;-;-;1;-;-;1
"São Lucas";-;-;-;-;2;-;2
"São Mateus";-;-;-;2;1;1;4
"São Miguel";-;-;-;-;1;1;2
"São Rafael";-;1;-;1;-;-;2
"Sapopemba";-;-;1;1;2;2;6
"Saúde";-;-;-;-;-;1;1
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;1;-;1
"Tatuapé";-;-;-;1;-;1;2
"Tremembé";-;-;-;-;1;1;2
"Tucuruvi";-;-;-;-;2;-;2
"Vila Andrade";1;-;-;1;-;1;3
"Vila Curuçá";-;1;-;2;1;-;4
"Vila Formosa";-;-;-;1;2;3;6
"Vila Guilherme";-;-;-;-;-;2;2
"Vila Jacuí";-;-;-;1;1;-;2
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;1;1;1;1;4
"Vila Mariana";-;-;-;1;1;-;2
"Vila Matilde";-;-;-;1;-;-;1
"Vila Medeiros";-;-;-;1;-;3;4
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;1;-;-;1;2
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;1
"Total";2;4;18;43;62;63;192
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
