Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I10 Hipertensao essencial
Lista condens CID10: Doenças hipertensivas
Período:2019
"Distrito Admin residência";"15-24";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;3;3
"Alto de Pinheiros";-;-;-;-;1;3;4
"Anhanguera";-;-;-;-;-;1;1
"Aricanduva";-;-;1;-;-;4;5
"Artur Alvim";-;-;-;2;1;6;9
"Barra Funda";-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;-;2;2
"Belém";-;-;-;-;1;2;3
"Bom Retiro";-;-;-;1;-;-;1
"Brás";-;-;1;2;1;-;4
"Brasilândia";-;1;-;-;4;2;7
"Butantã";-;-;-;-;-;2;2
"Cachoeirinha";-;-;-;1;-;4;5
"Cambuci";-;-;-;-;2;2;4
"Campo Belo";-;-;-;-;1;5;6
"Campo Grande";-;-;1;-;-;1;2
"Campo Limpo";-;1;-;-;-;3;4
"Cangaíba";-;-;2;-;-;2;4
"Capão Redondo";-;-;-;-;2;3;5
"Carrão";-;-;1;-;-;4;5
"Casa Verde";-;-;-;-;2;1;3
"Cidade Ademar";-;-;1;1;1;3;6
"Cidade Dutra";-;-;-;1;-;2;3
"Cidade Líder";-;-;-;-;1;3;4
"Cidade Tiradentes";-;-;-;-;1;-;1
"Consolação";-;-;-;-;-;3;3
"Cursino";-;-;-;1;1;2;4
"Ermelino Matarazzo";-;-;-;1;1;2;4
"Freguesia do Ó";-;-;1;-;-;2;3
"Grajaú";-;-;-;-;1;1;2
"Guaianases";-;-;1;-;1;2;4
"Iguatemi";-;-;2;-;-;1;3
"Ipiranga";-;-;1;-;-;4;5
"Itaim Bibi";-;-;-;-;2;3;5
"Itaim Paulista";-;-;1;-;1;2;4
"Itaquera";-;-;2;-;1;3;6
"Jabaquara";-;-;1;-;-;6;7
"Jaçanã";-;-;-;-;-;3;3
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;1;-;2;3
"Jaraguá";-;-;-;1;2;1;4
"Jardim Ângela";-;-;-;-;-;2;2
"Jardim Helena";-;-;-;1;-;1;2
"Jardim Paulista";-;-;-;-;-;-;-
"Jardim São Luís";1;-;2;-;1;3;7
"José Bonifácio";-;1;-;-;2;-;3
"Lajeado";-;1;1;1;2;2;7
"Lapa";-;-;-;-;-;-;-
"Liberdade";-;-;-;2;-;-;2
"Limão";-;-;1;-;1;1;3
"Mandaqui";-;-;-;-;-;5;5
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;2;-;-;1;3
"Moóca";-;-;-;-;-;3;3
"Morumbi";-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;-;1;1;2
"Parque do Carmo";-;-;-;-;-;2;2
"Pedreira";-;-;-;-;2;1;3
"Penha";-;-;-;1;-;2;3
"Perdizes";-;-;-;-;-;1;1
"Perus";-;-;1;-;-;-;1
"Pinheiros";-;-;-;-;-;-;-
"Pirituba";-;-;-;-;1;8;9
"Ponte Rasa";-;-;-;-;-;2;2
"Raposo Tavares";-;-;-;1;1;1;3
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;1;-;-;1
"Sacomã";-;-;-;1;1;4;6
"Santa Cecília";-;-;-;-;-;5;5
"Santana";-;-;-;-;-;4;4
"Santo Amaro";-;-;-;-;-;4;4
"São Domingos";-;-;-;-;1;1;2
"São Lucas";-;-;-;-;-;7;7
"São Mateus";-;-;-;-;-;1;1
"São Miguel";-;-;1;-;1;2;4
"São Rafael";-;-;-;-;-;2;2
"Sapopemba";-;-;-;1;3;3;7
"Saúde";-;-;-;-;1;7;8
"Sé";-;1;-;-;-;-;1
"Socorro";-;-;-;-;-;1;1
"Tatuapé";-;-;-;-;2;1;3
"Tremembé";-;-;-;-;2;1;3
"Tucuruvi";-;-;-;1;-;1;2
"Vila Andrade";1;-;-;1;-;2;4
"Vila Curuçá";-;-;-;2;1;4;7
"Vila Formosa";-;-;-;1;-;2;3
"Vila Guilherme";-;-;-;1;1;1;3
"Vila Jacuí";-;-;-;-;1;3;4
"Vila Leopoldina";-;-;-;1;-;2;3
"Vila Maria";-;-;-;1;-;2;3
"Vila Mariana";-;-;-;-;-;1;1
"Vila Matilde";-;-;-;-;-;6;6
"Vila Medeiros";-;-;-;1;1;3;5
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;-;-;-;3;3
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;2;1;2;5
"Total";2;5;24;32;55;209;327
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
