Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I10 Hipertensao essencial
Lista condens CID10: Doenças hipertensivas
Período:2020
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;2;3;7;10;22
"Alto de Pinheiros";-;-;-;-;-;-;7;7
"Anhanguera";-;-;-;1;-;4;3;8
"Aricanduva";-;-;-;-;1;6;12;19
"Artur Alvim";-;-;-;1;3;3;18;25
"Barra Funda";-;-;-;-;-;-;2;2
"Bela Vista";-;-;-;1;1;3;8;13
"Belém";-;-;-;-;1;1;4;6
"Bom Retiro";-;-;-;-;-;1;8;9
"Brás";-;-;-;-;-;-;2;2
"Brasilândia";-;-;1;5;8;7;25;46
"Butantã";-;-;1;1;-;2;5;9
"Cachoeirinha";-;-;1;-;4;2;12;19
"Cambuci";-;-;-;-;1;3;1;5
"Campo Belo";-;-;-;-;1;-;7;8
"Campo Grande";-;-;1;1;2;4;11;19
"Campo Limpo";-;-;-;1;4;8;20;33
"Cangaíba";-;-;-;1;4;10;10;25
"Capão Redondo";-;-;2;4;7;15;20;48
"Carrão";-;-;-;1;4;3;13;21
"Casa Verde";-;-;-;-;1;5;9;15
"Cidade Ademar";-;-;2;3;2;13;18;38
"Cidade Dutra";-;-;-;10;4;8;17;39
"Cidade Líder";-;-;-;-;3;3;16;22
"Cidade Tiradentes";-;-;-;5;3;5;5;18
"Consolação";-;-;-;-;-;2;6;8
"Cursino";-;-;-;2;1;5;16;24
"Ermelino Matarazzo";-;-;-;2;4;4;10;20
"Freguesia do Ó";-;-;1;4;3;7;18;33
"Grajaú";-;1;6;5;14;12;15;53
"Guaianases";-;-;1;2;1;2;4;10
"Iguatemi";-;-;2;2;6;4;6;20
"Ipiranga";-;-;-;1;1;4;9;15
"Itaim Bibi";-;-;-;-;-;-;11;11
"Itaim Paulista";-;1;-;7;6;11;19;44
"Itaquera";-;-;1;3;2;1;13;20
"Jabaquara";-;-;-;2;5;5;29;41
"Jaçanã";-;-;-;3;1;5;11;20
"Jaguara";-;-;-;-;1;-;2;3
"Jaguaré";-;-;-;1;1;1;-;3
"Jaraguá";-;-;1;2;7;5;13;28
"Jardim Ângela";-;-;-;6;4;10;18;38
"Jardim Helena";-;-;1;3;4;7;13;28
"Jardim Paulista";-;-;-;-;-;1;6;7
"Jardim São Luís";-;1;1;3;9;11;22;47
"José Bonifácio";-;-;-;-;1;5;3;9
"Lajeado";-;-;-;2;3;8;12;25
"Lapa";-;-;-;2;3;3;9;17
"Liberdade";-;-;1;1;-;4;8;14
"Limão";-;-;-;-;1;2;13;16
"Mandaqui";-;-;-;1;2;4;16;23
"Marsilac";-;-;-;1;1;1;2;5
"Moema";-;-;-;-;-;1;2;3
"Moóca";-;-;-;1;1;1;9;12
"Morumbi";-;-;-;-;1;1;2;4
"Parelheiros";-;-;-;3;4;12;13;32
"Pari";-;-;-;-;-;2;1;3
"Parque do Carmo";-;-;-;4;3;5;3;15
"Pedreira";-;-;1;1;5;8;5;20
"Penha";-;-;-;-;1;2;15;18
"Perdizes";-;-;-;-;-;1;11;12
"Perus";-;-;-;-;3;2;2;7
"Pinheiros";-;-;-;-;-;-;2;2
"Pirituba";-;1;-;1;8;6;15;31
"Ponte Rasa";-;-;-;1;1;2;10;14
"Raposo Tavares";-;-;-;2;4;4;8;18
"República";-;-;1;1;-;3;4;9
"Rio Pequeno";-;-;-;2;4;4;6;16
"Sacomã";-;-;1;1;11;10;24;47
"Santa Cecília";-;-;-;1;-;4;11;16
"Santana";-;-;-;1;1;6;15;23
"Santo Amaro";-;-;-;-;3;4;10;17
"São Domingos";-;-;-;2;1;2;5;10
"São Lucas";-;-;-;3;3;9;8;23
"São Mateus";-;-;-;1;-;6;15;22
"São Miguel";-;1;-;1;5;3;10;20
"São Rafael";-;-;1;-;1;1;10;13
"Sapopemba";-;-;1;1;3;8;19;32
"Saúde";-;-;-;-;2;3;9;14
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;1;-;2;1;2;6
"Tatuapé";-;-;-;-;1;2;10;13
"Tremembé";-;-;-;1;6;5;19;31
"Tucuruvi";-;-;-;1;3;6;9;19
"Vila Andrade";-;-;-;3;2;3;4;12
"Vila Curuçá";-;-;1;3;3;6;16;29
"Vila Formosa";1;-;-;1;2;6;11;21
"Vila Guilherme";-;-;-;-;5;2;7;14
"Vila Jacuí";-;-;1;3;4;4;9;21
"Vila Leopoldina";-;-;-;-;-;-;3;3
"Vila Maria";-;-;-;1;3;4;7;15
"Vila Mariana";-;-;-;-;-;1;4;5
"Vila Matilde";-;-;-;2;3;5;9;19
"Vila Medeiros";-;-;-;3;4;7;17;31
"Vila Prudente";1;-;-;1;4;1;8;15
"Vila Sônia";-;-;1;2;1;1;10;15
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;1;4;2;4;11
"Total";2;5;32;141;250;403;960;1793
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
