Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I10 Hipertensao essencial
Lista condens CID10: Doenças hipertensivas
Período:2023
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;1;6;-;7
"Alto de Pinheiros";-;-;-;-;-;1;-;1
"Anhanguera";-;-;-;-;-;1;-;1
"Aricanduva";-;-;-;-;1;3;-;4
"Artur Alvim";-;-;-;-;2;3;-;5
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;3;-;3
"Belém";-;-;-;-;-;2;-;2
"Bom Retiro";-;-;-;-;-;3;-;3
"Brás";-;-;1;-;1;-;-;2
"Brasilândia";-;-;3;1;6;10;-;20
"Butantã";-;-;-;-;-;3;-;3
"Cachoeirinha";-;-;-;-;1;2;-;3
"Cambuci";-;-;-;-;-;1;-;1
"Campo Belo";-;-;-;-;-;10;-;10
"Campo Grande";-;-;-;-;1;1;-;2
"Campo Limpo";-;-;-;1;2;3;-;6
"Cangaíba";-;-;-;3;4;10;-;17
"Capão Redondo";-;-;1;1;7;3;-;12
"Carrão";-;-;-;1;1;1;-;3
"Casa Verde";-;-;-;1;-;2;-;3
"Cidade Ademar";-;-;-;2;1;3;-;6
"Cidade Dutra";-;-;-;3;1;3;-;7
"Cidade Líder";-;-;-;1;1;5;-;7
"Cidade Tiradentes";1;-;4;-;4;3;-;12
"Consolação";-;-;-;-;-;2;-;2
"Cursino";-;-;-;-;-;3;-;3
"Ermelino Matarazzo";-;-;1;1;2;2;-;6
"Freguesia do Ó";-;-;2;1;4;4;-;11
"Grajaú";-;1;2;2;2;4;-;11
"Guaianases";-;3;-;1;2;3;-;9
"Iguatemi";-;1;2;-;1;2;-;6
"Ipiranga";-;-;-;1;1;4;-;6
"Itaim Bibi";-;-;-;-;-;7;-;7
"Itaim Paulista";-;-;1;-;4;5;-;10
"Itaquera";-;-;1;2;-;5;-;8
"Jabaquara";-;-;-;2;-;7;-;9
"Jaçanã";-;-;-;-;1;4;-;5
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;1;-;-;1
"Jaraguá";-;-;-;3;3;7;-;13
"Jardim Ângela";-;-;2;2;1;2;-;7
"Jardim Helena";-;-;-;1;-;3;-;4
"Jardim Paulista";-;-;-;1;-;3;-;4
"Jardim São Luís";-;-;-;2;2;6;-;10
"José Bonifácio";-;-;-;-;1;6;-;7
"Lajeado";-;-;1;-;3;4;-;8
"Lapa";-;-;-;-;1;8;-;9
"Liberdade";-;-;-;-;1;4;-;5
"Limão";-;1;-;-;2;3;-;6
"Mandaqui";-;-;-;-;-;4;-;4
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;5;-;5
"Moóca";-;-;-;-;1;5;-;6
"Morumbi";-;-;-;-;1;-;-;1
"Parelheiros";-;-;-;-;2;-;-;2
"Pari";-;-;1;-;-;-;-;1
"Parque do Carmo";-;-;1;-;-;1;-;2
"Pedreira";-;-;-;1;1;3;-;5
"Penha";-;-;1;1;1;4;-;7
"Perdizes";-;-;-;-;-;3;-;3
"Perus";-;-;-;3;1;2;-;6
"Pinheiros";-;-;-;-;1;2;-;3
"Pirituba";-;-;-;-;2;6;-;8
"Ponte Rasa";-;-;-;3;1;8;-;12
"Raposo Tavares";-;-;-;-;1;2;-;3
"República";-;-;-;-;-;1;-;1
"Rio Pequeno";-;-;-;-;-;-;-;-
"Sacomã";-;-;-;2;1;1;-;4
"Santa Cecília";-;-;-;-;-;-;-;-
"Santana";-;-;-;-;1;5;-;6
"Santo Amaro";-;-;-;1;-;2;-;3
"São Domingos";-;-;-;-;-;1;-;1
"São Lucas";-;-;-;-;1;7;-;8
"São Mateus";-;-;-;1;5;3;-;9
"São Miguel";-;-;2;-;-;4;-;6
"São Rafael";-;-;1;-;-;3;-;4
"Sapopemba";-;-;-;3;2;5;-;10
"Saúde";-;-;-;-;2;6;-;8
"Sé";-;-;-;-;1;1;-;2
"Socorro";-;-;-;-;-;1;-;1
"Tatuapé";-;-;-;-;-;1;-;1
"Tremembé";-;1;1;3;-;7;-;12
"Tucuruvi";-;-;-;1;3;3;-;7
"Vila Andrade";-;-;-;-;-;2;-;2
"Vila Curuçá";1;-;-;2;1;6;-;10
"Vila Formosa";-;-;1;-;3;2;-;6
"Vila Guilherme";-;-;-;-;-;3;-;3
"Vila Jacuí";-;-;1;-;2;3;-;6
"Vila Leopoldina";-;-;-;-;-;2;-;2
"Vila Maria";-;-;-;-;1;2;-;3
"Vila Mariana";-;-;-;-;-;4;-;4
"Vila Matilde";-;-;1;-;1;2;-;4
"Vila Medeiros";-;-;-;-;2;8;-;10
"Vila Prudente";-;-;-;-;-;5;-;5
"Vila Sônia";-;-;-;3;-;4;-;7
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;1;-;1;2;3;1;8
"Total";2;8;31;58;106;322;1;528
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
