Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2019
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;8;9
"Alto de Pinheiros";-;-;-;1;-;3;4
"Anhanguera";-;-;-;2;1;1;4
"Aricanduva";-;-;1;2;3;6;12
"Artur Alvim";-;-;-;1;2;5;8
"Barra Funda";-;-;-;-;-;1;1
"Bela Vista";-;-;-;1;1;3;5
"Belém";-;-;-;3;1;3;7
"Bom Retiro";-;-;-;-;1;3;4
"Brás";-;-;-;1;-;2;3
"Brasilândia";3;-;3;4;12;12;34
"Butantã";-;-;-;2;1;2;5
"Cachoeirinha";-;-;1;2;5;6;14
"Cambuci";-;-;-;2;1;1;4
"Campo Belo";-;-;1;-;-;3;4
"Campo Grande";-;-;-;-;3;4;7
"Campo Limpo";-;-;-;4;2;7;13
"Cangaíba";1;-;-;3;4;6;14
"Capão Redondo";-;5;7;5;8;6;31
"Carrão";-;-;-;3;4;9;16
"Casa Verde";-;-;1;2;1;3;7
"Cidade Ademar";-;-;3;4;6;15;28
"Cidade Dutra";-;-;-;4;7;8;19
"Cidade Líder";-;-;-;-;2;7;9
"Cidade Tiradentes";-;-;4;7;6;6;23
"Consolação";-;-;-;1;1;1;3
"Cursino";-;-;-;1;-;9;10
"Ermelino Matarazzo";-;-;1;1;2;9;13
"Freguesia do Ó";-;3;1;2;6;9;21
"Grajaú";-;2;5;7;14;9;37
"Guaianases";-;-;2;5;2;3;12
"Iguatemi";-;-;-;1;5;4;10
"Ipiranga";-;-;1;1;2;9;13
"Itaim Bibi";-;-;-;1;1;3;5
"Itaim Paulista";-;2;1;5;6;11;25
"Itaquera";-;-;3;2;10;18;33
"Jabaquara";-;-;-;3;5;10;18
"Jaçanã";-;-;4;-;5;6;15
"Jaguara";-;1;-;-;-;3;4
"Jaguaré";-;-;-;-;-;1;1
"Jaraguá";-;1;1;8;10;5;25
"Jardim Ângela";1;3;4;6;16;13;43
"Jardim Helena";1;-;2;3;10;7;23
"Jardim Paulista";-;-;-;-;-;6;6
"Jardim São Luís";-;-;2;6;5;12;25
"José Bonifácio";-;2;2;2;6;8;20
"Lajeado";-;1;2;2;3;10;18
"Lapa";-;-;-;-;2;4;6
"Liberdade";-;-;-;1;-;2;3
"Limão";-;1;-;1;3;5;10
"Mandaqui";-;-;1;-;1;6;8
"Marsilac";-;-;-;-;1;-;1
"Moema";-;-;-;1;1;5;7
"Moóca";-;-;-;-;3;6;9
"Morumbi";-;-;-;-;-;2;2
"Parelheiros";-;-;-;-;2;6;8
"Pari";-;-;-;-;1;-;1
"Parque do Carmo";-;-;1;-;1;4;6
"Pedreira";-;2;1;4;1;7;15
"Penha";-;-;1;3;2;11;17
"Perdizes";-;-;-;1;-;5;6
"Perus";-;-;-;1;1;5;7
"Pinheiros";-;-;-;-;1;5;6
"Pirituba";-;2;3;3;5;17;30
"Ponte Rasa";-;1;1;2;5;4;13
"Raposo Tavares";-;1;-;1;1;1;4
"República";-;-;-;-;2;1;3
"Rio Pequeno";-;-;-;3;4;5;12
"Sacomã";-;-;2;2;4;15;23
"Santa Cecília";-;-;-;1;1;6;8
"Santana";-;-;-;4;1;9;14
"Santo Amaro";-;-;-;-;-;3;3
"São Domingos";-;-;2;1;3;8;14
"São Lucas";-;-;-;1;3;5;9
"São Mateus";-;1;2;5;4;8;20
"São Miguel";-;-;5;2;1;12;20
"São Rafael";-;-;-;5;5;8;18
"Sapopemba";-;-;1;1;9;8;19
"Saúde";-;-;2;3;2;5;12
"Sé";-;-;-;-;-;1;1
"Socorro";-;1;-;1;-;4;6
"Tatuapé";-;-;2;-;1;8;11
"Tremembé";-;2;2;3;6;6;19
"Tucuruvi";-;-;1;1;2;9;13
"Vila Andrade";-;-;1;1;-;9;11
"Vila Curuçá";-;-;1;5;14;8;28
"Vila Formosa";-;-;3;1;1;7;12
"Vila Guilherme";-;-;-;-;-;3;3
"Vila Jacuí";-;-;2;6;5;3;16
"Vila Leopoldina";-;-;-;-;-;2;2
"Vila Maria";-;-;-;3;5;4;12
"Vila Mariana";-;-;1;2;-;4;7
"Vila Matilde";-;-;3;1;4;5;13
"Vila Medeiros";-;-;2;4;3;8;17
"Vila Prudente";-;-;-;1;1;5;7
"Vila Sônia";1;-;-;1;-;5;7
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;1;2;1;5;9
"Total";7;31;93;188;294;580;1193
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
