Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I11 Doenc cardiaca hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2021
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;1;2;8;12
"Alto de Pinheiros";-;-;-;-;1;-;2;3
"Anhanguera";-;-;-;2;-;2;4;8
"Aricanduva";-;-;-;3;-;2;7;12
"Artur Alvim";-;-;-;1;1;2;15;19
"Barra Funda";-;-;-;-;-;-;2;2
"Bela Vista";-;-;-;-;-;1;7;8
"Belém";-;-;-;-;4;-;2;6
"Bom Retiro";-;-;-;-;-;1;3;4
"Brás";-;-;-;1;-;-;-;1
"Brasilândia";-;-;-;3;5;9;9;26
"Butantã";-;-;-;1;2;1;7;11
"Cachoeirinha";-;-;-;3;2;2;9;16
"Cambuci";-;-;-;-;2;-;3;5
"Campo Belo";-;-;-;-;-;1;5;6
"Campo Grande";-;-;-;2;2;3;3;10
"Campo Limpo";-;-;-;-;3;2;9;14
"Cangaíba";-;-;-;1;1;3;12;17
"Capão Redondo";-;-;2;3;5;10;12;32
"Carrão";-;-;-;1;1;1;13;16
"Casa Verde";-;-;-;-;-;3;4;7
"Cidade Ademar";-;-;-;1;5;6;14;26
"Cidade Dutra";-;-;1;-;2;8;15;26
"Cidade Líder";-;-;-;1;3;1;9;14
"Cidade Tiradentes";-;-;-;2;2;4;8;16
"Consolação";-;-;-;-;-;1;3;4
"Cursino";-;-;-;1;-;2;3;6
"Ermelino Matarazzo";-;-;1;-;1;2;10;14
"Freguesia do Ó";-;-;-;1;6;7;18;32
"Grajaú";-;-;-;-;7;5;10;22
"Guaianases";-;-;-;2;1;3;3;9
"Iguatemi";-;-;-;2;1;5;2;10
"Ipiranga";-;-;-;-;2;1;4;7
"Itaim Bibi";-;-;-;-;-;-;2;2
"Itaim Paulista";-;-;-;-;5;3;8;16
"Itaquera";-;-;-;2;1;6;12;21
"Jabaquara";-;-;-;1;2;6;15;24
"Jaçanã";-;-;-;2;1;1;6;10
"Jaguara";-;-;1;-;-;1;5;7
"Jaguaré";-;-;-;-;-;2;3;5
"Jaraguá";-;1;-;2;6;7;13;29
"Jardim Ângela";-;-;2;4;5;9;9;29
"Jardim Helena";1;-;-;-;5;4;9;19
"Jardim Paulista";-;-;-;-;-;1;4;5
"Jardim São Luís";-;-;-;1;7;11;10;29
"José Bonifácio";-;-;2;1;1;2;4;10
"Lajeado";-;-;-;-;4;1;4;9
"Lapa";-;-;-;-;-;2;4;6
"Liberdade";-;1;-;-;-;2;4;7
"Limão";-;-;-;-;3;6;7;16
"Mandaqui";-;-;-;1;3;-;8;12
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;2;1;1;4
"Moóca";-;-;1;-;1;-;12;14
"Morumbi";-;-;-;-;-;2;3;5
"Parelheiros";-;-;-;-;5;5;7;17
"Pari";-;-;-;-;1;-;3;4
"Parque do Carmo";-;-;-;-;2;2;8;12
"Pedreira";-;-;1;3;3;3;6;16
"Penha";-;-;1;-;1;7;14;23
"Perdizes";-;-;-;-;-;-;6;6
"Perus";-;-;1;-;2;-;3;6
"Pinheiros";-;-;-;-;-;-;3;3
"Pirituba";-;-;-;2;2;6;20;30
"Ponte Rasa";-;-;-;1;2;4;6;13
"Raposo Tavares";-;-;1;1;3;4;4;13
"República";-;-;-;-;-;1;1;2
"Rio Pequeno";-;-;-;-;1;3;6;10
"Sacomã";-;-;-;-;3;2;13;18
"Santa Cecília";-;-;-;-;-;-;8;8
"Santana";-;-;-;2;3;2;12;19
"Santo Amaro";-;-;-;-;-;1;5;6
"São Domingos";-;-;-;-;2;3;9;14
"São Lucas";-;-;1;-;1;6;13;21
"São Mateus";-;-;-;2;4;6;7;19
"São Miguel";-;-;-;1;2;3;8;14
"São Rafael";-;-;-;2;2;3;6;13
"Sapopemba";-;-;-;-;3;9;17;29
"Saúde";-;-;-;1;1;-;10;12
"Sé";-;-;-;1;-;-;-;1
"Socorro";-;-;1;-;-;1;4;6
"Tatuapé";-;-;-;1;2;-;5;8
"Tremembé";-;-;-;1;3;7;18;29
"Tucuruvi";-;-;-;-;-;4;8;12
"Vila Andrade";1;-;-;-;-;1;3;5
"Vila Curuçá";-;-;-;1;2;6;7;16
"Vila Formosa";-;-;2;-;4;-;8;14
"Vila Guilherme";-;-;-;-;-;1;2;3
"Vila Jacuí";-;-;1;-;4;1;4;10
"Vila Leopoldina";-;-;-;-;-;1;1;2
"Vila Maria";-;-;1;1;-;3;5;10
"Vila Mariana";-;-;-;-;1;2;7;10
"Vila Matilde";-;1;-;2;1;8;8;20
"Vila Medeiros";-;-;-;1;1;7;12;21
"Vila Prudente";-;-;-;1;3;1;6;11
"Vila Sônia";-;-;-;1;2;6;7;16
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;1;-;1;3;2;7
"Total";2;3;22;70;173;279;680;1229
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
