Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2018
"Distrito Admin residência";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;-;1;2
"Alto de Pinheiros";-;-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;1;-;2;3
"Artur Alvim";-;-;-;-;2;1;2;5
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;1;-;1
"Belém";-;-;-;-;-;1;1;2
"Bom Retiro";-;-;-;-;-;-;1;1
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;3;2;2;7
"Butantã";-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;1;1;-;2
"Cambuci";-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;1;1;2
"Campo Grande";-;-;-;-;-;-;2;2
"Campo Limpo";-;-;-;-;-;-;1;1
"Cangaíba";-;-;-;-;-;-;3;3
"Capão Redondo";-;-;-;2;-;1;2;5
"Carrão";-;-;-;-;-;-;3;3
"Casa Verde";-;-;-;-;-;1;1;2
"Cidade Ademar";-;-;-;2;1;2;2;7
"Cidade Dutra";-;-;-;-;2;-;-;2
"Cidade Líder";-;-;-;1;-;1;1;3
"Cidade Tiradentes";-;-;-;1;-;-;1;2
"Consolação";-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;1;1;1;-;1;4
"Freguesia do Ó";-;-;-;-;2;-;1;3
"Grajaú";-;-;-;-;1;2;-;3
"Guaianases";-;-;-;1;-;1;1;3
"Iguatemi";-;-;-;-;-;-;1;1
"Ipiranga";-;-;-;-;1;-;1;2
"Itaim Bibi";-;-;-;-;-;-;1;1
"Itaim Paulista";-;-;2;-;-;1;3;6
"Itaquera";-;-;-;-;-;-;1;1
"Jabaquara";-;-;-;-;-;1;8;9
"Jaçanã";-;-;-;-;-;1;-;1
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;1;2;1;1;5
"Jardim Ângela";-;-;-;1;-;2;-;3
"Jardim Helena";-;-;-;1;-;-;2;3
"Jardim Paulista";-;-;-;-;-;-;2;2
"Jardim São Luís";-;-;-;1;1;1;1;4
"José Bonifácio";-;-;-;-;-;2;-;2
"Lajeado";-;-;-;-;-;1;2;3
"Lapa";-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;2;2
"Limão";-;-;-;-;1;1;3;5
"Mandaqui";-;-;-;-;1;-;3;4
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;2;2
"Moóca";-;-;1;-;-;-;-;1
"Morumbi";-;-;-;-;-;-;-;-
"Parelheiros";-;-;1;-;1;2;1;5
"Pari";-;-;-;-;1;1;-;2
"Parque do Carmo";-;-;-;-;-;-;-;-
"Pedreira";1;-;-;-;1;1;3;6
"Penha";-;-;-;-;-;-;1;1
"Perdizes";-;-;-;-;-;1;2;3
"Perus";-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;-;1;2;3
"Ponte Rasa";-;-;-;-;1;2;1;4
"Raposo Tavares";-;-;-;-;-;-;1;1
"República";-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;1;-;-;1;2;4
"Sacomã";-;1;-;1;2;-;3;7
"Santa Cecília";-;-;-;-;-;-;1;1
"Santana";-;-;1;-;-;-;6;7
"Santo Amaro";-;-;-;-;-;-;1;1
"São Domingos";-;-;-;-;-;1;3;4
"São Lucas";-;-;-;-;-;2;3;5
"São Mateus";-;-;1;-;1;-;3;5
"São Miguel";-;-;-;-;-;1;-;1
"São Rafael";-;-;-;-;-;2;1;3
"Sapopemba";-;-;-;-;2;1;3;6
"Saúde";-;-;-;-;-;-;4;4
"Sé";-;-;-;-;-;1;-;1
"Socorro";-;-;-;-;-;1;1;2
"Tatuapé";-;-;-;-;1;1;3;5
"Tremembé";-;-;-;1;-;1;1;3
"Tucuruvi";-;-;-;-;1;2;2;5
"Vila Andrade";-;-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;1;-;2;2;5
"Vila Formosa";-;-;-;1;1;1;2;5
"Vila Guilherme";-;-;-;-;-;-;1;1
"Vila Jacuí";-;-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-;-
"Vila Maria";-;-;1;1;1;-;1;4
"Vila Mariana";-;-;-;-;-;1;5;6
"Vila Matilde";-;-;-;1;1;1;2;5
"Vila Medeiros";-;-;-;-;-;1;4;5
"Vila Prudente";-;-;-;-;1;1;-;2
"Vila Sônia";-;-;-;-;1;-;2;3
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;2;-;-;2
"Total";1;1;9;18;39;55;131;254
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
