Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2020
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;-;2;3
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;1;-;-;1
"Aricanduva";-;-;-;1;1;-;2
"Artur Alvim";-;-;2;-;1;2;5
"Barra Funda";-;-;-;-;1;-;1
"Bela Vista";-;-;-;-;-;-;-
"Belém";-;-;-;1;-;-;1
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;1;3;-;4;8
"Butantã";-;-;-;-;-;1;1
"Cachoeirinha";-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;3;3
"Campo Limpo";-;-;-;1;-;2;3
"Cangaíba";-;-;-;-;2;1;3
"Capão Redondo";-;-;1;1;-;-;2
"Carrão";-;-;-;1;-;3;4
"Casa Verde";-;1;-;-;-;3;4
"Cidade Ademar";-;-;2;-;3;-;5
"Cidade Dutra";-;-;-;-;3;1;4
"Cidade Líder";-;-;-;1;1;1;3
"Cidade Tiradentes";-;-;1;1;-;5;7
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;2;2
"Ermelino Matarazzo";-;1;-;-;1;1;3
"Freguesia do Ó";-;-;1;2;1;4;8
"Grajaú";-;-;3;-;1;5;9
"Guaianases";-;-;-;1;1;2;4
"Iguatemi";-;-;-;1;1;-;2
"Ipiranga";-;1;-;-;-;4;5
"Itaim Bibi";-;-;-;-;1;-;1
"Itaim Paulista";-;-;1;-;4;1;6
"Itaquera";-;-;-;3;1;4;8
"Jabaquara";-;-;1;-;-;-;1
"Jaçanã";-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;1;1;2
"Jaraguá";-;1;-;3;-;-;4
"Jardim Ângela";-;2;-;1;2;1;6
"Jardim Helena";-;-;1;1;-;1;3
"Jardim Paulista";-;-;-;-;-;2;2
"Jardim São Luís";1;-;1;1;1;5;9
"José Bonifácio";-;-;1;1;1;1;4
"Lajeado";-;-;1;2;-;-;3
"Lapa";-;-;-;-;-;1;1
"Liberdade";-;-;-;-;-;-;-
"Limão";-;-;-;1;1;-;2
"Mandaqui";-;-;1;-;-;-;1
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;1;1
"Moóca";-;-;-;-;-;2;2
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";1;-;1;2;3;1;8
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;1;2
"Pedreira";-;-;-;-;-;2;2
"Penha";-;-;-;-;-;2;2
"Perdizes";-;-;-;-;-;2;2
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;2;2
"Pirituba";-;-;-;1;-;3;4
"Ponte Rasa";-;-;2;-;1;-;3
"Raposo Tavares";-;-;-;-;1;3;4
"República";-;-;-;1;-;1;2
"Rio Pequeno";-;-;-;-;-;4;4
"Sacomã";-;-;1;1;1;2;5
"Santa Cecília";-;-;-;-;-;2;2
"Santana";-;-;-;-;-;1;1
"Santo Amaro";-;-;-;1;-;-;1
"São Domingos";-;-;-;-;-;-;-
"São Lucas";-;-;-;2;1;2;5
"São Mateus";-;-;1;-;-;-;1
"São Miguel";1;-;-;1;2;2;6
"São Rafael";-;-;-;-;1;-;1
"Sapopemba";-;-;-;1;-;3;4
"Saúde";-;-;-;-;1;3;4
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;1;2;3
"Tremembé";1;-;1;3;-;2;7
"Tucuruvi";-;-;-;-;1;2;3
"Vila Andrade";-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;1;1;5;7
"Vila Formosa";-;-;-;-;-;4;4
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;1;-;-;1;2
"Vila Leopoldina";-;-;-;-;1;-;1
"Vila Maria";-;1;-;-;1;3;5
"Vila Mariana";-;-;-;-;-;2;2
"Vila Matilde";-;-;-;-;1;1;2
"Vila Medeiros";-;-;-;-;-;2;2
"Vila Prudente";-;-;-;-;-;2;2
"Vila Sônia";-;-;-;-;-;3;3
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;1;-;-;1
"Total";4;7;25;44;47;135;262
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
