Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I12 Doenc renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2021
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;1;1
"Alto de Pinheiros";-;-;-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;1;-;-;-;1
"Aricanduva";-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;2;2;1;3;8
"Barra Funda";-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;1;3;4
"Bom Retiro";-;-;-;-;-;1;-;-;1
"Brás";-;-;-;-;-;-;-;1;1
"Brasilândia";-;-;-;-;2;1;3;3;9
"Butantã";-;-;-;-;-;1;-;1;2
"Cachoeirinha";-;-;-;-;1;-;1;2;4
"Cambuci";-;-;-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;1;1;1;3
"Campo Grande";-;-;-;-;-;1;1;4;6
"Campo Limpo";-;-;-;-;-;3;1;2;6
"Cangaíba";-;-;-;-;1;3;3;4;11
"Capão Redondo";-;-;-;-;1;1;1;3;6
"Carrão";-;-;-;-;-;1;1;1;3
"Casa Verde";-;-;-;-;1;1;-;1;3
"Cidade Ademar";-;-;-;-;-;-;1;1;2
"Cidade Dutra";-;-;-;-;1;2;-;2;5
"Cidade Líder";-;-;-;1;-;1;2;-;4
"Cidade Tiradentes";-;-;-;-;1;3;1;1;6
"Consolação";-;-;-;-;-;-;-;1;1
"Cursino";-;-;-;-;-;-;1;1;2
"Ermelino Matarazzo";-;-;-;-;-;1;1;1;3
"Freguesia do Ó";1;-;-;-;-;2;1;2;6
"Grajaú";-;-;-;3;-;1;1;3;8
"Guaianases";-;-;-;2;-;1;-;-;3
"Iguatemi";-;-;-;-;-;1;-;2;3
"Ipiranga";-;-;-;-;-;-;-;1;1
"Itaim Bibi";-;-;-;-;-;-;-;-;-
"Itaim Paulista";-;1;-;-;-;1;2;2;6
"Itaquera";-;-;-;-;1;1;3;3;8
"Jabaquara";-;-;-;-;-;1;-;5;6
"Jaçanã";-;-;-;-;-;-;1;2;3
"Jaguara";-;-;-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;1;-;1;2
"Jaraguá";-;-;-;-;-;-;1;1;2
"Jardim Ângela";-;-;-;-;1;3;2;2;8
"Jardim Helena";-;-;-;1;-;-;2;2;5
"Jardim Paulista";-;-;-;-;-;-;-;5;5
"Jardim São Luís";-;1;-;-;-;-;-;1;2
"José Bonifácio";-;-;-;-;1;-;-;2;3
"Lajeado";-;-;-;-;-;-;1;2;3
"Lapa";-;-;-;-;-;-;1;2;3
"Liberdade";-;-;-;-;-;1;-;2;3
"Limão";-;-;-;-;-;-;1;2;3
"Mandaqui";-;-;-;-;-;-;-;1;1
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;3;3
"Moóca";-;-;-;-;-;1;-;1;2
"Morumbi";-;-;-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;-;-;2;1;3
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;1;1
"Pedreira";-;-;-;-;-;-;-;1;1
"Penha";-;-;-;-;1;-;-;2;3
"Perdizes";-;-;-;-;-;1;-;1;2
"Perus";-;-;1;-;-;-;1;1;3
"Pinheiros";-;-;-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;2;1;6;9
"Ponte Rasa";-;-;-;-;1;-;2;1;4
"Raposo Tavares";-;-;-;-;-;-;2;2;4
"República";-;-;-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;1;-;3;4
"Sacomã";-;-;-;2;-;-;-;1;3
"Santa Cecília";-;-;-;1;-;2;-;3;6
"Santana";-;-;-;-;-;1;1;6;8
"Santo Amaro";-;-;-;-;-;-;-;5;5
"São Domingos";-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;1;2;-;1;4;8
"São Mateus";-;-;1;-;-;-;1;1;3
"São Miguel";-;-;-;2;-;1;2;2;7
"São Rafael";-;-;-;-;-;2;1;-;3
"Sapopemba";-;-;-;1;1;1;-;1;4
"Saúde";-;-;-;-;-;-;1;-;1
"Sé";-;-;-;-;-;1;-;-;1
"Socorro";-;-;-;-;-;1;-;-;1
"Tatuapé";-;-;-;-;-;-;1;1;2
"Tremembé";-;-;-;-;1;1;-;-;2
"Tucuruvi";-;-;-;-;1;2;-;-;3
"Vila Andrade";-;-;-;-;-;-;1;2;3
"Vila Curuçá";-;-;-;-;-;-;-;1;1
"Vila Formosa";-;-;-;-;-;-;1;4;5
"Vila Guilherme";-;-;-;-;-;1;-;-;1
"Vila Jacuí";-;-;-;1;1;1;-;1;4
"Vila Leopoldina";-;-;-;-;-;1;-;-;1
"Vila Maria";-;-;-;-;-;-;1;-;1
"Vila Mariana";-;-;-;-;-;-;-;3;3
"Vila Matilde";-;-;-;-;-;1;2;2;5
"Vila Medeiros";-;-;-;-;-;1;-;1;2
"Vila Prudente";-;-;-;-;-;-;-;4;4
"Vila Sônia";-;-;-;-;-;1;-;2;3
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;-;-;1
"Total";1;2;2;15;22;60;57;153;312
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
