Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2018
"Distrito Admin residência";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;1;-;-;3;4
"Alto de Pinheiros";-;-;-;-;-;-;2;2
"Anhanguera";-;-;-;-;1;1;-;2
"Aricanduva";-;-;-;-;-;1;4;5
"Artur Alvim";-;-;1;-;1;2;3;7
"Barra Funda";-;-;-;-;-;-;1;1
"Bela Vista";-;1;-;-;-;-;1;2
"Belém";-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;1;-;-;-;1
"Brás";-;-;-;-;-;1;-;1
"Brasilândia";-;-;-;3;2;2;2;9
"Butantã";-;-;-;1;1;-;2;4
"Cachoeirinha";-;-;-;1;1;3;2;7
"Cambuci";-;-;-;-;-;1;-;1
"Campo Belo";-;-;-;-;-;-;3;3
"Campo Grande";-;-;-;-;-;-;1;1
"Campo Limpo";-;-;-;1;1;1;4;7
"Cangaíba";-;-;-;-;-;-;7;7
"Capão Redondo";-;-;1;2;-;1;3;7
"Carrão";-;-;-;-;3;1;1;5
"Casa Verde";-;-;1;-;1;-;2;4
"Cidade Ademar";-;-;2;1;5;2;1;11
"Cidade Dutra";-;-;1;-;1;-;-;2
"Cidade Líder";-;-;-;1;1;3;-;5
"Cidade Tiradentes";-;-;-;-;1;-;-;1
"Consolação";-;-;-;-;-;-;-;-
"Cursino";-;-;-;1;1;-;1;3
"Ermelino Matarazzo";-;-;1;-;-;2;-;3
"Freguesia do Ó";-;-;1;1;1;3;7;13
"Grajaú";-;1;2;3;2;2;3;13
"Guaianases";-;-;-;-;-;-;1;1
"Iguatemi";-;-;-;1;2;3;1;7
"Ipiranga";-;-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;1;1;-;2;4
"Itaim Paulista";-;-;2;2;5;2;1;12
"Itaquera";-;-;1;1;1;1;2;6
"Jabaquara";1;-;-;1;-;-;3;5
"Jaçanã";-;-;-;-;-;-;2;2
"Jaguara";-;-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;1;-;1
"Jaraguá";-;-;-;2;2;1;3;8
"Jardim Ângela";-;-;1;2;1;-;3;7
"Jardim Helena";-;-;-;-;2;2;2;6
"Jardim Paulista";-;-;-;-;-;-;-;-
"Jardim São Luís";-;-;1;2;2;1;5;11
"José Bonifácio";-;-;-;-;-;1;-;1
"Lajeado";-;-;1;-;3;-;1;5
"Lapa";-;-;-;-;-;1;2;3
"Liberdade";-;-;1;-;-;-;1;2
"Limão";-;-;-;-;-;1;1;2
"Mandaqui";-;-;-;1;-;-;1;2
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;1;1
"Moóca";-;-;-;-;-;-;-;-
"Morumbi";-;-;-;1;-;-;-;1
"Parelheiros";-;-;-;2;1;1;1;5
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;1;1;1;3
"Pedreira";-;-;1;-;1;2;-;4
"Penha";-;-;-;-;1;1;5;7
"Perdizes";-;-;-;-;1;1;-;2
"Perus";-;-;-;1;-;-;1;2
"Pinheiros";-;-;-;-;-;-;-;-
"Pirituba";-;-;1;1;1;-;5;8
"Ponte Rasa";-;-;-;-;1;-;-;1
"Raposo Tavares";-;-;1;-;-;2;1;4
"República";-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;2;2
"Sacomã";-;-;1;-;-;2;3;6
"Santa Cecília";-;-;-;2;1;1;2;6
"Santana";-;-;-;1;2;2;1;6
"Santo Amaro";-;-;-;-;-;-;3;3
"São Domingos";-;-;1;-;-;2;2;5
"São Lucas";-;-;-;-;-;-;5;5
"São Mateus";-;-;-;-;2;2;-;4
"São Miguel";-;-;-;-;1;1;2;4
"São Rafael";-;-;-;-;1;2;1;4
"Sapopemba";-;-;-;2;3;4;8;17
"Saúde";-;-;-;-;-;-;6;6
"Sé";-;-;-;-;-;-;2;2
"Socorro";-;-;-;-;1;-;2;3
"Tatuapé";-;-;-;-;-;2;1;3
"Tremembé";-;-;-;-;1;1;4;6
"Tucuruvi";-;-;-;-;2;1;2;5
"Vila Andrade";-;-;-;-;-;1;-;1
"Vila Curuçá";-;-;-;-;1;1;3;5
"Vila Formosa";-;-;-;-;1;2;7;10
"Vila Guilherme";-;-;-;-;1;-;1;2
"Vila Jacuí";-;-;-;1;1;2;2;6
"Vila Leopoldina";-;-;-;-;-;-;2;2
"Vila Maria";-;-;-;-;2;-;2;4
"Vila Mariana";-;-;-;-;-;-;3;3
"Vila Matilde";-;-;1;1;1;2;2;7
"Vila Medeiros";-;1;-;-;1;2;8;12
"Vila Prudente";-;-;-;1;1;1;3;6
"Vila Sônia";-;-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;1
"Total";1;3;23;43;72;79;180;401
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
