Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I13 Doenc cardiaca e renal hipertensiva
Lista condens CID10: Doenças hipertensivas
Período:2024
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;1;1;3
"Alto de Pinheiros";-;-;-;-;-;2;2
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;1;2;3
"Artur Alvim";-;-;-;-;-;1;1
"Barra Funda";-;-;-;-;-;1;1
"Bela Vista";-;-;-;-;-;1;1
"Belém";-;-;-;-;1;1;2
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;1;-;1;2
"Brasilândia";-;-;-;2;1;2;5
"Butantã";-;-;-;-;-;3;3
"Cachoeirinha";-;-;-;-;-;2;2
"Cambuci";-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;1;1
"Campo Grande";-;-;-;-;-;1;1
"Campo Limpo";-;-;-;-;2;-;2
"Cangaíba";-;-;-;-;1;-;1
"Capão Redondo";-;-;-;2;-;2;4
"Carrão";-;-;-;-;-;-;-
"Casa Verde";-;-;1;2;1;3;7
"Cidade Ademar";-;-;1;-;2;2;5
"Cidade Dutra";-;-;-;1;1;2;4
"Cidade Líder";-;-;-;-;1;6;7
"Cidade Tiradentes";-;-;-;1;-;3;4
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;2;2
"Ermelino Matarazzo";-;-;-;-;2;1;3
"Freguesia do Ó";-;-;-;1;-;2;3
"Grajaú";-;-;-;1;1;1;3
"Guaianases";-;-;-;1;1;1;3
"Iguatemi";-;-;1;2;1;2;6
"Ipiranga";-;-;-;-;-;4;4
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;-;2;2
"Itaquera";-;-;-;1;-;2;3
"Jabaquara";-;-;-;1;1;4;6
"Jaçanã";-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;1;1
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;-;2;-;2;4
"Jardim Ângela";1;1;-;-;2;1;5
"Jardim Helena";-;-;-;-;-;2;2
"Jardim Paulista";-;-;-;-;-;1;1
"Jardim São Luís";-;-;-;1;3;4;8
"José Bonifácio";-;-;-;-;1;2;3
"Lajeado";-;-;-;1;1;4;6
"Lapa";-;-;-;-;1;-;1
"Liberdade";-;-;1;-;1;1;3
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;1;1
"Moóca";-;-;-;-;1;1;2
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;2;-;1;3
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-
"Pedreira";-;-;-;1;1;-;2
"Penha";-;-;-;-;-;3;3
"Perdizes";-;-;1;-;-;3;4
"Perus";-;-;-;1;-;1;2
"Pinheiros";-;-;-;-;-;1;1
"Pirituba";-;-;-;1;2;2;5
"Ponte Rasa";-;-;-;-;-;2;2
"Raposo Tavares";-;-;-;-;-;-;-
"República";-;-;-;1;-;-;1
"Rio Pequeno";-;-;-;-;1;1;2
"Sacomã";-;-;-;-;1;1;2
"Santa Cecília";-;-;-;1;-;-;1
"Santana";-;-;-;1;-;3;4
"Santo Amaro";-;-;-;-;-;1;1
"São Domingos";-;-;-;-;-;1;1
"São Lucas";-;-;-;1;1;-;2
"São Mateus";-;1;-;1;-;1;3
"São Miguel";-;-;-;-;-;5;5
"São Rafael";-;1;-;1;1;-;3
"Sapopemba";-;-;1;-;4;4;9
"Saúde";-;-;-;-;2;2;4
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-
"Tremembé";-;-;1;2;3;4;10
"Tucuruvi";-;-;-;1;-;2;3
"Vila Andrade";-;-;1;2;-;-;3
"Vila Curuçá";-;-;-;-;-;-;-
"Vila Formosa";-;-;-;1;1;-;2
"Vila Guilherme";-;-;-;-;-;3;3
"Vila Jacuí";-;-;-;-;1;1;2
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;1;1
"Vila Mariana";-;-;-;-;1;2;3
"Vila Matilde";-;-;-;-;-;3;3
"Vila Medeiros";-;-;-;-;-;2;2
"Vila Prudente";-;-;-;-;-;1;1
"Vila Sônia";-;-;-;-;-;1;1
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;1;-;2;3
"Total";1;3;9;38;47;133;231
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
