Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I20 Angina pectoris
Período:2018
"Distrito Admin residência";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-
"Anhanguera";-;-;-;-;-
"Aricanduva";-;-;-;-;-
"Artur Alvim";-;-;-;-;-
"Barra Funda";-;-;-;-;-
"Bela Vista";-;-;-;-;-
"Belém";-;-;-;-;-
"Bom Retiro";-;-;-;-;-
"Brás";-;-;-;-;-
"Brasilândia";-;-;-;-;-
"Butantã";-;-;-;-;-
"Cachoeirinha";-;-;-;-;-
"Cambuci";-;-;-;-;-
"Campo Belo";-;-;-;-;-
"Campo Grande";-;-;-;-;-
"Campo Limpo";-;-;-;-;-
"Cangaíba";-;-;-;-;-
"Capão Redondo";-;-;-;-;-
"Carrão";-;-;-;-;-
"Casa Verde";-;-;-;-;-
"Cidade Ademar";-;-;-;-;-
"Cidade Dutra";-;-;-;-;-
"Cidade Líder";-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;-
"Consolação";-;-;-;-;-
"Cursino";-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-
"Grajaú";-;-;-;-;-
"Guaianases";-;-;-;-;-
"Iguatemi";-;-;1;-;1
"Ipiranga";-;-;1;-;1
"Itaim Bibi";-;-;-;-;-
"Itaim Paulista";-;-;-;-;-
"Itaquera";-;-;-;1;1
"Jabaquara";-;-;-;-;-
"Jaçanã";-;-;-;-;-
"Jaguara";-;-;-;-;-
"Jaguaré";-;-;-;-;-
"Jaraguá";-;-;-;-;-
"Jardim Ângela";-;-;-;-;-
"Jardim Helena";-;-;-;-;-
"Jardim Paulista";-;-;-;-;-
"Jardim São Luís";-;-;-;-;-
"José Bonifácio";-;-;-;-;-
"Lajeado";-;-;-;1;1
"Lapa";-;-;-;-;-
"Liberdade";-;1;-;-;1
"Limão";-;-;-;-;-
"Mandaqui";-;-;-;-;-
"Marsilac";-;-;-;-;-
"Moema";-;-;-;-;-
"Moóca";-;-;-;-;-
"Morumbi";-;-;-;-;-
"Parelheiros";-;-;-;-;-
"Pari";-;-;-;-;-
"Parque do Carmo";-;-;-;-;-
"Pedreira";-;-;1;-;1
"Penha";-;-;-;-;-
"Perdizes";-;-;-;-;-
"Perus";-;-;-;-;-
"Pinheiros";-;-;-;-;-
"Pirituba";-;-;-;-;-
"Ponte Rasa";-;-;-;-;-
"Raposo Tavares";-;-;-;-;-
"República";1;-;-;-;1
"Rio Pequeno";-;-;-;-;-
"Sacomã";-;-;-;-;-
"Santa Cecília";-;-;-;-;-
"Santana";-;-;-;-;-
"Santo Amaro";-;-;-;-;-
"São Domingos";-;-;-;-;-
"São Lucas";-;-;-;1;1
"São Mateus";-;-;-;-;-
"São Miguel";-;-;-;1;1
"São Rafael";-;-;-;-;-
"Sapopemba";-;-;-;1;1
"Saúde";-;-;-;-;-
"Sé";-;-;-;-;-
"Socorro";-;-;-;-;-
"Tatuapé";-;-;-;-;-
"Tremembé";-;-;-;-;-
"Tucuruvi";-;1;-;-;1
"Vila Andrade";-;-;-;-;-
"Vila Curuçá";-;-;-;-;-
"Vila Formosa";-;-;-;-;-
"Vila Guilherme";-;-;-;-;-
"Vila Jacuí";-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-
"Vila Maria";-;-;-;-;-
"Vila Mariana";-;-;-;-;-
"Vila Matilde";-;-;-;-;-
"Vila Medeiros";-;-;-;-;-
"Vila Prudente";-;-;-;-;-
"Vila Sônia";-;-;-;-;-
"Desconhecido";-;-;-;-;-
"Ignorado";-;-;-;-;-
"Total";1;2;3;5;11
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
