Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I20 Angina pectoris
Período:2019
"Distrito Admin residência";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-
"Alto de Pinheiros";-;-;-;-
"Anhanguera";-;-;-;-
"Aricanduva";-;-;-;-
"Artur Alvim";-;-;-;-
"Barra Funda";-;-;-;-
"Bela Vista";-;-;-;-
"Belém";-;-;-;-
"Bom Retiro";-;-;-;-
"Brás";-;-;-;-
"Brasilândia";-;-;1;1
"Butantã";-;-;-;-
"Cachoeirinha";-;-;-;-
"Cambuci";-;1;-;1
"Campo Belo";-;-;-;-
"Campo Grande";-;-;-;-
"Campo Limpo";-;-;-;-
"Cangaíba";-;-;-;-
"Capão Redondo";-;-;-;-
"Carrão";-;-;-;-
"Casa Verde";-;-;-;-
"Cidade Ademar";-;-;-;-
"Cidade Dutra";-;-;1;1
"Cidade Líder";-;-;-;-
"Cidade Tiradentes";-;-;-;-
"Consolação";-;-;-;-
"Cursino";-;-;-;-
"Ermelino Matarazzo";-;1;-;1
"Freguesia do Ó";-;-;-;-
"Grajaú";-;-;-;-
"Guaianases";-;-;-;-
"Iguatemi";-;-;-;-
"Ipiranga";-;-;1;1
"Itaim Bibi";-;-;1;1
"Itaim Paulista";-;-;-;-
"Itaquera";-;-;-;-
"Jabaquara";-;-;-;-
"Jaçanã";-;-;-;-
"Jaguara";-;-;-;-
"Jaguaré";-;-;-;-
"Jaraguá";-;-;-;-
"Jardim Ângela";1;-;-;1
"Jardim Helena";-;1;-;1
"Jardim Paulista";-;-;1;1
"Jardim São Luís";-;-;-;-
"José Bonifácio";-;-;-;-
"Lajeado";-;-;2;2
"Lapa";-;-;-;-
"Liberdade";-;-;-;-
"Limão";-;-;-;-
"Mandaqui";-;-;-;-
"Marsilac";-;-;-;-
"Moema";-;-;-;-
"Moóca";-;-;-;-
"Morumbi";-;-;-;-
"Parelheiros";-;-;-;-
"Pari";-;-;-;-
"Parque do Carmo";-;-;-;-
"Pedreira";-;-;-;-
"Penha";-;-;-;-
"Perdizes";-;-;-;-
"Perus";-;-;-;-
"Pinheiros";-;-;-;-
"Pirituba";-;-;-;-
"Ponte Rasa";-;-;-;-
"Raposo Tavares";-;-;1;1
"República";-;-;-;-
"Rio Pequeno";-;1;-;1
"Sacomã";-;-;-;-
"Santa Cecília";-;-;-;-
"Santana";-;-;-;-
"Santo Amaro";-;-;-;-
"São Domingos";-;-;-;-
"São Lucas";-;-;-;-
"São Mateus";-;-;-;-
"São Miguel";-;-;-;-
"São Rafael";-;-;-;-
"Sapopemba";-;-;-;-
"Saúde";-;-;-;-
"Sé";-;-;-;-
"Socorro";-;-;-;-
"Tatuapé";-;-;-;-
"Tremembé";-;-;-;-
"Tucuruvi";-;-;-;-
"Vila Andrade";-;-;-;-
"Vila Curuçá";-;-;-;-
"Vila Formosa";-;-;-;-
"Vila Guilherme";-;-;-;-
"Vila Jacuí";-;-;-;-
"Vila Leopoldina";-;-;-;-
"Vila Maria";-;1;1;2
"Vila Mariana";-;-;-;-
"Vila Matilde";-;-;-;-
"Vila Medeiros";-;-;-;-
"Vila Prudente";-;-;-;-
"Vila Sônia";-;-;-;-
"Desconhecido";-;-;-;-
"Ignorado";-;-;-;-
"Total";1;5;9;15
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
