Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I20 Angina pectoris
Período:2020
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;1;1
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;-;-;-
"Butantã";-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;-;-
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;1;-;1
"Campo Grande";-;-;-;-;-;-;-
"Campo Limpo";-;-;-;-;-;-;-
"Cangaíba";-;-;-;-;-;-;-
"Capão Redondo";-;-;-;-;-;-;-
"Carrão";-;-;-;-;-;-;-
"Casa Verde";-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;-;-;-;-
"Cidade Dutra";-;-;-;-;-;-;-
"Cidade Líder";-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;-;-;-
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;2;2
"Ermelino Matarazzo";-;-;-;1;-;-;1
"Freguesia do Ó";-;-;1;-;-;-;1
"Grajaú";-;-;-;1;-;-;1
"Guaianases";-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;1;1
"Itaim Bibi";-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;-;-;-
"Itaquera";-;-;-;-;-;-;-
"Jabaquara";-;1;-;-;-;-;1
"Jaçanã";-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-
"Jardim Ângela";-;-;-;-;-;-;-
"Jardim Helena";-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;-;-
"Jardim São Luís";-;-;-;-;-;-;-
"José Bonifácio";-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-
"Penha";-;-;-;-;-;-;-
"Perdizes";-;-;-;-;1;-;1
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-
"Pirituba";-;-;-;-;-;-;-
"Ponte Rasa";-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-
"Sacomã";-;-;-;-;-;-;-
"Santa Cecília";-;-;-;-;-;-;-
"Santana";-;-;-;-;-;-;-
"Santo Amaro";-;-;-;-;-;-;-
"São Domingos";-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-
"São Rafael";-;-;-;-;-;1;1
"Sapopemba";-;-;-;-;-;-;-
"Saúde";-;-;-;-;-;-;-
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-
"Tremembé";1;-;-;-;-;1;2
"Tucuruvi";-;-;-;-;-;-;-
"Vila Andrade";-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;1;1
"Vila Mariana";-;-;-;-;-;-;-
"Vila Matilde";-;-;-;-;-;-;-
"Vila Medeiros";-;-;-;-;-;-;-
"Vila Prudente";-;-;1;-;-;-;1
"Vila Sônia";-;-;-;-;-;-;-
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-
"Total";1;1;2;2;2;7;15
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
