Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2018
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;1;1;2;2;17;11;43;-;77
"Alto de Pinheiros";-;-;-;-;-;2;7;17;-;26
"Anhanguera";-;-;-;-;4;3;8;2;-;17
"Aricanduva";-;2;1;6;3;6;11;30;-;59
"Artur Alvim";-;-;-;1;5;14;25;25;-;70
"Barra Funda";-;-;-;-;3;2;3;11;-;19
"Bela Vista";-;-;1;1;5;6;6;24;-;43
"Belém";-;-;-;1;1;8;8;21;-;39
"Bom Retiro";-;-;2;-;3;1;4;10;-;20
"Brás";-;-;-;-;1;3;7;6;-;17
"Brasilândia";-;1;6;12;15;45;45;47;-;171
"Butantã";-;-;-;-;4;6;12;25;-;47
"Cachoeirinha";-;1;1;3;16;17;18;33;-;89
"Cambuci";-;-;-;-;2;5;6;11;-;24
"Campo Belo";-;-;-;3;9;10;10;31;-;63
"Campo Grande";-;-;1;1;2;9;10;21;-;44
"Campo Limpo";2;3;1;6;15;19;20;39;-;105
"Cangaíba";-;1;-;5;6;12;25;45;-;94
"Capão Redondo";-;4;2;5;16;26;14;33;-;100
"Carrão";-;-;-;4;3;13;17;39;-;76
"Casa Verde";-;1;-;2;8;11;14;22;-;58
"Cidade Ademar";-;-;1;8;27;25;35;44;-;140
"Cidade Dutra";-;1;2;4;15;28;21;32;-;103
"Cidade Líder";-;2;1;4;5;18;21;24;-;75
"Cidade Tiradentes";-;2;1;4;11;30;23;18;-;89
"Consolação";-;-;-;-;-;3;8;17;-;28
"Cursino";-;-;-;1;6;12;8;35;-;62
"Ermelino Matarazzo";-;-;1;2;7;15;22;17;-;64
"Freguesia do Ó";-;1;2;9;9;25;21;49;-;116
"Grajaú";-;6;5;9;21;36;22;40;-;139
