Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2019
"Distrito Admin residência";"<1 Ano";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;3;-;5;13;18;44;-;83
"Alto de Pinheiros";-;-;-;-;-;-;-;-;8;17;-;25
"Anhanguera";-;-;-;1;1;1;-;3;4;4;-;14
"Aricanduva";-;-;-;1;1;6;5;15;18;27;-;73
"Artur Alvim";-;-;-;-;-;1;9;16;13;27;-;66
"Barra Funda";-;-;-;-;-;-;1;1;2;7;-;11
"Bela Vista";-;-;-;-;-;-;1;4;3;17;-;25
"Belém";-;-;-;-;-;-;2;7;9;18;-;36
"Bom Retiro";-;-;-;-;-;2;1;3;1;11;-;18
"Brás";-;1;-;-;1;-;1;1;5;7;-;16
"Brasilândia";-;-;-;7;5;10;22;42;35;31;-;152
"Butantã";-;-;-;-;-;-;-;3;8;19;-;30
"Cachoeirinha";-;-;-;-;2;4;12;21;18;30;-;87
"Cambuci";-;-;-;-;1;1;5;2;4;12;-;25
"Campo Belo";-;-;-;-;-;-;3;11;14;36;-;64
"Campo Grande";-;-;-;-;1;1;5;13;8;18;-;46
"Campo Limpo";-;-;-;6;2;3;14;14;16;37;-;92
"Cangaíba";-;-;-;1;1;1;8;20;28;42;-;101
"Capão Redondo";-;-;-;1;2;8;21;29;33;42;-;136
"Carrão";-;-;-;-;1;2;1;13;15;42;-;74
"Casa Verde";-;-;-;-;-;4;4;9;14;36;-;67
"Cidade Ademar";-;-;-;2;2;6;19;34;40;43;-;146
"Cidade Dutra";-;-;-;2;5;5;10;20;21;33;-;96
"Cidade Líder";-;-;-;1;1;3;12;24;19;27;-;87
"Cidade Tiradentes";-;-;1;-;5;6;17;32;35;25;-;121
"Consolação";-;-;-;-;-;-;1;4;1;21;-;27
"Cursino";-;-;-;3;1;2;4;12;22;47;-;91
"Ermelino Matarazzo";-;-;-;-;2;1;7;20;15;22;-;67
"Freguesia do Ó";-;-;-;1;4;3;13;25;35;37;-;118
"Grajaú";-;-;-;3;6;6;21;38;40;41;-;155
"Guaianases";-;-;-;1;2;2;8;21;15;15;-;64
"Iguatemi";-;-;-;1;1;2;13;19;17;17;-;70
"Ipiranga";-;-;-;-;1;2;-;13;12;41;-;69
"Itaim Bibi";-;-;-;-;-;-;4;8;10;34;-;56
"Itaim Paulista";-;-;-;1;1;3;9;33;27;25;-;99
"Itaquera";-;-;1;-;1;8;18;33;33;57;-;151
"Jabaquara";-;-;-;-;2;5;9;28;33;68;-;145
"Jaçanã";-;-;-;-;-;-;5;14;8;19;-;46
"Jaguara";-;-;-;-;-;1;2;2;5;5;-;15
"Jaguaré";-;-;-;-;-;1;1;6;4;11;-;23
"Jaraguá";-;-;-;2;4;8;13;25;32;34;-;118
"Jardim Ângela";-;-;-;4;3;4;22;26;30;36;-;125
"Jardim Helena";-;-;-;1;-;3;10;23;25;33;-;95
"Jardim Paulista";-;-;-;-;-;1;-;4;9;39;-;53
"Jardim São Luís";-;-;1;5;5;9;12;28;26;43;-;129
"José Bonifácio";-;-;-;2;1;3;1;15;20;21;-;63
"Lajeado";-;-;-;-;3;3;11;20;26;21;-;84
"Lapa";-;-;-;-;-;-;2;6;17;28;-;53
"Liberdade";-;-;-;-;-;-;-;7;10;19;-;36
"Limão";-;-;-;-;2;2;5;7;18;25;-;59
"Mandaqui";-;-;-;1;-;3;9;13;13;44;-;83
"Marsilac";-;-;-;-;1;-;-;1;1;3;-;6
"Moema";-;-;-;-;-;-;2;2;9;24;-;37
"Moóca";-;-;-;-;-;2;1;5;9;43;-;60
"Morumbi";-;-;-;1;-;1;1;-;4;13;-;20
"Parelheiros";-;-;-;-;1;7;15;18;12;19;-;72
"Pari";-;-;-;-;-;1;1;1;1;8;-;12
"Parque do Carmo";-;-;-;-;4;4;7;9;11;7;-;42
"Pedreira";-;-;-;1;3;3;7;22;17;16;-;69
"Penha";-;-;-;1;1;4;12;19;10;63;-;110
"Perdizes";-;-;-;-;-;-;3;5;10;34;-;52
"Perus";-;-;-;-;1;2;6;11;9;9;-;38
"Pinheiros";-;-;-;-;-;-;-;5;6;22;-;33
"Pirituba";-;-;-;1;-;5;16;25;23;43;-;113
"Ponte Rasa";-;-;-;-;1;3;6;15;17;26;-;68
"Raposo Tavares";-;-;-;-;-;4;5;8;9;16;-;42
"República";-;-;-;-;-;2;1;9;4;19;-;35
"Rio Pequeno";-;-;-;-;-;-;8;11;16;31;-;66
"Sacomã";-;-;-;-;-;5;14;28;34;55;-;136
"Santa Cecília";-;-;-;1;-;-;1;5;9;22;-;38
"Santana";-;-;-;-;2;1;6;21;20;58;-;108
"Santo Amaro";-;-;-;-;-;-;1;4;11;25;-;41
"São Domingos";-;-;-;1;-;5;3;10;16;37;-;72
"São Lucas";-;-;-;1;-;5;7;21;32;55;-;121
"São Mateus";-;-;-;1;1;3;9;25;25;34;-;98
"São Miguel";-;-;-;1;1;5;3;13;14;21;-;58
"São Rafael";-;-;-;1;3;2;11;18;17;18;-;70
"Sapopemba";-;-;-;2;4;7;20;41;42;59;-;175
"Saúde";-;-;-;1;-;1;3;14;20;37;-;76
"Sé";-;-;-;-;-;-;-;1;2;3;-;6
"Socorro";-;-;-;-;1;2;1;3;3;17;-;27
"Tatuapé";-;-;-;-;1;-;7;11;11;38;-;68
"Tremembé";-;-;-;1;2;6;15;18;32;58;-;132
