Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I21 Infarto agudo do miocardio
Período:2025
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;3;10;18;32;-;63
"Alto de Pinheiros";-;-;-;-;-;-;4;1;22;-;27
"Anhanguera";-;-;-;-;-;3;6;5;6;-;20
"Aricanduva";-;-;-;2;2;7;7;12;28;-;58
"Artur Alvim";-;-;-;2;4;6;9;12;11;-;44
"Barra Funda";-;-;-;-;2;-;1;3;6;-;12
"Bela Vista";-;-;-;-;-;3;5;6;11;-;25
"Belém";-;-;-;-;1;2;3;4;16;-;26
"Bom Retiro";-;-;-;-;1;1;-;3;4;-;9
"Brás";-;-;1;-;1;2;4;4;5;-;17
"Brasilândia";-;-;-;3;15;14;27;27;36;-;122
"Butantã";-;-;-;-;-;3;3;4;20;-;30
"Cachoeirinha";-;-;3;2;3;10;9;22;21;-;70
"Cambuci";-;-;-;-;-;1;1;5;6;-;13
"Campo Belo";-;-;-;1;-;1;1;6;28;-;37
"Campo Grande";-;-;-;-;1;2;4;7;21;-;35
"Campo Limpo";-;-;2;-;5;10;8;22;27;-;74
"Cangaíba";-;-;-;2;5;9;12;11;26;-;65
"Capão Redondo";-;-;2;1;2;6;19;26;23;-;79
"Carrão";-;-;-;-;-;1;9;13;35;-;58
"Casa Verde";-;-;-;1;2;3;7;12;18;-;43
"Cidade Ademar";-;-;-;5;3;9;17;24;34;-;92
"Cidade Dutra";-;-;-;-;-;7;20;17;25;-;69
"Cidade Líder";-;-;2;3;3;3;13;10;23;-;57
"Cidade Tiradentes";-;-;3;4;5;10;23;35;17;-;97
"Consolação";-;-;-;-;1;-;1;1;12;-;15
"Cursino";-;-;-;-;1;1;7;7;26;-;42
"Ermelino Matarazzo";-;-;1;-;2;3;7;11;20;-;44
"Freguesia do Ó";-;-;-;1;-;5;14;20;36;-;76
"Grajaú";-;-;-;2;8;14;28;44;45;-;141
"Guaianases";-;-;1;1;1;2;14;12;12;-;43
"Iguatemi";-;-;1;5;10;12;16;20;11;-;75
"Ipiranga";-;-;-;-;2;4;6;8;34;-;54
"Itaim Bibi";-;-;-;1;1;2;5;6;24;-;39
"Itaim Paulista";-;-;-;4;4;15;15;23;27;-;88
"Itaquera";-;-;1;2;6;13;19;32;30;-;103
"Jabaquara";-;-;1;1;4;6;11;22;42;-;87
"Jaçanã";-;1;-;2;3;9;7;10;15;-;47
"Jaguara";-;-;-;-;-;-;-;2;2;-;4
"Jaguaré";-;-;-;-;-;2;2;4;6;-;14
"Jaraguá";1;-;-;1;4;6;15;18;22;-;67
"Jardim Ângela";-;-;1;1;5;9;25;14;31;-;86
"Jardim Helena";-;-;2;2;3;6;16;19;18;-;66
"Jardim Paulista";-;-;-;-;1;-;2;3;28;-;34
"Jardim São Luís";-;-;1;3;1;10;14;17;25;-;71
"José Bonifácio";-;-;-;1;2;1;9;13;18;-;44
"Lajeado";-;-;1;-;2;8;12;16;19;-;58
"Lapa";-;-;-;-;3;4;2;4;16;-;29
"Liberdade";-;-;-;-;1;3;3;4;18;-;29
"Limão";-;-;-;1;3;4;7;12;14;-;41
"Mandaqui";-;-;-;2;2;5;17;11;30;-;67
"Marsilac";-;-;-;-;1;1;-;-;2;-;4
"Moema";-;-;-;-;1;3;2;8;17;-;31
"Moóca";-;-;-;-;-;3;5;14;38;-;60
"Morumbi";-;-;-;-;-;1;1;3;9;-;14
"Parelheiros";-;-;-;1;7;5;10;18;17;-;58
"Pari";-;-;-;-;-;-;1;1;2;-;4
"Parque do Carmo";-;-;-;-;1;5;5;11;19;-;41
"Pedreira";-;-;-;2;1;6;7;10;17;-;43
"Penha";-;-;1;1;-;6;8;17;41;-;74
"Perdizes";-;-;-;-;-;1;5;9;22;-;37
"Perus";-;-;-;-;1;8;11;12;5;-;37
"Pinheiros";-;-;-;-;-;1;-;1;10;-;12
"Pirituba";-;-;1;1;-;8;15;11;34;-;70
"Ponte Rasa";-;-;-;-;2;6;11;10;22;-;51
"Raposo Tavares";-;-;-;1;4;1;4;16;14;-;40
"República";-;-;-;2;1;3;7;10;6;-;29
"Rio Pequeno";-;-;-;2;-;3;7;10;12;-;34
"Sacomã";-;-;-;-;4;14;18;31;40;-;107
"Santa Cecília";-;-;-;-;-;2;8;5;19;-;34
"Santana";-;-;-;-;-;3;9;10;37;-;59
"Santo Amaro";-;-;-;1;-;1;4;6;24;-;36
"São Domingos";-;-;-;1;-;4;4;5;10;-;24
"São Lucas";1;-;1;-;2;4;10;23;32;-;73
"São Mateus";-;-;2;1;5;9;11;20;29;-;77
"São Miguel";-;-;-;2;2;-;6;10;14;-;34
"São Rafael";-;-;1;1;1;8;17;15;14;-;57
"Sapopemba";-;-;4;3;7;17;22;31;45;-;129
"Saúde";-;-;-;-;1;2;5;8;28;-;44
"Sé";-;-;-;1;1;3;3;3;1;-;12
"Socorro";-;-;-;-;-;2;5;6;7;-;20
"Tatuapé";-;-;-;2;1;5;8;13;25;-;54
"Tremembé";-;-;-;-;5;8;21;33;37;-;104
"Tucuruvi";-;-;1;1;2;5;7;17;43;-;76
"Vila Andrade";-;-;-;5;3;7;7;15;10;-;47
"Vila Curuçá";-;-;-;1;5;9;22;19;22;-;78
"Vila Formosa";-;-;1;-;3;6;12;12;40;-;74
"Vila Guilherme";-;-;1;-;3;2;4;7;17;-;34
"Vila Jacuí";-;-;2;-;5;3;18;19;25;-;72
"Vila Leopoldina";-;-;-;-;-;2;2;9;6;-;19
"Vila Maria";-;-;-;1;1;6;8;20;19;-;55
"Vila Mariana";-;-;-;1;1;1;5;7;33;-;48
"Vila Matilde";-;-;-;-;2;1;15;20;22;-;60
"Vila Medeiros";-;-;1;-;4;6;14;10;27;-;62
"Vila Prudente";-;-;-;1;-;3;4;12;29;-;49
"Vila Sônia";-;-;-;-;-;1;4;2;16;-;23
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;1;4;14;46;60;62;75;3;265
"Total";2;1;40;92;216;501;928;1273;2115;3;5171
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
