Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2019
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;1;-;-;1;3;5
"Alto de Pinheiros";-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;1;1
"Aricanduva";1;-;-;1;-;1;1;4
"Artur Alvim";-;-;-;-;-;-;3;3
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;-;1;2;2;-;3;8
"Butantã";-;-;-;-;-;-;2;2
"Cachoeirinha";-;-;-;-;-;1;-;1
"Cambuci";-;-;-;-;-;-;1;1
"Campo Belo";-;-;-;-;-;-;1;1
"Campo Grande";-;-;-;-;-;-;3;3
"Campo Limpo";-;-;-;-;-;-;2;2
"Cangaíba";-;-;-;-;1;1;2;4
"Capão Redondo";1;-;-;1;1;-;2;5
"Carrão";-;-;-;-;1;1;3;5
"Casa Verde";-;-;-;-;1;1;1;3
"Cidade Ademar";-;-;-;-;1;-;3;4
"Cidade Dutra";1;-;-;-;-;-;3;4
"Cidade Líder";-;-;-;-;-;3;-;3
"Cidade Tiradentes";-;-;-;-;-;-;-;-
"Consolação";-;-;-;-;-;-;1;1
"Cursino";-;-;-;-;1;1;2;4
"Ermelino Matarazzo";-;-;-;-;-;1;-;1
"Freguesia do Ó";-;-;-;-;1;-;5;6
"Grajaú";-;-;-;1;-;2;1;4
"Guaianases";-;1;-;-;-;1;1;3
"Iguatemi";-;-;-;-;-;1;-;1
"Ipiranga";-;-;-;-;-;-;4;4
"Itaim Bibi";-;-;-;-;-;-;1;1
"Itaim Paulista";-;-;-;-;1;-;2;3
"Itaquera";-;-;-;-;-;2;2;4
"Jabaquara";-;-;-;-;1;2;2;5
"Jaçanã";-;-;-;-;-;1;1;2
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;2;2
"Jardim Ângela";-;-;-;-;-;3;-;3
"Jardim Helena";-;-;-;-;-;-;1;1
"Jardim Paulista";-;-;-;-;-;-;4;4
"Jardim São Luís";-;1;-;1;1;-;1;4
"José Bonifácio";-;-;-;-;-;-;2;2
"Lajeado";-;-;-;-;1;-;-;1
"Lapa";-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;1;1;2
"Limão";-;-;-;-;-;-;1;1
"Mandaqui";1;-;-;-;1;-;2;4
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;-
"Morumbi";-;-;-;-;-;-;1;1
"Parelheiros";-;-;-;1;-;-;1;2
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;1;1
"Pedreira";-;-;-;-;-;-;-;-
"Penha";-;-;-;1;1;2;1;5
"Perdizes";-;-;-;-;-;-;-;-
"Perus";-;-;-;-;1;1;1;3
"Pinheiros";-;-;-;-;-;-;-;-
"Pirituba";-;-;1;-;1;1;2;5
"Ponte Rasa";-;-;-;-;-;-;2;2
"Raposo Tavares";-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;1;2;3
"Sacomã";-;-;-;-;1;-;1;2
"Santa Cecília";-;-;-;-;-;-;5;5
"Santana";-;-;-;-;-;-;2;2
"Santo Amaro";-;-;-;-;-;1;7;8
"São Domingos";-;-;-;-;-;1;1;2
"São Lucas";-;-;-;-;-;-;1;1
"São Mateus";-;-;-;-;1;-;-;1
"São Miguel";-;-;-;-;-;1;2;3
"São Rafael";-;-;-;-;1;-;-;1
"Sapopemba";-;-;-;-;-;3;2;5
"Saúde";-;-;-;-;1;1;3;5
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;1;1
"Tatuapé";-;-;-;-;-;-;-;-
"Tremembé";1;-;-;-;-;1;4;6
"Tucuruvi";-;-;-;-;-;-;1;1
"Vila Andrade";-;-;1;-;1;-;2;4
"Vila Curuçá";-;-;-;-;1;-;1;2
"Vila Formosa";-;-;-;1;-;1;-;2
"Vila Guilherme";-;-;-;-;-;1;1;2
"Vila Jacuí";-;-;1;1;-;-;-;2
"Vila Leopoldina";-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;1;3;4
"Vila Mariana";-;-;-;-;-;-;1;1
"Vila Matilde";-;-;-;-;-;2;3;5
"Vila Medeiros";-;-;-;-;1;-;1;2
"Vila Prudente";-;-;-;-;1;2;-;3
"Vila Sônia";-;-;-;-;1;-;1;2
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;1;1
"Total";5;2;5;10;26;44;125;217
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
