Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2020
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;9;-;9
"Alto de Pinheiros";-;-;-;1;-;-;4;-;5
"Anhanguera";-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;-;1;-;1
"Barra Funda";-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;1;-;1
"Belém";-;-;-;-;-;1;2;-;3
"Bom Retiro";-;-;-;-;-;-;2;-;2
"Brás";-;-;-;1;-;-;-;-;1
"Brasilândia";-;-;-;2;3;1;3;-;9
"Butantã";-;-;-;-;1;-;3;-;4
"Cachoeirinha";-;-;-;1;-;1;2;-;4
"Cambuci";-;-;-;-;-;1;1;-;2
"Campo Belo";-;-;-;-;1;-;1;-;2
"Campo Grande";-;-;-;-;-;2;2;-;4
"Campo Limpo";-;-;1;1;-;2;1;-;5
"Cangaíba";-;-;-;-;-;1;1;-;2
"Capão Redondo";-;-;-;-;2;-;2;-;4
"Carrão";-;-;-;-;-;-;2;-;2
"Casa Verde";-;-;-;-;1;-;1;-;2
"Cidade Ademar";-;1;-;1;2;2;6;-;12
"Cidade Dutra";-;-;-;-;1;1;3;-;5
"Cidade Líder";-;-;-;-;2;1;1;-;4
"Cidade Tiradentes";1;-;-;-;-;-;1;-;2
"Consolação";-;-;-;-;1;-;2;-;3
"Cursino";-;-;-;1;-;-;3;-;4
"Ermelino Matarazzo";-;-;-;-;-;2;2;-;4
"Freguesia do Ó";-;-;-;-;-;-;2;-;2
"Grajaú";2;-;-;-;-;5;2;-;9
"Guaianases";-;-;-;-;-;-;1;-;1
"Iguatemi";-;1;-;-;-;-;-;-;1
"Ipiranga";-;-;-;-;-;-;3;-;3
"Itaim Bibi";-;-;-;-;-;-;7;-;7
"Itaim Paulista";-;-;-;1;1;-;1;-;3
"Itaquera";-;-;-;1;1;2;2;-;6
"Jabaquara";-;-;-;-;2;2;8;-;12
"Jaçanã";-;-;-;-;-;1;1;-;2
"Jaguara";-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;1;1;-;-;2
"Jaraguá";-;-;-;-;3;3;-;-;6
"Jardim Ângela";1;2;-;1;1;3;5;-;13
"Jardim Helena";-;-;-;-;2;-;1;-;3
"Jardim Paulista";-;-;-;-;-;-;1;-;1
"Jardim São Luís";-;2;1;5;1;8;2;-;19
"José Bonifácio";-;-;-;-;-;1;-;-;1
"Lajeado";-;-;-;2;-;1;1;-;4
"Lapa";-;-;-;-;1;1;-;-;2
"Liberdade";-;-;1;-;-;-;2;-;3
"Limão";-;-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;1;2;-;3
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;1;-;-;1;-;2
"Moóca";-;-;-;1;-;3;4;-;8
"Morumbi";-;-;-;-;-;-;1;-;1
"Parelheiros";1;1;-;1;1;1;1;-;6
"Pari";-;-;-;1;-;-;-;-;1
"Parque do Carmo";-;-;-;-;-;1;1;-;2
"Pedreira";-;-;-;1;-;-;1;-;2
"Penha";-;-;-;-;1;1;2;-;4
"Perdizes";-;-;-;-;-;1;2;-;3
"Perus";-;-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;2;4;4;-;10
"Ponte Rasa";-;-;1;-;1;2;1;-;5
"Raposo Tavares";-;-;-;-;-;-;1;-;1
"República";-;-;-;-;-;3;-;-;3
"Rio Pequeno";-;-;-;1;-;-;2;-;3
"Sacomã";-;-;-;1;1;1;3;-;6
"Santa Cecília";-;-;-;1;1;-;2;-;4
"Santana";-;-;-;-;-;1;3;-;4
"Santo Amaro";-;-;-;-;-;2;5;-;7
"São Domingos";-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;2;2;-;-;4
"São Mateus";-;-;-;-;1;-;1;-;2
"São Miguel";-;-;-;1;-;1;1;-;3
"São Rafael";-;-;-;1;-;-;2;-;3
"Sapopemba";-;-;-;-;1;1;3;-;5
"Saúde";-;-;-;-;1;-;-;-;1
"Sé";-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;4;-;4
"Tatuapé";-;-;-;-;-;-;2;-;2
"Tremembé";-;-;-;-;-;1;6;-;7
"Tucuruvi";-;-;-;-;-;-;1;-;1
"Vila Andrade";1;-;-;-;-;-;2;-;3
"Vila Curuçá";-;-;-;1;-;-;2;-;3
"Vila Formosa";-;-;-;-;1;-;-;-;1
"Vila Guilherme";-;-;-;-;-;-;2;-;2
"Vila Jacuí";-;-;-;-;1;-;-;-;1
"Vila Leopoldina";-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;2;-;2
"Vila Mariana";-;-;-;-;-;1;8;-;9
"Vila Matilde";-;-;-;-;-;2;5;-;7
"Vila Medeiros";-;-;1;-;-;-;2;-;3
"Vila Prudente";-;-;-;-;-;4;1;-;5
"Vila Sônia";-;-;-;-;1;1;4;-;6
"Desconhecido";-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;2;2;-;3;7
"Total";6;7;5;29;44;79;179;3;352
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
