Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2021
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;-;1;-;1
"Alto de Pinheiros";-;-;-;-;-;-;-;1;-;1
"Anhanguera";-;-;-;-;-;-;-;3;-;3
"Aricanduva";-;-;-;-;1;-;-;-;-;1
"Artur Alvim";-;-;-;-;-;1;-;2;-;3
"Barra Funda";-;-;-;-;-;-;-;1;-;1
"Bela Vista";-;-;-;-;-;-;1;-;-;1
"Belém";-;-;-;-;-;-;1;2;-;3
"Bom Retiro";-;-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;-;2;-;7;-;9
"Butantã";-;-;-;-;-;-;1;1;-;2
"Cachoeirinha";-;-;-;-;-;-;1;-;-;1
"Cambuci";-;-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;1;-;1
"Campo Grande";-;-;-;1;-;-;1;1;-;3
"Campo Limpo";-;-;1;1;1;1;-;1;-;5
"Cangaíba";1;-;-;-;-;2;1;2;-;6
"Capão Redondo";-;-;-;-;1;-;1;1;-;3
"Carrão";-;-;-;-;-;1;-;2;-;3
"Casa Verde";-;-;-;-;-;-;-;-;-;-
"Cidade Ademar";-;1;-;1;-;3;1;3;-;9
"Cidade Dutra";-;-;-;-;-;-;-;2;-;2
"Cidade Líder";-;-;-;-;-;-;-;2;-;2
"Cidade Tiradentes";-;-;-;-;-;2;1;-;-;3
"Consolação";-;-;-;-;-;-;-;1;-;1
"Cursino";-;-;-;-;-;-;-;1;-;1
"Ermelino Matarazzo";-;-;-;-;-;1;-;1;-;2
"Freguesia do Ó";-;-;-;-;-;1;-;2;-;3
"Grajaú";-;-;-;-;-;3;1;1;-;5
"Guaianases";-;-;-;-;-;-;1;-;-;1
"Iguatemi";-;-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;3;1;-;4
"Itaim Bibi";-;-;-;-;-;-;1;4;-;5
"Itaim Paulista";-;-;-;1;-;-;-;1;-;2
"Itaquera";-;-;-;-;-;2;2;-;-;4
"Jabaquara";-;-;-;-;-;2;-;3;-;5
"Jaçanã";-;-;-;-;-;1;-;1;-;2
"Jaguara";-;-;-;-;-;-;-;1;-;1
"Jaguaré";-;-;-;-;-;-;-;1;-;1
"Jaraguá";-;-;-;-;2;2;2;3;-;9
"Jardim Ângela";-;-;-;-;-;-;-;2;-;2
"Jardim Helena";-;-;-;-;1;1;3;2;-;7
"Jardim Paulista";-;-;-;-;-;1;1;3;-;5
"Jardim São Luís";-;-;1;-;1;2;-;2;-;6
"José Bonifácio";-;-;-;-;-;-;-;1;-;1
"Lajeado";-;-;-;-;-;1;1;1;-;3
"Lapa";-;-;-;-;-;-;1;-;-;1
"Liberdade";-;-;1;-;-;-;-;1;-;2
"Limão";-;-;-;-;-;-;2;1;-;3
"Mandaqui";-;-;-;-;-;1;-;5;-;6
"Marsilac";-;-;-;-;-;-;1;-;-;1
"Moema";-;-;-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;-;-;-
"Morumbi";-;-;-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;1;-;2;-;3
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;1;-;-;1
"Pedreira";-;-;-;-;1;1;1;2;-;5
"Penha";-;-;-;-;1;-;-;1;-;2
"Perdizes";-;-;-;-;1;-;-;4;-;5
"Perus";-;-;-;-;-;-;-;1;-;1
"Pinheiros";-;-;-;-;-;-;-;1;-;1
"Pirituba";-;-;-;-;-;-;-;1;-;1
"Ponte Rasa";-;-;-;-;-;-;-;1;-;1
"Raposo Tavares";-;-;-;-;-;-;2;1;-;3
"República";-;-;-;-;-;-;1;-;-;1
"Rio Pequeno";-;-;-;-;-;-;1;1;-;2
"Sacomã";-;1;-;-;1;3;1;3;-;9
"Santa Cecília";-;-;-;1;-;-;1;1;-;3
"Santana";-;-;-;-;-;1;-;1;-;2
"Santo Amaro";-;-;-;1;-;-;1;5;-;7
"São Domingos";-;-;-;-;-;-;-;2;-;2
"São Lucas";-;-;-;-;1;1;-;2;-;4
"São Mateus";-;-;-;-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-;-;-;-
"São Rafael";-;-;-;-;-;1;1;1;-;3
"Sapopemba";-;-;-;-;2;-;1;1;-;4
"Saúde";-;-;-;-;-;-;-;3;-;3
"Sé";-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;5;-;5
"Tatuapé";-;-;-;-;-;-;-;1;-;1
"Tremembé";-;-;-;-;2;2;2;2;-;8
"Tucuruvi";-;-;-;-;-;1;-;1;-;2
"Vila Andrade";-;-;-;1;1;1;1;2;-;6
"Vila Curuçá";-;-;-;-;-;1;-;-;-;1
"Vila Formosa";-;-;-;-;-;2;-;1;-;3
"Vila Guilherme";-;-;-;-;-;-;-;1;-;1
"Vila Jacuí";-;-;1;-;-;1;2;-;-;4
"Vila Leopoldina";-;-;-;-;-;-;-;1;-;1
"Vila Maria";-;-;-;-;-;1;1;-;-;2
"Vila Mariana";-;-;-;-;1;2;1;2;-;6
"Vila Matilde";-;-;-;-;-;1;2;4;-;7
"Vila Medeiros";-;-;-;-;-;-;-;2;-;2
"Vila Prudente";-;-;-;-;-;-;1;3;-;4
"Vila Sônia";-;-;-;-;-;-;-;1;-;1
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;1;1;-;2;4
"Total";1;2;4;7;18;51;50;132;2;267
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
