Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2023
"Distrito Admin residência";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;1
"Alto de Pinheiros";-;-;-;-;-;1;1
"Anhanguera";-;-;1;-;-;2;3
"Aricanduva";-;-;-;1;-;-;1
"Artur Alvim";-;-;-;1;1;1;3
"Barra Funda";-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;1;1
"Brás";-;-;-;-;-;2;2
"Brasilândia";-;-;-;-;1;-;1
"Butantã";-;-;-;-;-;1;1
"Cachoeirinha";-;-;1;1;-;2;4
"Cambuci";-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;4;4
"Campo Grande";-;-;1;-;-;2;3
"Campo Limpo";-;1;-;-;1;2;4
"Cangaíba";-;-;-;-;-;1;1
"Capão Redondo";-;1;-;1;3;2;7
"Carrão";-;-;-;-;1;-;1
"Casa Verde";-;-;-;-;-;-;-
"Cidade Ademar";-;-;1;1;1;-;3
"Cidade Dutra";-;-;-;-;1;1;2
"Cidade Líder";-;-;-;-;2;3;5
"Cidade Tiradentes";2;-;-;-;1;4;7
"Consolação";-;-;-;-;-;-;-
"Cursino";-;-;-;1;-;3;4
"Ermelino Matarazzo";-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;2;1;3
"Grajaú";-;-;-;2;1;2;5
"Guaianases";-;-;-;-;-;-;-
"Iguatemi";-;-;1;-;-;-;1
"Ipiranga";-;-;-;-;-;2;2
"Itaim Bibi";-;-;-;-;-;4;4
"Itaim Paulista";-;-;-;1;2;1;4
"Itaquera";-;-;-;-;2;3;5
"Jabaquara";-;-;-;1;-;3;4
"Jaçanã";-;-;-;1;1;-;2
"Jaguara";-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;1;1
"Jaraguá";-;-;-;-;1;-;1
"Jardim Ângela";-;-;-;-;-;-;-
"Jardim Helena";-;-;-;-;-;4;4
"Jardim Paulista";-;-;-;-;-;3;3
"Jardim São Luís";1;-;-;-;-;1;2
"José Bonifácio";-;-;-;-;1;1;2
"Lajeado";-;-;-;1;-;-;1
"Lapa";-;-;-;-;-;1;1
"Liberdade";-;-;-;-;2;-;2
"Limão";-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;1;10;11
"Marsilac";-;-;-;-;-;-;-
"Moema";-;-;-;-;-;3;3
"Moóca";-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;-
"Parelheiros";-;-;-;1;1;-;2
"Pari";-;-;-;-;-;1;1
"Parque do Carmo";-;-;-;-;1;-;1
"Pedreira";-;-;-;1;1;1;3
"Penha";-;-;-;-;-;1;1
"Perdizes";-;-;-;-;-;3;3
"Perus";-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;3;3
"Pirituba";-;2;1;-;2;-;5
"Ponte Rasa";-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;-;2;2
"República";-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;2;2
"Sacomã";-;-;1;2;-;7;10
"Santa Cecília";-;-;-;-;-;1;1
"Santana";-;-;-;-;1;1;2
"Santo Amaro";-;-;-;1;1;3;5
"São Domingos";-;-;-;-;-;-;-
"São Lucas";-;-;-;1;-;3;4
"São Mateus";-;-;-;-;-;1;1
"São Miguel";-;-;-;1;-;1;2
"São Rafael";-;-;-;-;-;-;-
"Sapopemba";-;-;-;2;1;2;5
"Saúde";-;-;-;-;-;3;3
"Sé";-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;9;9
"Tatuapé";-;-;-;1;1;3;5
"Tremembé";-;-;-;-;-;1;1
"Tucuruvi";-;-;-;-;1;2;3
"Vila Andrade";-;-;-;-;-;1;1
"Vila Curuçá";-;-;-;-;-;-;-
"Vila Formosa";-;-;-;1;1;-;2
"Vila Guilherme";-;-;-;-;-;-;-
"Vila Jacuí";-;-;-;-;1;1;2
"Vila Leopoldina";-;-;-;-;-;1;1
"Vila Maria";-;-;-;-;-;2;2
"Vila Mariana";-;-;-;-;2;3;5
"Vila Matilde";-;-;-;-;1;3;4
"Vila Medeiros";-;-;-;-;-;-;-
"Vila Prudente";-;-;-;-;1;1;2
"Vila Sônia";-;1;-;-;-;3;4
"Desconhecido";-;-;-;-;-;-;-
"Ignorado";-;-;-;1;-;2;3
"Total";3;5;7;24;41;142;222
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
