Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2024
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;1;2;3
"Alto de Pinheiros";-;-;-;-;-;-;-;1;1
"Anhanguera";-;-;-;-;-;-;-;1;1
"Aricanduva";-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;-;1;1;2
"Barra Funda";-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;1;1
"Belém";-;-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;2;1;-;2;5
"Butantã";-;-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;-;-;2;2
"Cambuci";-;-;-;-;-;-;-;2;2
"Campo Belo";-;-;-;-;-;-;-;10;10
"Campo Grande";-;-;-;-;-;-;-;1;1
"Campo Limpo";-;-;-;1;-;-;-;5;6
"Cangaíba";-;-;-;-;-;-;-;1;1
"Capão Redondo";-;-;-;-;-;-;2;3;5
"Carrão";-;-;-;-;-;-;2;2;4
"Casa Verde";-;-;-;-;-;-;-;1;1
"Cidade Ademar";-;-;1;1;2;1;3;5;13
"Cidade Dutra";-;1;-;2;2;1;1;1;8
"Cidade Líder";1;-;-;-;-;-;-;-;1
"Cidade Tiradentes";-;-;-;-;-;-;-;-;-
"Consolação";-;-;-;-;-;-;1;1;2
"Cursino";-;-;-;-;-;-;1;1;2
"Ermelino Matarazzo";-;-;-;-;-;-;1;-;1
"Freguesia do Ó";-;-;-;-;-;-;1;2;3
"Grajaú";-;1;1;1;1;-;3;-;7
"Guaianases";-;-;-;-;-;-;-;1;1
"Iguatemi";-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;1;-;4;5
"Itaim Bibi";-;-;-;-;1;-;-;3;4
"Itaim Paulista";-;-;-;-;-;2;-;-;2
"Itaquera";-;-;-;-;-;-;-;2;2
"Jabaquara";-;-;-;-;2;1;1;5;9
"Jaçanã";-;-;-;-;-;1;1;1;3
"Jaguara";-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;1;1
"Jaraguá";-;-;-;-;-;-;1;2;3
"Jardim Ângela";-;-;-;-;5;-;2;3;10
"Jardim Helena";-;-;-;-;1;1;2;1;5
"Jardim Paulista";-;-;-;-;-;1;-;-;1
"Jardim São Luís";1;1;-;-;1;1;-;5;9
"José Bonifácio";-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;1;1;-;2
"Lapa";-;-;-;-;-;-;-;4;4
"Liberdade";-;-;-;-;-;-;1;2;3
"Limão";-;-;-;-;-;-;-;3;3
"Mandaqui";-;-;-;-;-;-;3;2;5
"Marsilac";-;-;-;-;-;-;-;1;1
"Moema";-;-;-;-;-;1;-;2;3
"Moóca";-;-;-;-;-;-;1;2;3
"Morumbi";-;-;-;-;-;-;-;2;2
"Parelheiros";-;1;-;-;-;2;1;1;5
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;1;1;2
"Pedreira";-;-;-;1;-;-;-;1;2
"Penha";-;-;-;-;2;-;-;3;5
