Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I24 Outr doenc isquemicas agudas do coracao
Período:2025
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;-;-;2;-;2
"Alto de Pinheiros";-;-;-;-;-;-;-;-;1;-;1
"Anhanguera";-;-;-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;-;2;-;2
"Artur Alvim";-;-;-;-;-;-;-;-;1;-;1
"Barra Funda";-;-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;1;-;1
"Belém";-;-;-;-;-;-;-;-;1;-;1
"Bom Retiro";-;-;-;-;-;-;-;-;1;-;1
"Brás";-;-;-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;-;1;-;-;3;-;4
"Butantã";-;-;-;-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;-;-;-;-;-;-
"Cambuci";-;-;-;-;-;-;-;-;2;-;2
"Campo Belo";-;-;-;-;-;-;-;-;2;-;2
"Campo Grande";-;-;-;-;-;-;-;-;2;-;2
"Campo Limpo";-;-;1;-;1;-;-;1;2;-;5
"Cangaíba";-;-;-;-;-;-;-;-;-;-;-
"Capão Redondo";-;-;-;-;-;1;2;-;2;-;5
"Carrão";-;-;-;-;-;-;-;-;1;-;1
"Casa Verde";-;-;-;-;-;-;-;-;1;-;1
"Cidade Ademar";-;-;-;-;-;-;2;1;1;-;4
"Cidade Dutra";-;-;-;-;-;-;1;-;1;-;2
"Cidade Líder";-;-;-;-;-;2;-;-;1;-;3
"Cidade Tiradentes";-;-;-;-;-;-;-;1;1;-;2
"Consolação";-;-;-;-;-;-;-;-;1;-;1
"Cursino";-;-;-;-;1;-;-;2;4;-;7
"Ermelino Matarazzo";-;-;-;-;-;-;-;1;1;-;2
"Freguesia do Ó";-;-;-;-;-;1;-;-;2;-;3
"Grajaú";-;-;-;1;1;3;3;2;-;-;10
"Guaianases";-;-;-;-;1;-;-;-;1;-;2
