Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2018
"Distrito Admin residência";"<1 Ano";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;1;4;5;21;-;31
"Alto de Pinheiros";-;-;-;-;-;-;1;2;9;-;12
"Anhanguera";-;-;-;-;-;1;1;1;2;-;5
"Aricanduva";-;-;-;-;-;2;7;8;9;-;26
"Artur Alvim";-;-;-;-;-;3;1;9;22;-;35
"Barra Funda";-;-;-;-;-;1;1;-;1;-;3
"Bela Vista";-;1;-;-;-;1;4;4;8;-;18
"Belém";-;-;-;-;-;1;1;2;8;-;12
"Bom Retiro";-;-;-;-;-;-;-;1;3;-;4
"Brás";-;-;-;-;-;-;1;-;3;-;4
"Brasilândia";-;-;-;-;4;6;12;20;30;-;72
"Butantã";-;-;-;-;-;-;2;3;11;-;16
"Cachoeirinha";-;-;-;-;1;3;7;12;23;-;46
"Cambuci";-;-;-;-;-;-;-;5;4;-;9
"Campo Belo";-;-;-;-;-;2;2;3;9;-;16
"Campo Grande";-;-;-;1;1;1;3;10;19;-;35
"Campo Limpo";-;-;1;1;3;6;11;9;17;-;48
"Cangaíba";-;-;-;-;-;3;7;14;19;-;43
"Capão Redondo";-;-;-;1;5;6;8;11;30;-;61
"Carrão";-;-;-;-;-;2;1;5;19;-;27
"Casa Verde";-;-;-;-;-;-;4;8;21;-;33
"Cidade Ademar";-;-;-;2;2;3;10;23;40;-;80
"Cidade Dutra";-;-;1;-;3;3;11;9;36;-;63
"Cidade Líder";-;-;-;-;-;6;6;6;19;-;37
"Cidade Tiradentes";-;-;-;1;1;5;7;21;15;-;50
"Consolação";-;-;-;-;-;-;1;2;11;-;14
"Cursino";-;-;-;-;1;2;5;10;23;-;41
"Ermelino Matarazzo";-;-;-;-;1;1;3;5;17;-;27
"Freguesia do Ó";-;-;-;-;-;3;10;10;40;-;63
"Grajaú";-;-;3;4;6;14;15;29;28;-;99
"Guaianases";-;-;-;-;-;-;4;8;10;-;22
"Iguatemi";-;-;-;-;-;1;7;8;7;-;23
"Ipiranga";-;-;-;-;-;1;4;10;20;-;35
"Itaim Bibi";-;-;-;-;-;-;2;2;14;-;18
"Itaim Paulista";-;-;-;-;-;4;9;17;19;-;49
"Itaquera";-;-;-;1;-;4;18;12;24;-;59
"Jabaquara";-;-;-;1;3;3;11;16;27;-;61
"Jaçanã";-;-;-;-;-;-;5;9;8;-;22
"Jaguara";-;-;-;-;-;-;1;2;5;-;8
"Jaguaré";-;-;-;-;-;1;2;5;6;-;14
"Jaraguá";-;-;-;-;-;5;15;17;24;-;61
"Jardim Ângela";-;-;-;1;2;7;14;13;19;-;56
"Jardim Helena";-;-;-;-;-;-;5;7;15;-;27
"Jardim Paulista";-;-;1;-;-;-;3;3;13;-;20
"Jardim São Luís";-;-;2;-;6;4;18;15;32;-;77
"José Bonifácio";-;-;-;-;-;2;3;10;13;-;28
"Lajeado";-;-;-;-;2;6;11;9;10;-;38
"Lapa";-;-;-;-;-;-;3;4;24;-;31
"Liberdade";-;-;-;-;-;2;2;3;16;-;23
"Limão";-;-;-;-;1;-;8;9;16;-;34
"Mandaqui";-;-;-;-;-;1;3;10;28;-;42
"Marsilac";-;-;-;-;-;-;1;-;-;-;1
"Moema";-;-;-;-;-;2;2;3;15;-;22
"Moóca";-;-;-;-;-;1;2;9;19;-;31
"Morumbi";-;-;-;-;-;1;1;3;4;-;9
"Parelheiros";-;-;1;1;1;9;5;7;12;-;36
"Pari";-;-;-;-;-;1;4;2;1;-;8
"Parque do Carmo";-;-;-;-;-;-;7;4;10;-;21
"Pedreira";1;-;-;1;-;3;6;8;18;-;37
"Penha";-;-;-;-;1;-;3;13;25;-;42
"Perdizes";-;-;-;-;-;-;2;7;19;-;28
"Perus";-;-;-;-;2;1;3;3;6;-;15
"Pinheiros";-;-;-;-;-;-;4;2;9;-;15
"Pirituba";-;-;-;-;2;-;5;14;32;-;53
"Ponte Rasa";-;-;-;-;-;2;5;3;14;-;24
"Raposo Tavares";-;-;-;-;-;1;6;5;12;-;24
"República";-;-;-;-;-;-;7;4;12;-;23
"Rio Pequeno";-;-;-;-;-;-;5;3;20;-;28
"Sacomã";-;-;-;1;3;4;11;15;36;-;70
"Santa Cecília";-;-;1;-;-;1;5;4;13;-;24
"Santana";-;-;-;-;1;-;3;8;24;-;36
"Santo Amaro";-;-;-;-;-;2;4;9;18;-;33
"São Domingos";-;-;-;1;-;2;2;7;17;-;29
"São Lucas";-;-;-;-;-;3;3;14;25;-;45
"São Mateus";-;-;-;-;-;3;4;15;24;-;46
"São Miguel";-;-;-;-;-;2;6;4;20;-;32
"São Rafael";-;-;-;-;-;-;7;8;13;-;28
"Sapopemba";-;-;-;-;1;4;10;17;29;-;61
"Saúde";-;-;-;-;-;1;5;5;16;-;27
"Sé";-;-;-;-;-;-;1;2;2;-;5
"Socorro";-;-;-;-;-;-;3;3;13;-;19
"Tatuapé";-;-;-;-;-;1;3;4;17;-;25
"Tremembé";-;-;-;-;1;1;13;18;33;-;66
"Tucuruvi";-;-;-;-;-;2;6;7;19;-;34
"Vila Andrade";-;-;2;1;1;-;4;6;7;-;21
"Vila Curuçá";-;-;-;-;-;-;6;11;15;-;32
"Vila Formosa";-;-;-;1;-;2;3;9;14;-;29
"Vila Guilherme";-;-;-;-;-;-;2;7;12;-;21
"Vila Jacuí";-;-;-;-;2;6;5;7;28;-;48
"Vila Leopoldina";-;-;-;-;-;-;2;3;2;-;7
"Vila Maria";-;-;-;-;-;2;5;6;24;-;37
"Vila Mariana";-;-;-;-;1;2;1;4;25;-;33
"Vila Matilde";-;-;-;-;-;3;3;7;22;-;35
"Vila Medeiros";-;-;-;-;-;1;7;8;27;-;43
"Vila Prudente";-;-;-;-;-;1;5;10;19;-;35
"Vila Sônia";-;-;-;1;-;3;3;5;16;-;28
"Desconhecido";-;-;-;-;1;-;-;2;-;-;3
"Ignorado";-;-;-;-;1;3;4;2;4;2;16
"Total";1;1;12;20;60;187;498;753;1629;2;3163
