Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2020
"Distrito Admin residência";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;2;4;7;14;-;27
"Alto de Pinheiros";-;-;-;1;-;1;6;-;8
"Anhanguera";-;-;-;1;-;-;1;-;2
"Aricanduva";-;-;1;-;1;4;3;-;9
"Artur Alvim";-;-;-;1;1;3;6;-;11
"Barra Funda";-;-;1;-;1;-;-;-;2
"Bela Vista";-;-;-;1;-;2;3;-;6
"Belém";-;-;-;-;-;-;6;-;6
"Bom Retiro";-;-;-;-;-;-;-;-;-
"Brás";-;-;-;1;1;2;3;-;7
"Brasilândia";-;-;2;2;3;7;21;-;35
"Butantã";-;-;-;-;1;2;1;-;4
"Cachoeirinha";-;-;2;1;-;8;7;-;18
"Cambuci";-;-;-;2;-;2;3;-;7
"Campo Belo";-;-;-;-;2;-;7;-;9
"Campo Grande";1;-;1;1;3;5;8;-;19
"Campo Limpo";-;2;6;-;3;6;11;-;28
"Cangaíba";-;-;-;1;3;3;5;-;12
"Capão Redondo";1;-;-;5;9;9;7;-;31
"Carrão";-;-;-;-;-;2;4;-;6
"Casa Verde";-;-;-;1;3;2;14;-;20
"Cidade Ademar";1;-;1;9;7;14;14;-;46
"Cidade Dutra";-;-;2;6;6;7;11;-;32
"Cidade Líder";-;-;-;-;2;5;7;-;14
"Cidade Tiradentes";-;-;-;3;5;4;2;-;14
"Consolação";-;-;-;1;-;2;4;-;7
"Cursino";-;-;3;2;5;3;4;-;17
"Ermelino Matarazzo";-;-;1;-;1;5;3;-;10
"Freguesia do Ó";-;-;1;-;5;5;15;-;26
"Grajaú";3;5;3;10;13;9;10;-;53
"Guaianases";-;-;-;1;1;6;1;-;9
"Iguatemi";-;-;-;-;3;4;3;-;10
"Ipiranga";-;-;-;-;2;2;10;-;14
"Itaim Bibi";1;-;-;1;3;1;8;-;14
"Itaim Paulista";-;-;-;2;2;5;5;-;14
"Itaquera";-;1;-;2;5;8;8;-;24
"Jabaquara";-;-;-;4;7;9;20;-;40
"Jaçanã";-;-;-;-;3;2;7;-;12
"Jaguara";-;-;-;-;1;1;2;-;4
"Jaguaré";-;-;-;2;3;1;1;-;7
"Jaraguá";-;-;2;2;3;5;12;-;24
"Jardim Ângela";1;-;2;5;4;11;15;-;38
"Jardim Helena";-;-;-;-;5;5;8;-;18
"Jardim Paulista";-;-;-;-;1;2;10;-;13
"Jardim São Luís";-;1;3;5;9;11;11;-;40
"José Bonifácio";-;-;-;-;3;5;2;-;10
