Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2023
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;2;3;4;13;-;22
"Alto de Pinheiros";-;-;-;-;-;-;1;-;5;-;6
"Anhanguera";-;-;-;-;-;2;3;3;1;-;9
"Aricanduva";-;-;-;-;-;-;2;4;13;-;19
"Artur Alvim";-;-;-;-;1;1;3;2;12;-;19
"Barra Funda";-;-;-;-;-;1;1;1;4;-;7
"Bela Vista";-;-;-;-;-;1;2;-;7;1;11
"Belém";-;-;-;-;-;-;2;3;8;-;13
"Bom Retiro";-;-;-;-;-;-;3;1;2;-;6
"Brás";-;-;2;-;-;-;-;2;4;-;8
"Brasilândia";-;-;2;-;1;6;19;16;31;-;75
"Butantã";-;-;-;-;1;-;1;2;10;-;14
"Cachoeirinha";-;-;-;2;1;4;4;5;23;-;39
"Cambuci";-;-;-;-;-;-;2;2;10;-;14
"Campo Belo";-;-;-;-;1;3;1;1;19;-;25
"Campo Grande";-;-;-;-;1;1;3;7;17;-;29
"Campo Limpo";-;-;-;1;5;4;10;14;18;-;52
"Cangaíba";-;-;-;-;-;1;8;7;17;1;34
"Capão Redondo";-;-;1;2;5;14;11;20;26;-;79
"Carrão";-;-;-;-;-;1;2;5;14;-;22
"Casa Verde";-;-;-;-;-;1;2;4;19;-;26
"Cidade Ademar";1;-;1;-;3;11;9;14;33;-;72
"Cidade Dutra";-;-;-;1;3;2;6;15;24;-;51
"Cidade Líder";-;-;-;-;1;1;2;7;12;-;23
"Cidade Tiradentes";-;-;-;-;2;2;7;7;9;-;27
"Consolação";-;-;-;-;-;-;1;1;4;-;6
"Cursino";-;-;-;-;2;2;3;15;25;-;47
"Ermelino Matarazzo";-;-;-;-;1;1;4;7;12;-;25
"Freguesia do Ó";-;-;-;-;2;2;5;14;25;-;48
"Grajaú";-;-;1;3;6;17;22;20;30;-;99
"Guaianases";-;-;-;1;-;2;-;4;7;-;14
"Iguatemi";-;-;-;-;2;3;2;6;8;-;21
"Ipiranga";-;-;-;-;3;3;4;8;18;-;36
"Itaim Bibi";-;-;-;-;-;1;4;5;10;-;20
"Itaim Paulista";-;-;-;2;2;1;6;9;15;-;35
"Itaquera";-;-;-;1;2;1;7;12;24;-;47
"Jabaquara";-;-;1;-;5;2;9;13;38;-;68
"Jaçanã";-;-;-;-;-;1;2;10;10;-;23
"Jaguara";-;-;-;-;-;-;1;-;6;-;7
