Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I25 Doenc isquemica cronica do coracao
Período:2025
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;1;4;15;-;20
"Alto de Pinheiros";-;-;-;-;-;-;-;6;-;6
"Anhanguera";-;-;-;1;3;-;1;4;-;9
"Aricanduva";-;-;-;-;1;1;8;5;-;15
"Artur Alvim";-;-;-;-;-;3;6;17;-;26
"Barra Funda";-;-;-;-;-;-;-;3;-;3
"Bela Vista";-;-;-;-;1;-;3;7;-;11
"Belém";-;-;-;-;-;1;-;5;-;6
"Bom Retiro";-;-;-;-;-;-;-;1;-;1
"Brás";-;-;-;-;-;2;2;1;-;5
"Brasilândia";-;-;-;2;4;5;11;9;-;31
"Butantã";-;-;-;-;-;2;2;7;-;11
"Cachoeirinha";-;-;-;-;2;3;7;14;-;26
"Cambuci";-;-;-;1;-;-;1;6;-;8
"Campo Belo";-;-;-;-;2;1;4;4;-;11
"Campo Grande";-;-;-;-;2;2;5;12;-;21
"Campo Limpo";-;-;-;1;5;7;7;18;-;38
"Cangaíba";-;-;-;-;2;3;11;11;-;27
"Capão Redondo";-;-;-;4;5;3;12;19;-;43
"Carrão";-;-;-;-;-;1;4;9;-;14
"Casa Verde";-;-;-;-;1;1;5;9;-;16
"Cidade Ademar";1;1;1;1;4;12;13;26;-;59
"Cidade Dutra";-;-;-;-;1;9;9;23;-;42
"Cidade Líder";-;-;-;-;1;6;8;16;-;31
"Cidade Tiradentes";-;-;-;-;1;5;12;5;-;23
"Consolação";-;-;-;-;-;-;1;8;-;9
"Cursino";-;-;-;-;2;-;2;11;-;15
"Ermelino Matarazzo";-;-;1;1;1;4;5;12;-;24
"Freguesia do Ó";-;-;-;1;2;5;10;21;-;39
"Grajaú";-;-;6;2;3;5;20;26;-;62
"Guaianases";-;-;-;-;1;3;6;6;-;16
"Iguatemi";-;-;-;-;1;7;6;8;-;22
"Ipiranga";-;-;-;1;-;2;4;17;-;24
"Itaim Bibi";-;-;-;-;-;1;2;8;-;11
