Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2021
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;2;2;1;1;4;-;10
"Alto de Pinheiros";-;-;-;-;-;-;1;3;-;4
"Anhanguera";-;-;1;1;-;1;2;2;-;7
"Aricanduva";-;-;-;-;-;1;2;5;-;8
"Artur Alvim";-;-;-;3;1;1;4;5;-;14
"Barra Funda";-;-;-;-;-;1;2;1;-;4
"Bela Vista";-;-;-;-;-;1;2;4;-;7
"Belém";-;-;-;1;-;1;1;7;-;10
"Bom Retiro";-;-;-;-;1;1;1;3;-;6
"Brás";-;-;1;-;-;1;1;-;-;3
"Brasilândia";-;-;-;2;5;6;5;9;-;27
"Butantã";-;1;-;-;-;-;1;1;-;3
"Cachoeirinha";-;-;-;1;1;1;2;3;-;8
"Cambuci";-;-;-;1;-;1;2;5;-;9
"Campo Belo";-;-;-;-;-;-;-;1;-;1
"Campo Grande";-;-;-;1;1;1;4;3;-;10
"Campo Limpo";-;-;1;1;-;3;7;5;-;17
"Cangaíba";-;-;1;-;-;4;2;7;-;14
"Capão Redondo";-;1;-;2;4;4;6;6;-;23
"Carrão";-;-;-;-;1;2;1;9;-;13
"Casa Verde";-;-;1;1;-;-;2;2;-;6
"Cidade Ademar";1;-;-;1;-;5;6;12;-;25
"Cidade Dutra";-;-;-;1;1;3;5;5;-;15
"Cidade Líder";-;1;-;2;-;2;2;8;-;15
"Cidade Tiradentes";-;-;2;1;1;1;5;1;-;11
"Consolação";-;-;-;1;-;-;-;3;-;4
"Cursino";-;-;-;-;-;-;1;10;-;11
"Ermelino Matarazzo";-;-;1;-;1;4;2;5;-;13
"Freguesia do Ó";-;-;1;-;3;-;1;12;-;17
"Grajaú";-;1;-;1;3;5;8;3;-;21
"Guaianases";-;-;1;1;1;1;1;2;-;7
"Iguatemi";-;-;1;2;3;1;2;4;-;13
"Ipiranga";-;-;-;1;3;1;3;6;-;14
"Itaim Bibi";-;-;-;-;-;-;1;4;-;5
"Itaim Paulista";-;-;1;1;1;3;3;8;-;17
"Itaquera";-;-;1;2;3;3;8;13;-;30
"Jabaquara";-;1;1;-;2;2;6;5;-;17
"Jaçanã";-;1;-;-;2;1;1;3;-;8
"Jaguara";-;-;-;-;-;1;-;-;-;1
"Jaguaré";-;-;-;1;-;-;2;2;-;5
"Jaraguá";-;1;-;1;1;2;3;6;-;14
"Jardim Ângela";-;-;3;3;3;4;4;5;-;22
"Jardim Helena";-;-;-;1;1;1;2;7;-;12
"Jardim Paulista";-;-;-;-;-;-;1;3;-;4
"Jardim São Luís";-;-;2;2;3;2;1;8;-;18
"José Bonifácio";-;-;1;1;-;2;2;2;-;8
"Lajeado";-;-;1;1;1;-;6;4;-;13
"Lapa";-;-;-;-;-;-;1;4;-;5
"Liberdade";-;-;-;2;-;2;-;5;-;9
"Limão";-;-;-;-;2;1;1;5;-;9
"Mandaqui";-;-;-;-;3;2;2;6;-;13
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;4;-;4
"Moóca";-;-;1;-;-;-;1;11;-;13
"Morumbi";-;-;-;-;-;-;-;4;-;4
"Parelheiros";-;-;-;-;1;2;-;1;-;4
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;1;-;-;-;1
"Pedreira";-;-;-;-;1;-;4;1;-;6
"Penha";-;-;-;-;1;-;6;10;-;17
"Perdizes";-;-;-;-;2;2;-;6;-;10
"Perus";-;-;1;-;-;2;2;3;-;8
"Pinheiros";-;-;-;-;1;1;1;3;-;6
"Pirituba";-;2;-;1;5;3;1;8;-;20
"Ponte Rasa";-;1;1;-;4;1;6;4;-;17
"Raposo Tavares";-;-;-;-;2;1;-;4;-;7
"República";-;-;-;1;-;-;-;4;-;5
"Rio Pequeno";-;-;-;1;2;-;-;5;-;8
"Sacomã";-;-;-;1;2;4;3;4;-;14
"Santa Cecília";-;-;-;-;1;1;1;10;-;13
"Santana";1;-;1;-;3;-;2;10;-;17
"Santo Amaro";-;-;-;1;-;-;2;7;-;10
"São Domingos";-;-;-;-;1;2;5;4;-;12
"São Lucas";-;-;-;1;-;1;1;12;-;15
"São Mateus";-;-;-;1;2;1;3;6;-;13
"São Miguel";-;-;-;-;2;1;3;7;-;13
"São Rafael";-;-;2;1;2;2;-;5;-;12
"Sapopemba";-;1;1;2;10;2;7;11;-;34
"Saúde";-;-;1;-;-;1;2;6;-;10
"Sé";-;-;-;-;1;1;1;-;-;3
"Socorro";-;-;-;-;1;-;3;5;-;9
"Tatuapé";-;-;-;-;1;1;3;6;-;11
"Tremembé";-;-;-;-;1;4;3;4;-;12
"Tucuruvi";-;-;-;2;-;-;5;10;-;17
"Vila Andrade";-;-;-;-;-;1;1;4;-;6
"Vila Curuçá";-;-;-;-;1;2;2;3;-;8
"Vila Formosa";-;-;-;-;1;-;3;8;-;12
"Vila Guilherme";-;-;-;-;-;2;1;1;-;4
"Vila Jacuí";-;1;2;3;1;3;3;2;-;15
"Vila Leopoldina";-;-;-;-;-;-;1;2;-;3
"Vila Maria";-;-;-;1;1;1;5;3;-;11
"Vila Mariana";-;-;2;-;1;1;1;8;-;13
"Vila Matilde";-;-;-;-;1;-;2;1;-;4
"Vila Medeiros";-;-;-;1;1;4;5;8;-;19
"Vila Prudente";-;-;1;-;1;6;3;3;-;14
"Vila Sônia";-;-;-;-;-;1;3;2;-;6
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;1;-;3;1;2;2;2;11
"Total";2;12;35;59;111;136;226;468;2;1051
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
