Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2024
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;2;-;6;9;-;17
"Alto de Pinheiros";-;-;-;-;-;-;-;-;5;-;5
"Anhanguera";-;-;-;-;1;2;-;1;4;-;8
"Aricanduva";-;-;-;-;2;2;2;4;9;-;19
"Artur Alvim";-;-;-;-;-;2;7;6;15;-;30
"Barra Funda";-;-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;2;-;-;3;-;5
"Belém";-;-;-;-;-;-;2;2;2;-;6
"Bom Retiro";-;-;-;-;-;1;2;-;4;-;7
"Brás";-;-;-;-;1;1;-;-;1;-;3
"Brasilândia";-;-;-;1;1;12;5;16;11;-;46
"Butantã";-;-;-;-;-;-;-;1;9;-;10
"Cachoeirinha";-;-;-;1;2;3;1;8;12;-;27
"Cambuci";-;-;-;1;-;-;-;-;3;-;4
"Campo Belo";-;-;-;-;-;-;1;-;5;-;6
"Campo Grande";-;-;-;-;1;-;2;4;7;-;14
"Campo Limpo";-;-;-;2;2;3;4;9;15;-;35
"Cangaíba";-;-;-;-;1;4;2;6;14;-;27
"Capão Redondo";-;-;1;-;2;4;-;7;15;-;29
"Carrão";-;-;-;-;1;1;-;3;11;-;16
"Casa Verde";-;-;-;-;-;2;1;3;10;-;16
"Cidade Ademar";-;-;-;-;2;6;7;17;26;-;58
"Cidade Dutra";-;-;-;-;-;4;3;8;15;-;30
"Cidade Líder";-;-;-;-;1;1;4;5;13;-;24
"Cidade Tiradentes";-;-;-;2;3;2;7;5;9;-;28
"Consolação";-;-;-;-;-;1;-;-;4;-;5
"Cursino";-;-;-;-;-;-;4;4;10;-;18
"Ermelino Matarazzo";-;-;-;1;-;3;1;5;7;-;17
"Freguesia do Ó";-;-;-;1;1;4;1;4;23;-;34
"Grajaú";-;-;-;2;5;5;11;17;19;-;59
"Guaianases";-;-;-;1;2;6;-;5;6;-;20
"Iguatemi";-;-;-;-;1;-;2;7;6;-;16
"Ipiranga";-;-;-;-;1;-;1;4;10;-;16
"Itaim Bibi";-;-;-;-;1;1;-;3;10;-;15
"Itaim Paulista";-;-;1;-;3;6;5;11;8;-;34
"Itaquera";-;1;-;2;4;8;5;7;23;-;50
"Jabaquara";-;-;-;-;1;6;5;3;20;-;35
"Jaçanã";-;-;1;-;-;2;-;4;8;-;15
"Jaguara";-;-;-;-;-;-;2;3;6;-;11
"Jaguaré";-;-;-;1;1;-;1;-;1;-;4
"Jaraguá";1;-;-;1;3;1;5;8;14;-;33
"Jardim Ângela";-;-;-;2;1;4;8;15;16;-;46
"Jardim Helena";-;-;1;-;-;2;2;7;8;-;20
"Jardim Paulista";-;-;-;-;1;-;-;1;8;-;10
"Jardim São Luís";-;-;-;1;5;1;6;-;14;-;27
"José Bonifácio";-;-;-;-;3;-;3;5;5;-;16
"Lajeado";-;-;-;-;2;3;9;5;14;-;33
"Lapa";-;-;-;-;-;1;1;2;10;-;14
"Liberdade";-;-;-;-;-;-;3;2;3;-;8
"Limão";-;-;-;-;3;1;3;7;9;-;23
"Mandaqui";-;-;-;-;-;-;3;7;16;-;26
"Marsilac";-;-;-;-;-;-;1;-;-;-;1
"Moema";-;-;-;-;-;-;-;4;5;-;9
"Moóca";-;-;-;-;1;-;3;1;7;-;12
"Morumbi";-;-;-;-;-;-;-;1;3;-;4
"Parelheiros";-;-;-;1;1;5;7;7;5;-;26
"Pari";-;-;-;-;-;-;-;-;3;-;3
"Parque do Carmo";-;-;1;-;-;1;3;4;8;-;17
"Pedreira";-;-;-;-;2;5;1;8;7;-;23
"Penha";-;-;1;1;2;5;7;8;13;-;37
