Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I26 Embolia pulmonar
Período:2025
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;1;1;1;3;11;-;17
"Alto de Pinheiros";-;-;-;-;-;-;-;5;-;5
"Anhanguera";-;-;-;-;3;1;1;4;-;9
"Aricanduva";-;-;-;-;-;5;2;9;-;16
"Artur Alvim";-;-;-;1;4;3;3;9;-;20
"Barra Funda";-;-;-;-;-;1;1;-;-;2
"Bela Vista";-;-;1;-;-;-;1;4;-;6
"Belém";-;-;-;-;-;-;2;5;-;7
"Bom Retiro";-;-;-;-;-;1;1;2;-;4
"Brás";-;-;-;-;-;-;3;1;-;4
"Brasilândia";-;-;2;3;2;7;9;20;-;43
"Butantã";-;-;-;-;-;2;-;7;-;9
"Cachoeirinha";-;-;-;3;1;2;7;7;-;20
"Cambuci";-;-;-;2;-;2;2;4;-;10
"Campo Belo";-;-;-;1;-;-;1;9;-;11
"Campo Grande";-;-;-;-;2;3;4;11;-;20
"Campo Limpo";-;1;-;1;1;1;2;8;-;14
"Cangaíba";-;-;2;1;-;2;6;11;-;22
"Capão Redondo";1;-;-;-;2;2;9;11;-;25
"Carrão";-;-;-;-;2;-;4;6;-;12
"Casa Verde";-;-;-;1;2;1;2;15;-;21
"Cidade Ademar";-;-;1;1;2;2;7;25;-;38
"Cidade Dutra";-;-;-;3;1;3;5;10;-;22
"Cidade Líder";-;-;1;-;4;4;2;14;-;25
"Cidade Tiradentes";-;-;1;4;4;2;1;13;-;25
"Consolação";-;-;-;-;3;1;-;6;-;10
"Cursino";-;-;1;-;1;-;2;7;-;11
"Ermelino Matarazzo";-;-;2;3;1;-;2;7;-;15
"Freguesia do Ó";-;-;1;-;4;8;5;16;-;34
"Grajaú";-;-;1;1;4;5;8;16;-;35
"Guaianases";-;-;1;1;3;1;5;6;-;17
"Iguatemi";-;-;-;1;1;2;4;5;-;13
"Ipiranga";-;-;-;-;1;4;3;7;-;15
"Itaim Bibi";-;-;-;-;2;-;3;5;-;10
"Itaim Paulista";-;1;-;-;2;5;6;12;-;26
"Itaquera";-;-;1;1;4;1;7;11;-;25
"Jabaquara";-;1;-;-;4;3;2;22;-;32
"Jaçanã";-;-;-;1;3;2;3;10;-;19
"Jaguara";-;-;-;-;-;-;1;3;-;4
"Jaguaré";-;-;-;-;1;-;1;7;-;9
"Jaraguá";-;-;-;2;5;4;10;10;-;31
"Jardim Ângela";-;1;-;-;1;7;9;11;-;29
"Jardim Helena";-;-;1;1;1;2;4;19;-;28
"Jardim Paulista";-;-;-;-;1;2;-;4;-;7
"Jardim São Luís";-;-;1;-;2;7;7;16;-;33
"José Bonifácio";-;-;1;1;5;1;6;11;-;25
"Lajeado";-;-;1;-;3;3;6;10;-;23
"Lapa";-;-;-;-;1;1;2;5;-;9
"Liberdade";-;-;-;3;-;1;-;5;-;9
"Limão";-;-;-;1;3;-;1;7;1;13
"Mandaqui";-;-;-;-;2;1;1;8;-;12
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;1;-;-;5;-;6
"Moóca";-;-;-;1;1;-;1;9;-;12
"Morumbi";-;-;-;-;-;-;-;1;-;1
"Parelheiros";-;-;1;3;3;3;3;10;-;23
"Pari";-;-;-;1;-;1;1;1;-;4
"Parque do Carmo";-;-;-;-;-;2;4;5;-;11
"Pedreira";-;-;2;-;3;4;7;3;-;19
"Penha";-;-;1;-;5;4;3;16;-;29
"Perdizes";-;-;-;-;1;-;2;10;-;13
"Perus";-;-;-;1;-;1;3;5;-;10
"Pinheiros";-;-;-;-;-;-;-;3;-;3
"Pirituba";-;-;2;-;2;3;5;19;-;31
"Ponte Rasa";-;-;2;-;2;1;3;6;-;14
"Raposo Tavares";-;-;1;1;3;-;4;8;-;17
"República";-;-;-;-;-;2;2;1;-;5
"Rio Pequeno";-;-;-;1;1;2;6;8;-;18
"Sacomã";-;-;-;1;2;6;5;13;-;27
"Santa Cecília";-;-;-;-;-;1;2;8;-;11
"Santana";-;-;-;1;2;1;5;17;-;26
