Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2019
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;2;2
"Alto de Pinheiros";-;-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;1;-;1;1;-;3
"Butantã";-;-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;1;-;-;2;3
"Campo Limpo";-;-;-;-;-;-;-;-;-
"Cangaíba";-;-;-;-;-;-;-;-;-
"Capão Redondo";-;-;-;-;-;-;-;-;-
"Carrão";-;-;-;-;-;-;-;-;-
"Casa Verde";-;-;-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;1;-;-;-;-;1
"Cidade Dutra";-;-;-;-;-;-;1;-;1
"Cidade Líder";-;-;-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;-;-;-;-;-
"Consolação";-;-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-;1;1
"Ermelino Matarazzo";-;-;-;-;-;-;1;-;1
"Freguesia do Ó";-;-;-;-;-;-;-;-;-
"Grajaú";-;-;1;-;-;-;-;-;1
"Guaianases";-;-;-;-;-;-;1;1;2
"Iguatemi";-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;1;-;-;1
"Itaim Bibi";-;-;-;-;-;-;-;1;1
"Itaim Paulista";-;-;-;-;-;1;1;1;3
"Itaquera";-;-;-;-;-;-;-;-;-
"Jabaquara";-;-;-;-;-;-;-;-;-
"Jaçanã";-;-;-;-;-;1;1;-;2
"Jaguara";-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;-;-;-;-;-;-
"Jardim Ângela";-;-;-;-;-;-;-;-;-
"Jardim Helena";-;-;-;1;-;-;2;2;5
"Jardim Paulista";-;-;-;-;-;-;-;1;1
"Jardim São Luís";-;-;-;-;-;1;-;1;2
"José Bonifácio";-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;-;-;2;2
"Lapa";-;-;-;-;-;1;-;-;1
"Liberdade";-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;2;2
"Morumbi";-;-;-;-;-;-;-;1;1
"Parelheiros";-;-;-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;1;1
"Pedreira";-;-;-;-;-;1;-;-;1
"Penha";-;1;-;-;-;-;-;-;1
"Perdizes";-;-;-;-;-;-;-;2;2
"Perus";-;-;-;-;-;-;1;-;1
"Pinheiros";-;-;-;-;-;-;-;1;1
"Pirituba";-;-;-;-;-;-;-;-;-
"Ponte Rasa";-;-;-;-;1;-;-;1;2
"Raposo Tavares";1;-;-;-;-;-;-;-;1
"República";-;-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;1;1
"Sacomã";-;-;-;-;-;-;-;-;-
"Santa Cecília";-;-;-;-;-;-;-;-;-
"Santana";-;-;-;-;-;-;-;-;-
