Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2020
"Distrito Admin residência";"<1 Ano";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;1;-;-;1
"Artur Alvim";-;-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-
"Brasilândia";-;2;-;-;1;1;-;4
"Butantã";-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;-;-;-;1;-;1
"Cambuci";-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;-;-;-
"Campo Limpo";-;-;-;-;-;-;-;-
"Cangaíba";-;-;-;-;-;-;-;-
"Capão Redondo";-;-;1;1;-;-;-;2
"Carrão";-;-;-;-;1;-;1;2
"Casa Verde";-;-;-;-;-;-;3;3
"Cidade Ademar";1;-;-;1;-;-;1;3
"Cidade Dutra";-;-;-;1;-;-;-;1
"Cidade Líder";-;-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;-;-;-;-
"Consolação";-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;2;2;4
"Ermelino Matarazzo";-;-;1;-;-;-;-;1
"Freguesia do Ó";-;-;-;-;-;-;-;-
"Grajaú";-;-;2;-;-;-;-;2
"Guaianases";-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-;-
"Ipiranga";1;-;-;-;-;-;-;1
"Itaim Bibi";-;-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;1;-;-;1
"Itaquera";-;-;-;-;-;-;-;-
"Jabaquara";-;-;-;1;1;1;1;4
"Jaçanã";-;-;1;-;-;-;-;1
"Jaguara";-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-
"Jaraguá";-;-;-;1;-;-;-;1
"Jardim Ângela";-;-;-;-;1;1;1;3
"Jardim Helena";-;-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;1;-;1;-;2
"Jardim São Luís";-;-;-;-;-;1;-;1
"José Bonifácio";-;-;-;-;-;1;-;1
"Lajeado";-;-;-;-;-;-;-;-
"Lapa";-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;-
"Morumbi";-;-;-;-;-;-;-;-
"Parelheiros";-;-;-;-;-;-;-;-
"Pari";-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-
"Pedreira";1;-;-;-;-;-;-;1
"Penha";-;-;-;-;-;-;3;3
"Perdizes";-;-;-;-;-;-;-;-
"Perus";-;-;-;-;-;1;-;1
"Pinheiros";-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;-;1;-;1
"Ponte Rasa";-;-;-;-;-;-;-;-
"Raposo Tavares";-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-
"Rio Pequeno";-;-;-;-;-;-;-;-
"Sacomã";-;-;-;-;-;-;1;1
"Santa Cecília";-;-;-;-;-;-;2;2
"Santana";-;-;-;-;-;-;1;1
"Santo Amaro";-;-;-;-;-;-;-;-
"São Domingos";-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;-;-;-
"São Mateus";-;-;-;-;-;-;1;1
"São Miguel";-;-;-;-;-;-;-;-
"São Rafael";1;-;-;-;-;-;-;1
"Sapopemba";-;-;-;-;-;-;-;-
"Saúde";-;-;-;-;-;-;1;1
"Sé";-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;-;-;-
"Tremembé";-;-;-;-;-;-;1;1
"Tucuruvi";-;-;-;-;-;-;-;-
"Vila Andrade";-;1;-;-;-;-;-;1
"Vila Curuçá";-;-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-;-
"Vila Guilherme";-;-;-;-;-;-;1;1
"Vila Jacuí";-;-;1;-;-;-;-;1
"Vila Leopoldina";-;-;-;-;-;-;1;1
"Vila Maria";-;-;-;-;-;-;-;-
"Vila Mariana";-;-;-;-;-;-;-;-
"Vila Matilde";-;-;-;-;-;1;1;2
"Vila Medeiros";-;-;-;1;-;-;1;2
"Vila Prudente";-;-;-;-;-;-;1;1
"Vila Sônia";-;1;-;-;-;-;-;1
"Desconhecido";-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-
"Total";4;4;6;7;6;12;24;63
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
