Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2022
"Distrito Admin residência";"<1 Ano";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-;-;-;-;-;-;-
"Anhanguera";-;-;-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;1;-;2;3
"Artur Alvim";-;-;-;-;-;-;-;-;-;-;-
"Barra Funda";-;-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;1;-;1
"Belém";-;-;-;-;-;-;-;-;-;-;-
"Bom Retiro";1;-;-;-;-;-;-;-;-;1;2
"Brás";-;-;-;-;-;-;-;-;-;-;-
"Brasilândia";-;1;-;-;-;-;-;-;-;1;2
"Butantã";-;-;-;1;-;-;-;-;-;-;1
"Cachoeirinha";-;-;-;-;-;-;-;-;-;1;1
"Cambuci";-;-;-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;-;-;-;-;1;1
"Campo Limpo";-;-;-;-;-;-;-;-;-;2;2
"Cangaíba";-;-;-;-;-;-;-;-;-;3;3
"Capão Redondo";-;-;1;-;-;-;1;-;1;-;3
"Carrão";-;-;-;-;-;-;-;-;-;1;1
"Casa Verde";-;-;-;-;-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;-;-;-;-;-;-;-;-
"Cidade Dutra";-;-;-;-;-;-;-;-;-;1;1
"Cidade Líder";-;-;-;-;-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;-;-;-;-;1;-;1
"Consolação";-;-;-;-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;-;-;-;-;-;-
"Grajaú";-;-;-;-;-;-;-;-;-;-;-
"Guaianases";-;-;-;-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-;-;1;-;1
"Itaim Bibi";-;-;-;-;-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;-;-;-;-;1;-;1
"Itaquera";-;-;-;-;-;-;-;1;-;-;1
"Jabaquara";-;-;-;-;-;-;-;-;-;2;2
"Jaçanã";-;-;-;-;-;-;-;-;-;-;-
"Jaguara";-;-;-;-;-;-;-;-;-;-;-
"Jaguaré";-;-;-;-;-;-;-;-;-;1;1
"Jaraguá";-;-;-;-;-;-;-;-;-;1;1
"Jardim Ângela";-;-;-;-;1;-;-;-;1;-;2
"Jardim Helena";-;-;-;-;-;-;-;-;-;-;-
"Jardim Paulista";-;-;-;-;-;-;-;-;-;-;-
"Jardim São Luís";1;-;-;-;1;1;-;1;-;-;4
"José Bonifácio";-;-;-;-;-;-;-;-;-;-;-
"Lajeado";-;-;-;-;-;1;1;-;-;-;2
"Lapa";-;-;-;-;-;-;-;-;-;-;-
"Liberdade";-;-;-;-;-;-;-;-;-;-;-
"Limão";-;-;-;-;-;-;-;-;-;-;-
"Mandaqui";-;-;-;-;-;-;-;-;-;-;-
"Marsilac";-;-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;-;-;-;-
"Moóca";-;-;-;-;-;-;-;-;-;1;1
"Morumbi";-;-;-;-;-;-;1;-;-;-;1
"Parelheiros";-;-;-;-;-;1;-;-;-;-;1
"Pari";-;-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;-;-;-;-;-
"Pedreira";-;-;-;-;-;-;-;-;1;-;1
"Penha";-;-;-;-;-;-;-;-;-;-;-
"Perdizes";-;-;-;-;-;-;-;-;1;2;3
"Perus";-;-;-;-;-;-;-;-;-;-;-
"Pinheiros";-;-;-;-;-;-;-;-;-;-;-
"Pirituba";-;-;-;-;-;-;-;1;-;2;3
"Ponte Rasa";-;-;-;-;-;-;-;1;-;1;2
"Raposo Tavares";-;-;-;-;-;-;-;-;-;-;-
"República";-;-;-;-;-;-;-;-;-;1;1
"Rio Pequeno";-;-;-;-;-;-;-;-;-;1;1
"Sacomã";1;-;-;-;-;-;-;-;-;1;2
"Santa Cecília";-;-;-;-;-;-;-;-;-;1;1
"Santana";-;-;-;-;-;-;-;-;-;2;2
"Santo Amaro";-;-;-;-;-;-;-;-;-;-;-
"São Domingos";-;-;-;-;-;-;-;-;-;-;-
"São Lucas";-;-;-;-;-;1;-;-;-;-;1
"São Mateus";-;-;-;-;-;-;-;-;-;-;-
"São Miguel";-;-;-;-;-;-;-;-;-;-;-
"São Rafael";-;-;-;-;-;-;-;-;-;-;-
"Sapopemba";1;-;-;-;-;-;-;-;1;1;3
"Saúde";-;-;-;-;-;-;-;-;-;1;1
"Sé";-;-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;-;-;-;-
"Tatuapé";-;-;-;-;-;1;-;-;2;-;3
"Tremembé";-;-;-;-;-;-;-;-;-;1;1
"Tucuruvi";-;-;-;-;-;-;-;-;2;-;2
"Vila Andrade";-;-;-;-;-;-;-;-;-;-;-
"Vila Curuçá";-;-;-;-;-;-;-;-;-;-;-
"Vila Formosa";-;-;-;-;-;-;-;-;1;1;2
"Vila Guilherme";-;-;-;-;-;-;-;-;1;-;1
"Vila Jacuí";-;-;-;-;-;-;-;-;-;-;-
"Vila Leopoldina";-;-;-;-;-;-;-;-;-;-;-
"Vila Maria";-;-;-;-;-;-;-;1;-;1;2
"Vila Mariana";-;1;-;-;-;-;-;-;-;2;3
"Vila Matilde";-;-;-;-;-;-;-;-;-;1;1
"Vila Medeiros";-;-;-;-;-;-;-;-;-;1;1
"Vila Prudente";-;-;-;-;-;-;-;-;1;-;1
"Vila Sônia";-;-;-;-;-;-;-;-;-;1;1
"Desconhecido";-;-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;-;-;-;-;-;-
"Total";4;2;1;1;2;5;3;6;16;39;79
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
