Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2024
"Distrito Admin residência";"<1 Ano";"5-14";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;1;-;1;-;2
"Alto de Pinheiros";-;-;-;-;-;-;-;1;-;1
"Anhanguera";-;-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;1;-;-;-;-;1
"Barra Funda";-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;-;-
"Belém";1;-;-;-;-;-;-;-;-;1
"Bom Retiro";-;-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;1;-;1
"Brasilândia";-;-;-;-;-;-;-;1;-;1
"Butantã";1;-;-;-;-;-;-;-;-;1
"Cachoeirinha";-;-;-;-;-;-;-;-;-;-
"Cambuci";-;-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-;-;-
"Campo Grande";1;-;-;-;-;-;1;-;-;2
"Campo Limpo";-;1;1;-;-;-;-;1;-;3
"Cangaíba";-;-;-;-;-;-;-;-;-;-
"Capão Redondo";-;-;-;-;-;-;-;-;-;-
"Carrão";-;-;-;-;-;-;-;-;-;-
"Casa Verde";-;-;-;-;-;-;1;2;-;3
"Cidade Ademar";-;-;-;-;-;-;-;1;-;1
"Cidade Dutra";-;-;-;-;-;-;-;1;-;1
"Cidade Líder";-;-;-;-;1;-;1;-;-;2
"Cidade Tiradentes";-;-;-;1;1;-;-;-;-;2
"Consolação";-;-;-;-;-;-;-;-;-;-
"Cursino";-;-;-;-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;-;-;-;-;-
"Grajaú";1;-;-;1;-;-;-;-;-;2
"Guaianases";-;-;-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-;-;-;-
"Itaim Bibi";-;-;-;-;-;-;-;-;-;-
"Itaim Paulista";-;-;-;-;-;-;-;-;-;-
"Itaquera";-;-;-;-;-;-;-;1;-;1
"Jabaquara";-;-;1;2;-;-;-;-;-;3
"Jaçanã";-;-;-;-;-;-;-;-;-;-
