Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I27 Outr form de doenc cardiaca pulmonar
Período:2025
"Distrito Admin residência";"<1 Ano";"1-4";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;-;-;-;-;-
"Alto de Pinheiros";-;-;-;-;-;1;-;-;-;1
"Anhanguera";-;-;-;-;-;-;-;-;-;-
"Aricanduva";-;-;-;-;-;-;-;-;-;-
"Artur Alvim";-;-;-;-;-;-;1;-;1;2
"Barra Funda";-;-;-;-;-;-;-;-;-;-
"Bela Vista";-;-;-;-;-;-;-;-;-;-
"Belém";-;-;-;-;-;-;-;-;-;-
"Bom Retiro";-;-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;-;-;-;-;-
"Brasilândia";-;-;-;-;-;-;-;-;-;-
"Butantã";-;-;-;-;-;-;-;-;-;-
"Cachoeirinha";-;-;1;-;-;-;-;-;1;2
"Cambuci";-;-;-;-;-;-;-;-;-;-
"Campo Belo";-;-;-;-;-;-;-;-;-;-
"Campo Grande";-;-;-;-;-;-;-;-;2;2
"Campo Limpo";1;-;-;-;-;-;-;-;-;1
"Cangaíba";-;-;-;-;-;-;-;-;-;-
"Capão Redondo";-;-;-;1;1;-;-;1;-;3
"Carrão";-;-;-;-;-;-;-;-;-;-
"Casa Verde";-;-;-;-;-;-;-;-;-;-
"Cidade Ademar";-;-;-;-;-;-;-;-;-;-
"Cidade Dutra";-;-;-;-;-;-;-;-;-;-
"Cidade Líder";-;-;-;-;-;-;-;-;-;-
"Cidade Tiradentes";-;-;-;-;-;-;-;-;-;-
"Consolação";-;-;-;-;-;-;-;-;1;1
"Cursino";-;-;-;-;-;-;-;-;-;-
"Ermelino Matarazzo";-;-;-;-;-;-;-;-;-;-
"Freguesia do Ó";-;-;-;-;-;-;-;-;-;-
"Grajaú";-;-;-;-;-;-;-;1;-;1
"Guaianases";-;-;-;-;-;-;-;-;-;-
"Iguatemi";-;-;-;-;-;-;-;-;-;-
"Ipiranga";-;-;-;-;-;-;-;-;-;-
