Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I28 Outr doenc dos vasos pulmonares
Período:2021
"Distrito Admin residência";"15-24";"35-44";"75 e+";"Total"
"Água Rasa";-;-;-;-
"Alto de Pinheiros";-;-;-;-
"Anhanguera";-;-;-;-
"Aricanduva";-;-;-;-
"Artur Alvim";-;-;-;-
"Barra Funda";-;-;-;-
"Bela Vista";-;-;-;-
"Belém";-;-;-;-
"Bom Retiro";-;-;-;-
"Brás";-;-;-;-
"Brasilândia";-;-;-;-
"Butantã";-;-;-;-
"Cachoeirinha";-;-;-;-
"Cambuci";-;-;-;-
"Campo Belo";-;-;-;-
"Campo Grande";-;-;-;-
"Campo Limpo";-;-;1;1
"Cangaíba";-;-;-;-
"Capão Redondo";-;-;-;-
"Carrão";-;-;-;-
"Casa Verde";-;-;-;-
"Cidade Ademar";-;-;-;-
"Cidade Dutra";-;-;-;-
"Cidade Líder";-;-;-;-
"Cidade Tiradentes";-;-;-;-
"Consolação";-;-;-;-
"Cursino";-;-;-;-
"Ermelino Matarazzo";-;-;-;-
"Freguesia do Ó";-;-;-;-
"Grajaú";-;1;-;1
"Guaianases";-;-;-;-
"Iguatemi";-;-;-;-
"Ipiranga";-;-;-;-
"Itaim Bibi";-;-;-;-
"Itaim Paulista";-;-;-;-
"Itaquera";-;-;-;-
"Jabaquara";-;-;-;-
"Jaçanã";-;-;-;-
"Jaguara";-;-;-;-
"Jaguaré";-;-;-;-
"Jaraguá";-;-;-;-
"Jardim Ângela";1;-;-;1
"Jardim Helena";-;-;-;-
"Jardim Paulista";-;-;-;-
"Jardim São Luís";-;-;-;-
"José Bonifácio";-;-;-;-
"Lajeado";-;-;-;-
"Lapa";-;-;-;-
"Liberdade";-;-;-;-
"Limão";-;-;-;-
"Mandaqui";-;-;-;-
"Marsilac";-;-;-;-
"Moema";-;-;-;-
"Moóca";-;-;-;-
"Morumbi";-;-;-;-
"Parelheiros";-;-;-;-
"Pari";-;-;-;-
"Parque do Carmo";-;-;-;-
"Pedreira";-;-;-;-
"Penha";-;-;-;-
"Perdizes";-;-;-;-
"Perus";-;-;-;-
"Pinheiros";-;-;-;-
"Pirituba";-;-;-;-
"Ponte Rasa";-;-;-;-
"Raposo Tavares";-;-;-;-
"República";-;-;-;-
"Rio Pequeno";-;-;-;-
"Sacomã";-;-;-;-
"Santa Cecília";-;-;-;-
"Santana";-;-;-;-
"Santo Amaro";-;-;-;-
"São Domingos";-;-;-;-
"São Lucas";-;-;-;-
"São Mateus";-;-;-;-
"São Miguel";-;-;-;-
"São Rafael";-;-;-;-
"Sapopemba";-;-;-;-
"Saúde";-;-;-;-
"Sé";-;-;-;-
"Socorro";-;-;-;-
"Tatuapé";-;-;-;-
"Tremembé";-;-;-;-
"Tucuruvi";-;-;-;-
"Vila Andrade";-;-;-;-
"Vila Curuçá";-;-;-;-
"Vila Formosa";-;-;-;-
"Vila Guilherme";-;-;-;-
"Vila Jacuí";-;-;1;1
"Vila Leopoldina";-;-;-;-
"Vila Maria";-;-;-;-
"Vila Mariana";-;-;-;-
"Vila Matilde";-;-;-;-
"Vila Medeiros";-;-;-;-
"Vila Prudente";-;-;-;-
"Vila Sônia";-;-;-;-
"Desconhecido";-;-;-;-
"Ignorado";-;-;-;-
"Total";1;1;2;4
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
