Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2018
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;1;3;13;-;17
"Alto de Pinheiros";-;-;-;-;-;-;1;-;6;-;7
"Anhanguera";-;-;-;-;-;1;-;-;1;-;2
"Aricanduva";-;-;-;-;-;1;-;3;13;-;17
"Artur Alvim";-;-;-;1;1;1;2;5;14;-;24
"Barra Funda";-;-;-;-;-;-;-;1;1;-;2
"Bela Vista";-;-;-;-;-;-;-;2;7;-;9
"Belém";-;-;-;-;-;-;-;2;5;-;7
"Bom Retiro";-;-;-;-;-;-;-;-;1;-;1
"Brás";-;-;-;-;-;-;-;-;4;-;4
"Brasilândia";-;-;-;-;-;3;2;1;21;-;27
"Butantã";-;-;-;-;-;-;-;3;7;-;10
"Cachoeirinha";-;-;-;-;1;2;1;-;12;-;16
"Cambuci";-;-;-;-;-;-;-;-;3;-;3
"Campo Belo";-;-;-;-;-;-;-;-;7;-;7
"Campo Grande";-;-;-;-;-;-;1;4;5;-;10
"Campo Limpo";-;-;-;-;-;-;3;3;6;-;12
"Cangaíba";-;-;-;-;-;1;1;5;11;-;18
"Capão Redondo";-;-;-;-;-;-;3;6;12;-;21
"Carrão";-;-;-;-;-;-;-;1;11;-;12
"Casa Verde";-;-;-;-;-;-;-;7;12;-;19
"Cidade Ademar";-;-;-;-;-;2;3;8;12;-;25
"Cidade Dutra";-;-;-;-;1;-;3;5;11;-;20
"Cidade Líder";-;-;-;-;1;1;3;4;13;-;22
"Cidade Tiradentes";-;-;-;-;-;2;3;7;11;-;23
"Consolação";-;-;-;-;-;-;-;1;7;-;8
"Cursino";-;-;-;-;-;2;2;1;12;-;17
"Ermelino Matarazzo";-;-;-;-;-;1;4;6;2;-;13
"Freguesia do Ó";-;-;-;-;1;1;4;3;17;-;26
"Grajaú";-;-;1;-;2;3;4;6;11;-;27
"Guaianases";1;-;-;-;-;-;-;3;7;-;11
"Iguatemi";-;-;-;-;-;-;1;4;5;-;10
"Ipiranga";-;-;-;-;-;-;1;2;9;-;12
"Itaim Bibi";-;-;-;-;-;-;1;-;11;-;12
"Itaim Paulista";-;-;-;-;3;6;9;13;12;-;43
"Itaquera";-;-;1;-;-;4;6;7;15;-;33
"Jabaquara";-;-;-;-;1;1;-;8;19;-;29
"Jaçanã";-;-;-;-;-;-;-;1;7;-;8
"Jaguara";-;-;-;-;-;-;1;-;4;-;5
"Jaguaré";-;-;-;-;-;1;1;1;3;-;6
"Jaraguá";-;-;-;-;-;2;4;6;10;-;22
"Jardim Ângela";-;-;-;-;-;-;2;4;3;-;9
"Jardim Helena";-;-;-;-;-;2;1;7;13;-;23
"Jardim Paulista";-;-;-;-;-;-;1;1;15;-;17
"Jardim São Luís";-;-;-;-;-;3;2;3;12;-;20
"José Bonifácio";-;-;-;1;-;1;2;1;7;-;12
"Lajeado";-;-;-;1;-;3;3;8;17;-;32
"Lapa";-;-;-;-;-;-;2;-;12;-;14
"Liberdade";-;-;-;-;-;-;-;4;13;-;17
"Limão";-;-;-;-;-;-;1;4;9;-;14
