Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2019
"Distrito Admin residência";"<1 Ano";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;-;-;2;20;-;22
"Alto de Pinheiros";-;-;-;-;-;-;-;5;-;5
"Anhanguera";-;-;-;-;-;-;1;2;-;3
"Aricanduva";-;-;-;-;-;-;1;11;-;12
"Artur Alvim";-;-;-;-;1;2;4;15;-;22
"Barra Funda";-;-;-;-;-;-;-;2;-;2
"Bela Vista";-;-;-;-;-;-;-;4;-;4
"Belém";-;-;-;-;1;1;-;8;-;10
"Bom Retiro";-;-;-;-;-;-;1;2;-;3
"Brás";-;-;-;-;-;-;1;2;-;3
"Brasilândia";-;-;1;-;2;2;5;15;-;25
"Butantã";-;-;-;-;-;3;-;4;-;7
"Cachoeirinha";-;-;-;-;2;2;1;7;-;12
"Cambuci";-;-;-;-;-;-;1;5;-;6
"Campo Belo";-;-;-;-;-;-;1;10;-;11
"Campo Grande";-;-;-;-;-;-;1;5;-;6
"Campo Limpo";-;-;-;-;-;1;1;5;-;7
"Cangaíba";-;-;-;-;1;-;1;13;-;15
"Capão Redondo";-;-;-;1;3;1;3;7;-;15
"Carrão";-;-;-;-;2;2;2;8;-;14
"Casa Verde";-;-;-;-;-;1;4;6;-;11
"Cidade Ademar";-;-;-;-;1;-;2;16;-;19
"Cidade Dutra";-;-;-;-;2;-;-;12;-;14
"Cidade Líder";-;-;-;-;-;3;2;11;-;16
"Cidade Tiradentes";-;-;-;-;2;6;7;9;-;24
"Consolação";-;-;-;-;-;-;-;8;-;8
"Cursino";-;-;-;-;-;2;1;12;-;15
"Ermelino Matarazzo";-;-;-;-;-;1;2;6;-;9
"Freguesia do Ó";-;-;-;-;1;2;2;14;-;19
"Grajaú";-;1;-;-;-;3;6;10;-;20
"Guaianases";-;-;-;1;1;-;2;6;-;10
"Iguatemi";-;-;-;1;2;-;3;9;-;15
"Ipiranga";-;-;-;-;-;-;1;18;-;19
"Itaim Bibi";-;-;-;-;1;-;2;9;-;12
"Itaim Paulista";-;1;1;1;1;6;10;15;-;35
"Itaquera";-;-;-;-;1;2;4;11;-;18
"Jabaquara";-;-;-;-;-;2;4;11;-;17
"Jaçanã";-;-;-;-;1;-;4;7;-;12
"Jaguara";-;-;-;-;-;-;-;2;-;2
"Jaguaré";-;-;-;-;-;2;2;2;-;6
"Jaraguá";-;-;-;-;3;1;7;9;-;20
"Jardim Ângela";1;-;-;1;1;3;2;6;-;14
"Jardim Helena";-;-;2;-;1;4;3;11;-;21
"Jardim Paulista";-;-;-;-;-;-;1;16;-;17
"Jardim São Luís";-;-;-;-;-;4;5;9;-;18
"José Bonifácio";-;-;-;-;-;-;5;10;-;15
"Lajeado";-;-;-;-;-;5;5;6;-;16
"Lapa";-;-;-;-;1;1;-;11;-;13
"Liberdade";-;-;-;-;-;-;-;6;-;6
"Limão";-;-;-;-;1;-;3;7;-;11
"Mandaqui";-;-;-;-;-;1;3;12;-;16
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;1;11;-;12
"Moóca";-;-;-;-;-;2;1;16;-;19
"Morumbi";-;-;-;-;-;-;-;7;-;7
"Parelheiros";-;1;-;-;-;1;2;1;-;5
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;-;1;5;-;6
"Pedreira";-;-;-;-;4;2;2;8;-;16
"Penha";-;-;-;-;1;3;3;22;-;29
"Perdizes";-;-;-;-;-;1;-;13;-;14
"Perus";-;-;-;-;2;-;1;1;-;4
"Pinheiros";-;-;-;-;-;-;-;9;-;9
"Pirituba";-;-;-;-;-;2;5;13;-;20
"Ponte Rasa";-;-;-;-;-;1;1;11;-;13
"Raposo Tavares";-;-;-;-;-;-;1;6;-;7
"República";-;-;-;-;-;-;-;5;-;5
"Rio Pequeno";-;-;-;-;-;3;1;9;-;13
"Sacomã";-;-;-;-;2;-;4;16;-;22
"Santa Cecília";-;-;-;-;-;3;1;12;-;16
"Santana";-;-;1;-;-;-;-;16;-;17
"Santo Amaro";-;-;-;-;-;-;-;15;-;15
"São Domingos";-;-;-;-;1;-;2;6;-;9
"São Lucas";-;-;-;-;-;1;2;13;-;16
"São Mateus";-;-;-;-;-;2;5;8;-;15
"São Miguel";-;-;-;-;-;5;4;17;-;26
"São Rafael";-;-;-;1;2;-;2;7;-;12
"Sapopemba";-;-;-;1;-;1;6;20;-;28
"Saúde";-;-;-;-;-;1;1;17;-;19
"Sé";-;-;-;-;-;1;-;1;1;3
"Socorro";-;-;-;-;-;1;-;4;-;5
"Tatuapé";-;-;-;-;-;-;-;13;-;13
"Tremembé";-;-;-;-;-;3;4;14;-;21
"Tucuruvi";-;-;-;-;-;1;1;19;-;21
"Vila Andrade";-;-;-;-;-;-;2;10;-;12
"Vila Curuçá";-;-;1;-;1;4;6;12;-;24
"Vila Formosa";-;-;-;-;1;-;1;16;-;18
"Vila Guilherme";-;-;-;-;-;1;1;6;-;8
"Vila Jacuí";-;-;-;-;1;1;2;13;-;17
"Vila Leopoldina";-;-;-;-;-;-;-;4;-;4
"Vila Maria";-;-;-;-;-;-;4;12;-;16
"Vila Mariana";-;-;-;-;-;-;-;23;-;23
"Vila Matilde";-;-;1;-;4;1;5;16;-;27
"Vila Medeiros";-;-;-;1;3;3;-;15;-;22
"Vila Prudente";-;-;-;-;-;1;2;21;-;24
"Vila Sônia";-;-;1;-;-;1;2;13;-;17
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;2;1;5;-;8
"Total";1;3;8;8;54;111;195;948;1;1329
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
