Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2020
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;1;1;2;5;24;-;33
"Alto de Pinheiros";-;-;-;-;-;1;1;9;-;11
"Anhanguera";-;-;-;-;-;1;1;2;-;4
"Aricanduva";-;-;-;-;2;7;3;10;-;22
"Artur Alvim";-;-;-;-;3;3;3;19;-;28
"Barra Funda";-;-;-;-;-;-;-;3;-;3
"Bela Vista";-;-;-;-;1;-;2;6;-;9
"Belém";-;-;-;-;-;-;1;13;-;14
"Bom Retiro";-;-;-;-;-;-;1;4;-;5
"Brás";-;-;-;-;-;1;-;1;-;2
"Brasilândia";-;-;1;1;4;6;11;16;-;39
"Butantã";-;-;-;-;-;1;1;13;-;15
"Cachoeirinha";-;-;-;1;2;3;3;16;-;25
"Cambuci";-;-;-;-;-;-;-;6;-;6
"Campo Belo";-;-;-;-;1;-;1;10;-;12
"Campo Grande";-;-;-;-;2;2;5;10;-;19
"Campo Limpo";-;-;-;1;1;3;4;5;-;14
"Cangaíba";-;-;-;1;1;5;3;19;-;29
"Capão Redondo";-;2;-;-;2;4;5;19;-;32
"Carrão";-;-;-;-;-;2;4;27;-;33
"Casa Verde";-;-;-;-;-;4;1;15;-;20
"Cidade Ademar";-;1;-;-;1;2;10;19;-;33
"Cidade Dutra";1;-;1;-;-;3;5;14;-;24
"Cidade Líder";-;-;-;-;1;3;6;12;-;22
"Cidade Tiradentes";-;-;-;-;1;4;6;6;-;17
"Consolação";-;-;-;-;-;-;-;11;-;11
"Cursino";-;-;-;-;1;1;3;17;-;22
"Ermelino Matarazzo";-;-;-;-;-;1;3;5;-;9
"Freguesia do Ó";-;-;1;1;-;1;5;20;-;28
"Grajaú";-;-;2;1;2;5;9;12;-;31
"Guaianases";-;-;-;-;2;6;4;9;-;21
"Iguatemi";-;-;1;-;2;1;3;8;-;15
"Ipiranga";-;-;-;1;-;-;4;24;-;29
"Itaim Bibi";-;-;-;-;-;-;1;16;-;17
"Itaim Paulista";-;-;1;1;2;4;7;10;-;25
"Itaquera";-;-;-;-;-;1;5;17;-;23
"Jabaquara";-;-;-;1;1;3;5;21;-;31
"Jaçanã";-;-;-;-;2;2;1;9;-;14
"Jaguara";-;-;-;-;-;-;-;1;-;1
"Jaguaré";-;-;-;-;-;-;-;3;-;3
"Jaraguá";-;-;-;2;3;2;5;11;-;23
"Jardim Ângela";-;1;-;1;2;3;8;13;-;28
"Jardim Helena";-;-;1;1;2;3;8;9;-;24
"Jardim Paulista";-;-;-;-;-;-;1;16;-;17
"Jardim São Luís";-;1;-;-;3;4;10;19;-;37
"José Bonifácio";-;-;-;1;-;1;5;15;-;22
"Lajeado";-;-;-;1;1;1;11;14;-;28
"Lapa";-;-;-;-;-;1;3;11;-;15
"Liberdade";-;-;-;-;1;1;1;12;-;15
"Limão";-;-;-;-;1;1;2;15;-;19
"Mandaqui";-;-;1;-;2;-;6;19;-;28
"Marsilac";-;-;-;-;1;1;-;-;-;2
"Moema";-;-;-;-;-;-;-;11;-;11
"Moóca";-;-;-;1;-;2;3;15;-;21
"Morumbi";-;-;-;-;-;1;1;7;-;9
"Parelheiros";-;-;-;-;1;3;2;5;-;11
"Pari";-;-;-;-;-;-;-;2;-;2
"Parque do Carmo";-;-;-;-;-;1;-;9;-;10
"Pedreira";-;1;1;-;-;4;5;10;-;21
"Penha";-;-;-;-;-;3;10;26;-;39
"Perdizes";-;-;-;1;-;-;5;17;-;23
"Perus";-;-;-;-;1;3;1;2;-;7
"Pinheiros";-;-;-;-;-;2;-;12;-;14
"Pirituba";-;-;-;1;2;1;4;16;-;24
"Ponte Rasa";-;-;-;-;-;2;5;14;-;21
"Raposo Tavares";-;-;-;-;-;2;-;1;-;3
"República";-;-;-;-;-;-;4;3;-;7
"Rio Pequeno";-;-;-;1;-;-;1;10;-;12
"Sacomã";-;-;-;1;-;2;5;14;-;22
"Santa Cecília";-;-;-;-;-;-;2;13;-;15
"Santana";-;-;-;-;1;-;5;29;-;35
"Santo Amaro";-;-;-;-;1;1;-;10;-;12
"São Domingos";-;-;-;1;-;3;2;11;-;17
"São Lucas";-;-;-;-;-;5;3;17;-;25
"São Mateus";-;-;-;-;1;2;7;18;-;28
"São Miguel";-;-;-;-;-;5;5;7;-;17
"São Rafael";-;-;1;-;-;3;7;3;-;14
"Sapopemba";-;-;-;-;4;7;14;27;-;52
"Saúde";-;-;-;-;-;-;-;19;-;19
"Sé";-;-;-;-;-;-;-;-;-;-
"Socorro";-;-;-;-;-;-;-;3;-;3
"Tatuapé";-;-;-;-;-;-;2;17;-;19
"Tremembé";-;-;-;-;3;1;10;15;-;29
"Tucuruvi";-;-;-;-;-;1;5;14;-;20
"Vila Andrade";-;-;-;-;-;-;-;6;-;6
"Vila Curuçá";-;-;-;1;1;3;6;9;-;20
"Vila Formosa";-;-;1;-;1;3;1;18;-;24
"Vila Guilherme";-;-;-;-;-;1;2;7;-;10
"Vila Jacuí";-;-;1;1;1;4;4;12;-;23
"Vila Leopoldina";-;-;-;-;1;-;-;5;-;6
"Vila Maria";-;-;-;-;-;2;7;13;-;22
"Vila Mariana";-;-;-;1;-;-;4;18;-;23
