Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2021
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Ign";"Total"
"Água Rasa";-;-;-;-;1;-;3;4;20;-;28
"Alto de Pinheiros";-;-;-;-;-;-;-;-;7;-;7
"Anhanguera";-;-;-;-;-;-;1;1;4;-;6
"Aricanduva";-;-;-;-;1;2;5;4;17;-;29
"Artur Alvim";-;-;-;-;-;-;-;4;9;-;13
"Barra Funda";-;-;-;-;-;-;-;1;3;-;4
"Bela Vista";-;-;-;-;-;-;1;3;12;-;16
"Belém";-;-;-;-;-;1;1;2;8;-;12
"Bom Retiro";-;-;-;-;-;-;2;-;2;-;4
"Brás";-;-;-;-;-;-;2;3;1;-;6
"Brasilândia";1;-;-;-;-;3;7;15;29;-;55
"Butantã";-;-;-;1;-;1;-;-;14;-;16
"Cachoeirinha";-;-;-;-;2;1;6;3;10;-;22
"Cambuci";-;-;-;-;-;-;1;1;6;-;8
"Campo Belo";-;-;-;-;-;-;-;3;15;-;18
"Campo Grande";-;-;-;-;-;1;-;2;21;-;24
"Campo Limpo";-;-;-;-;1;-;2;8;20;-;31
"Cangaíba";-;-;-;-;2;3;1;3;15;-;24
"Capão Redondo";-;-;-;-;-;1;5;6;12;-;24
"Carrão";-;-;-;-;-;-;2;1;23;-;26
"Casa Verde";-;-;-;-;-;-;2;4;11;-;17
"Cidade Ademar";-;-;-;-;2;1;6;9;23;-;41
"Cidade Dutra";-;-;-;-;-;-;2;18;18;-;38
"Cidade Líder";-;-;-;-;-;2;2;9;12;-;25
"Cidade Tiradentes";-;-;1;-;-;-;4;2;16;-;23
"Consolação";-;-;-;-;-;1;-;1;6;-;8
"Cursino";-;-;-;-;-;2;2;2;23;-;29
"Ermelino Matarazzo";-;-;-;-;-;2;1;10;10;-;23
"Freguesia do Ó";-;-;-;-;2;1;3;6;22;-;34
"Grajaú";-;-;1;-;1;2;7;14;12;-;37
"Guaianases";-;-;-;-;-;-;4;4;7;-;15
"Iguatemi";-;-;1;-;-;-;2;4;6;-;13
"Ipiranga";-;-;-;-;-;1;1;1;21;-;24
"Itaim Bibi";-;-;-;-;-;-;-;2;14;-;16
"Itaim Paulista";-;-;-;-;-;2;3;8;18;-;31
"Itaquera";-;-;-;-;-;1;4;7;27;-;39
"Jabaquara";-;-;-;-;-;1;3;9;25;-;38
"Jaçanã";-;-;-;-;1;-;1;2;11;-;15
"Jaguara";-;-;-;-;-;-;-;1;5;-;6
"Jaguaré";-;-;-;-;-;-;-;1;3;-;4
"Jaraguá";-;1;-;1;-;6;8;13;20;-;49
"Jardim Ângela";-;-;-;-;1;-;6;5;10;-;22
"Jardim Helena";-;-;-;-;1;1;7;6;8;-;23
"Jardim Paulista";-;-;-;1;-;-;-;-;8;-;9
"Jardim São Luís";-;-;-;-;-;2;2;10;16;-;30
"José Bonifácio";-;-;-;-;-;1;2;6;11;-;20
"Lajeado";-;-;-;3;1;2;5;11;10;-;32
"Lapa";-;-;-;-;-;-;1;2;24;-;27
"Liberdade";-;-;-;-;-;-;-;1;9;-;10
"Limão";-;-;-;-;-;2;3;6;10;-;21
"Mandaqui";-;-;-;-;-;-;-;12;17;-;29
"Marsilac";-;-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;-;1;16;-;17
"Moóca";-;-;-;-;-;1;-;4;14;-;19
"Morumbi";-;-;-;-;-;-;-;-;8;-;8
"Parelheiros";-;-;-;-;-;-;1;9;11;-;21
"Pari";-;-;-;-;-;-;-;1;2;-;3
"Parque do Carmo";-;-;-;-;-;-;2;5;3;-;10
"Pedreira";-;-;1;-;1;-;2;5;7;-;16
"Penha";-;-;-;1;-;1;1;4;22;-;29
"Perdizes";-;-;-;-;-;1;2;2;10;-;15
"Perus";-;-;-;-;1;2;1;5;4;-;13
"Pinheiros";-;-;-;-;-;-;-;-;12;-;12
"Pirituba";-;-;-;-;-;-;2;3;25;-;30
"Ponte Rasa";-;-;-;-;-;1;5;5;15;-;26
"Raposo Tavares";-;-;-;-;-;1;2;2;5;-;10
"República";-;-;-;-;-;-;3;2;7;-;12
"Rio Pequeno";-;1;-;-;1;-;1;3;16;-;22
"Sacomã";-;-;-;-;-;-;2;8;25;-;35
"Santa Cecília";-;-;-;-;-;-;1;3;5;-;9
