Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2023
"Distrito Admin residência";"1-4";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;2;2;4;29;37
"Alto de Pinheiros";-;-;-;-;-;-;-;-;11;11
"Anhanguera";-;-;-;-;2;-;-;1;2;5
"Aricanduva";-;-;-;-;-;-;1;2;19;22
"Artur Alvim";-;-;-;-;-;-;-;6;11;17
"Barra Funda";-;-;-;-;1;-;-;-;2;3
"Bela Vista";-;-;-;-;-;-;-;1;4;5
"Belém";-;-;-;-;-;-;2;3;5;10
"Bom Retiro";-;-;-;-;-;-;-;-;-;-
"Brás";-;-;-;-;-;1;2;2;4;9
"Brasilândia";-;-;-;-;2;5;5;10;15;37
"Butantã";-;-;-;-;-;1;-;-;5;6
"Cachoeirinha";-;-;-;-;-;1;5;5;12;23
"Cambuci";-;-;-;-;-;-;-;-;6;6
"Campo Belo";-;-;-;-;-;1;-;3;11;15
"Campo Grande";-;-;-;-;-;-;2;1;10;13
"Campo Limpo";1;-;-;-;1;1;4;3;7;17
"Cangaíba";-;-;-;-;1;-;1;8;7;17
"Capão Redondo";-;-;-;1;1;1;1;5;12;21
"Carrão";-;-;-;-;-;-;2;4;16;22
"Casa Verde";-;-;-;-;-;-;-;2;4;6
"Cidade Ademar";-;-;1;-;-;2;6;4;16;29
"Cidade Dutra";-;-;-;-;-;1;3;7;15;26
"Cidade Líder";-;-;-;-;-;2;2;4;10;18
"Cidade Tiradentes";-;-;-;-;-;1;2;6;7;16
"Consolação";-;-;-;-;-;-;-;-;12;12
"Cursino";-;-;-;-;-;3;1;1;13;18
"Ermelino Matarazzo";-;-;-;-;-;1;2;4;7;14
"Freguesia do Ó";-;-;-;-;-;1;3;5;14;23
"Grajaú";-;-;-;1;-;1;4;8;13;27
"Guaianases";-;-;-;-;1;1;3;3;8;16
"Iguatemi";-;-;-;-;1;1;5;5;7;19
"Ipiranga";-;-;-;-;-;-;3;5;15;23
"Itaim Bibi";-;-;-;-;-;-;-;3;9;12
"Itaim Paulista";-;-;-;1;-;-;6;6;17;30
"Itaquera";-;-;-;-;-;1;2;6;9;18
"Jabaquara";-;-;-;-;-;1;3;3;24;31
"Jaçanã";-;-;-;-;-;-;3;1;13;17
"Jaguara";-;-;-;1;-;-;-;-;8;9
"Jaguaré";-;-;-;-;-;-;-;1;2;3
"Jaraguá";-;-;1;-;1;-;2;6;17;27
"Jardim Ângela";-;-;-;1;-;4;1;7;9;22
"Jardim Helena";-;-;-;-;1;2;6;3;9;21
