Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2024
"Distrito Admin residência";"<1 Ano";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;1;-;3;5;10;19
"Alto de Pinheiros";-;-;-;-;-;-;-;1;7;8
"Anhanguera";-;-;-;-;-;-;-;-;3;3
"Aricanduva";-;-;-;-;-;-;-;1;16;17
"Artur Alvim";-;-;-;-;-;1;1;3;10;15
"Barra Funda";-;-;-;-;-;-;1;1;-;2
"Bela Vista";-;-;-;-;-;-;1;-;10;11
"Belém";-;-;-;-;1;-;-;1;4;6
"Bom Retiro";-;-;-;-;-;-;-;-;1;1
"Brás";-;-;-;-;-;-;1;-;-;1
"Brasilândia";-;-;-;-;-;3;6;7;17;33
"Butantã";-;-;-;-;1;-;1;1;5;8
"Cachoeirinha";-;-;-;-;-;2;-;9;16;27
"Cambuci";-;-;-;-;-;-;-;-;4;4
"Campo Belo";-;-;-;-;-;1;-;-;12;13
"Campo Grande";-;-;-;-;-;-;-;3;10;13
"Campo Limpo";-;-;-;-;-;1;2;2;11;16
"Cangaíba";-;-;-;-;-;-;3;6;25;34
"Capão Redondo";-;-;-;1;-;-;4;7;16;28
"Carrão";-;-;-;-;-;-;3;6;17;26
"Casa Verde";-;-;-;-;-;-;1;2;9;12
"Cidade Ademar";-;-;-;-;1;1;3;10;15;30
"Cidade Dutra";-;-;-;-;-;-;-;6;15;21
"Cidade Líder";-;-;-;-;-;-;5;8;10;23
"Cidade Tiradentes";-;-;-;-;-;2;5;6;7;20
"Consolação";-;-;-;-;-;-;-;-;9;9
"Cursino";-;-;-;-;-;-;-;2;13;15
"Ermelino Matarazzo";-;-;-;-;-;-;4;4;11;19
"Freguesia do Ó";-;-;-;-;-;1;2;6;16;25
"Grajaú";-;-;-;-;2;1;5;5;11;24
"Guaianases";-;-;-;-;1;2;2;2;12;19
"Iguatemi";-;-;-;-;-;4;2;4;11;21
"Ipiranga";-;-;-;-;-;-;2;-;14;16
"Itaim Bibi";-;-;-;-;-;-;-;1;12;13
"Itaim Paulista";-;-;-;-;-;2;9;8;26;45
"Itaquera";-;1;-;-;-;3;10;6;10;30
"Jabaquara";-;-;-;-;1;3;2;6;24;36
"Jaçanã";-;-;-;-;-;-;3;3;11;17
"Jaguara";-;-;-;-;-;-;-;1;2;3
"Jaguaré";-;-;-;-;-;-;-;1;2;3
"Jaraguá";-;-;-;1;1;1;3;4;15;25
"Jardim Ângela";-;-;-;-;-;2;4;5;12;23
"Jardim Helena";1;-;-;-;1;2;6;3;15;28
"Jardim Paulista";-;-;-;-;-;-;-;1;14;15
"Jardim São Luís";-;-;-;-;-;4;5;5;13;27
"José Bonifácio";-;-;-;1;-;-;2;3;12;18
"Lajeado";-;-;-;-;1;1;5;9;15;31
"Lapa";-;-;-;-;-;-;-;3;8;11
"Liberdade";-;-;-;-;-;-;-;1;7;8
"Limão";-;-;-;-;-;-;1;3;11;15
"Mandaqui";-;-;-;-;-;1;1;4;22;28
"Marsilac";-;-;-;-;-;-;-;-;-;-
"Moema";-;-;-;-;-;-;1;-;14;15
"Moóca";-;-;-;-;-;3;-;2;19;24
"Morumbi";-;-;-;-;-;-;1;2;4;7
"Parelheiros";-;-;-;-;-;1;2;8;14;25
"Pari";-;-;-;-;-;-;-;-;-;-
"Parque do Carmo";-;-;-;-;-;2;2;-;6;10
"Pedreira";-;-;-;-;1;2;1;2;8;14
"Penha";-;-;-;-;-;1;2;6;26;35
"Perdizes";-;-;-;-;-;-;-;1;14;15
"Perus";-;-;-;-;-;2;3;2;6;13
"Pinheiros";-;-;-;-;-;-;-;1;6;7
"Pirituba";-;-;-;-;-;1;-;5;19;25
"Ponte Rasa";-;-;-;-;-;-;-;2;12;14
"Raposo Tavares";-;-;-;-;1;-;-;7;13;21
"República";-;-;-;-;-;-;-;1;7;8
"Rio Pequeno";-;-;-;-;-;-;-;5;9;14
"Sacomã";-;-;-;-;1;-;5;4;21;31
"Santa Cecília";-;-;-;-;-;-;1;2;8;11
"Santana";-;-;-;-;-;-;2;4;12;18
"Santo Amaro";-;-;-;-;-;-;-;1;19;20
"São Domingos";-;-;-;-;-;-;2;4;8;14
"São Lucas";-;-;-;1;-;1;2;5;21;30
"São Mateus";-;-;-;-;-;-;3;5;17;25
"São Miguel";-;-;-;-;-;2;4;3;15;24
"São Rafael";-;-;-;-;-;-;1;5;6;12
"Sapopemba";-;-;-;-;-;3;2;10;30;45
"Saúde";-;-;-;-;-;-;-;1;13;14
"Sé";-;-;-;-;-;-;1;-;1;2
"Socorro";-;-;-;-;-;-;-;-;7;7
"Tatuapé";-;-;-;1;-;1;3;-;20;25
"Tremembé";-;-;-;-;-;-;3;4;13;20
"Tucuruvi";-;-;-;-;-;-;3;4;13;20
"Vila Andrade";-;-;-;-;-;-;-;-;8;8
"Vila Curuçá";-;-;-;-;-;4;7;5;18;34
"Vila Formosa";-;-;1;-;-;-;5;3;23;32
"Vila Guilherme";-;-;-;-;-;-;-;1;9;10
"Vila Jacuí";1;-;-;-;2;1;1;3;12;20
"Vila Leopoldina";-;-;-;-;-;-;-;1;5;6
"Vila Maria";-;-;-;-;-;1;2;4;20;27
"Vila Mariana";-;-;-;-;-;1;1;4;33;39
"Vila Matilde";-;-;-;-;-;2;3;2;17;24
"Vila Medeiros";-;-;-;-;1;-;1;8;15;25
"Vila Prudente";-;-;-;-;-;1;-;2;15;18
"Vila Sônia";-;-;-;-;-;-;1;1;9;11
"Desconhecido";-;-;-;-;-;-;-;-;-;-
"Ignorado";-;-;-;-;-;3;1;5;8;17
"Total";2;1;1;5;17;70;174;310;1171;1751
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
