Mortalidade Geral em investigação
Óbitos Residentes MSP por Distrito Admin residência e Faixa Etária OMS
Causa(CID10 3C): I50 Insuf cardiaca
Período:2025
"Distrito Admin residência";"5-14";"15-24";"25-34";"35-44";"45-54";"55-64";"65-74";"75 e+";"Total"
"Água Rasa";-;-;-;-;-;1;3;16;20
"Alto de Pinheiros";-;-;-;-;-;-;-;6;6
"Anhanguera";-;-;-;-;1;1;-;-;2
"Aricanduva";-;-;-;-;-;1;3;11;15
"Artur Alvim";-;-;1;-;-;2;4;6;13
"Barra Funda";-;-;-;-;1;-;-;3;4
"Bela Vista";-;-;-;-;-;-;-;7;7
"Belém";-;-;-;-;-;1;1;5;7
"Bom Retiro";-;-;-;-;-;-;-;1;1
"Brás";-;-;-;-;-;-;-;2;2
"Brasilândia";-;-;-;1;2;4;8;17;32
"Butantã";-;-;-;-;-;1;1;11;13
"Cachoeirinha";-;-;-;-;-;5;5;4;14
"Cambuci";-;-;-;-;-;-;1;7;8
"Campo Belo";-;-;-;1;-;1;4;7;13
"Campo Grande";-;-;-;-;-;1;-;14;15
"Campo Limpo";-;-;-;-;4;2;2;7;15
"Cangaíba";-;-;-;-;-;3;6;12;21
"Capão Redondo";-;-;-;-;1;1;5;11;18
"Carrão";-;-;-;-;-;2;1;13;16
"Casa Verde";-;-;-;-;-;2;4;7;13
"Cidade Ademar";-;-;-;2;1;3;1;11;18
"Cidade Dutra";-;-;-;-;1;2;4;6;13
"Cidade Líder";-;-;-;-;-;-;4;11;15
"Cidade Tiradentes";-;-;1;1;4;3;9;5;23
"Consolação";-;-;-;1;-;-;-;9;10
"Cursino";-;-;-;-;-;-;2;17;19
"Ermelino Matarazzo";-;-;-;-;-;2;7;5;14
"Freguesia do Ó";-;-;-;-;1;2;6;14;23
"Grajaú";-;-;-;-;1;6;10;19;36
"Guaianases";-;-;-;-;-;1;3;-;4
"Iguatemi";-;-;-;1;-;3;3;10;17
"Ipiranga";-;-;-;-;-;1;1;12;14
"Itaim Bibi";-;-;-;-;-;1;3;9;13
"Itaim Paulista";-;-;-;1;2;3;3;6;15
"Itaquera";-;-;1;-;1;3;9;16;30
"Jabaquara";-;-;-;1;-;3;2;14;20
"Jaçanã";-;-;1;-;-;1;1;4;7
"Jaguara";-;-;-;-;-;-;1;1;2
"Jaguaré";-;-;-;-;1;-;-;4;5
"Jaraguá";-;-;-;1;-;5;4;5;15
"Jardim Ângela";-;-;-;-;1;3;6;10;20
"Jardim Helena";-;-;-;1;1;3;3;13;21
"Jardim Paulista";-;-;-;-;-;-;2;8;10
"Jardim São Luís";-;-;-;-;2;1;4;17;24
"José Bonifácio";-;-;-;1;1;-;4;8;14
"Lajeado";-;-;-;1;1;1;5;8;16
"Lapa";-;-;-;-;-;1;2;12;15
"Liberdade";-;-;-;-;-;-;-;6;6
"Limão";-;-;-;-;-;1;2;11;14
"Mandaqui";-;-;-;-;-;-;-;13;13
"Marsilac";-;-;-;-;1;-;-;-;1
"Moema";-;-;-;-;-;-;-;6;6
"Moóca";-;-;-;-;-;-;2;14;16
"Morumbi";-;-;-;-;-;1;1;4;6
"Parelheiros";-;-;-;-;2;2;6;15;25
"Pari";-;-;-;-;-;-;2;1;3
"Parque do Carmo";-;-;-;-;1;-;2;6;9
"Pedreira";-;-;-;-;-;3;3;5;11
"Penha";-;-;-;-;-;1;3;16;20
