distrito,20a29,30a39,40a49,50a59,60a69,70a79,80e+,< 1 ano,15a19,Total,ano,cid,dcnt
Água Rasa,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Alto de Pinheiros,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Anhanguera,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Aricanduva,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Artur Alvim,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Barra Funda,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Bela Vista,-,-,-,-,-,-,1,,,1,2016,J47,Bronquectasia
Belém,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Bom Retiro,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Brás,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Brasilândia,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Butantã,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cachoeirinha,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cambuci,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Campo Belo,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Campo Grande,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Campo Limpo,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cangaíba,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Capão Redondo,-,1,-,-,-,-,-,,,1,2016,J47,Bronquectasia
Carrão,1,-,-,-,-,-,-,,,1,2016,J47,Bronquectasia
Casa Verde,-,-,-,-,-,-,1,,,1,2016,J47,Bronquectasia
Cidade Ademar,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cidade Dutra,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cidade Líder,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cidade Tiradentes,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Consolação,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Cursino,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Ermelino Matarazzo,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Freguesia do Ó,-,-,-,1,-,-,-,,,1,2016,J47,Bronquectasia
Grajaú,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Guaianases,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Iguatemi,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Ipiranga,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Itaim Bibi,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Itaim Paulista,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Itaquera,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jabaquara,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jaçanã,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jaguara,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jaguaré,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jaraguá,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jardim Ângela,-,-,-,1,-,-,-,,,1,2016,J47,Bronquectasia
Jardim Helena,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jardim Paulista,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Jardim São Luís,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
José Bonifácio,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Lajeado,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Lapa,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Liberdade,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Limão,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Mandaqui,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Marsilac,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Moema,-,-,-,-,-,-,1,,,1,2016,J47,Bronquectasia
Moóca,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Morumbi,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Parelheiros,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
Pari,-,-,-,-,-,-,-,,,-,2016,J47,Bronquectasia
